workload,q,policy,repeat,wall_ms,waves_per_s,p50_completion_ms,p95_completion_ms,p99_completion_ms,max_relative_l2
homogeneous_small,1,normal_serial,7.0,0.2563484013080595,3903.9479229287017,0.25576096959412054,0.25576096959412054,0.25576096959412054,0.00038357198388750004
homogeneous_small,2,ll_serial,7.0,0.125342281535267,15956.855668103888,0.0704121775925155,0.0704121775925155,0.0704121775925155,0.0
homogeneous_small,2,ll_two_slot,7.0,0.11896505020558801,16811.66114505745,0.11745980009436552,0.11745980009436552,0.11745980009436552,0.0
homogeneous_small,2,normal_serial,7.0,0.436537433415651,4583.148518861923,0.24919700808823053,0.24919700808823053,0.24919700808823053,0.000377486563452
homogeneous_small,4,ll_serial,7.0,0.23047393187880502,17355.75945448682,0.12791808694601,0.1793289557099335,0.1793289557099335,0.0
homogeneous_small,4,ll_two_slot,7.0,0.21003093570470752,19044.92534031628,0.1202735584229225,0.20907726138830152,0.20907726138830152,0.0
homogeneous_small,4,normal_serial,7.0,0.8037516381591556,4977.215546641033,0.44859200716018655,0.6324658170342441,0.6324658170342441,0.0003642500585175
homogeneous_small,8,ll_serial,7.0,0.453311717137694,17649.250819496046,0.24315970949828553,0.40017534047365155,0.40017534047365155,0.0
homogeneous_small,8,ll_two_slot,7.0,0.38429908454418155,20821.437138465873,0.212226528674364,0.38358964957296804,0.38358964957296804,0.0
homogeneous_small,8,normal_serial,7.0,1.503689913079142,5322.152360362661,0.804894138127565,1.32701126858592,1.32701126858592,0.00037283530813150004
homogeneous_small,16,ll_serial,7.0,0.861995620653033,18582.186260593713,0.44613657519221256,0.8096685633063316,0.8096685633063316,0.0
homogeneous_small,16,ll_two_slot,7.0,0.7372018881142135,21714.525435793737,0.3884735051542515,0.7365171331912276,0.7365171331912276,0.0
homogeneous_small,16,normal_serial,7.0,2.902387175709009,5514.4833101273125,1.5046396292746067,2.729283645749092,2.729283645749092,0.00037402463774
real_age_offset,1,ll_serial,7.0,0.142371281981468,7023.888428076143,0.14198524877429,0.14198524877429,0.14198524877429,0.0
real_age_offset,1,ll_two_slot,7.0,0.14533009380102102,6880.887322409274,0.14395499601960102,0.14395499601960102,0.14395499601960102,0.0
real_age_offset,1,normal_serial,7.0,0.30340626835823004,3295.9108109767326,0.302980188280344,0.302980188280344,0.302980188280344,0.000215097154336
real_age_offset,2,ll_serial,7.0,0.258727930486202,7730.127923342465,0.14951732009649202,0.14951732009649202,0.14951732009649202,0.0
real_age_offset,2,ll_two_slot,7.0,0.243075657635927,8227.890935074836,0.241442117840051,0.241442117840051,0.241442117840051,0.0
real_age_offset,2,normal_serial,7.0,0.574454665184021,3481.562812897201,0.323980115354061,0.323980115354061,0.323980115354061,0.000361899307089
real_age_offset,4,ll_serial,7.0,0.429140869528055,9320.948630222456,0.256502069532871,0.36522885784506803,0.36522885784506803,0.0
real_age_offset,4,ll_two_slot,7.0,0.39074197411537104,10236.934511721916,0.24275900796055702,0.38970774039626105,0.38970774039626105,0.0
real_age_offset,4,normal_serial,7.0,1.013495959341526,3946.7350245765383,0.560290645807981,0.788449309766292,0.788449309766292,0.000515495770037
real_age_offset,8,ll_serial,7.0,0.7850029505789281,10191.044497476243,0.43123587965965204,0.6751231849193571,0.6751231849193571,0.0
real_age_offset,8,ll_two_slot,7.0,0.6914897821843621,11569.22373419405,0.38805697113275506,0.6903167814016341,0.6903167814016341,0.0
real_age_offset,8,normal_serial,7.0,1.909688580781221,4189.164704921331,1.012628898024559,1.674002036452293,1.674002036452293,0.000770613313957
real_age_offset,16,ll_serial,7.0,1.5465021133422852,10345.928312649348,0.7851058617234231,1.4357101172208782,1.4357101172208782,0.0
real_age_offset,16,ll_two_slot,7.0,1.366992946714162,11704.522717881724,0.696748960763216,1.36633962392807,1.36633962392807,0.0
real_age_offset,16,normal_serial,7.0,3.748835064470768,4267.992516298862,1.9130087457597251,3.498786129057407,3.498786129057407,0.0007560221671550001
