lag,phase,layer_group,token_pairs,wave_pairs,ordered_expert_agreement,topk_set_agreement,destination_set_agreement,rank_load_cosine,critical_rank_persistence,topk_weight_cosine
2,all,all,609088,0,0.3558865878165388,0.2401442812861196,0.6163230928864137,nan,nan,0.9875513191237142
2,all,early_layers,196480,0,0.39831471396579804,0.2771376221498371,0.637388029315961,nan,nan,0.9903806704038858
2,all,middle_layers,216128,0,0.33457256810778796,0.22578286941071957,0.6025040716612378,nan,nan,0.9879496018020317
2,all,late_layers,196480,0,0.3369038833469055,0.218948493485342,0.6104590798045603,nan,nan,0.9842838568973934
2,early,all,139872,0,0.2202031142759094,0.09522277510867079,0.494823838938458,nan,nan,0.9850924417987599
2,early,early_layers,45120,0,0.2691295434397163,0.13670212765957446,0.5297650709219858,nan,nan,0.9881240287227622
2,early,middle_layers,49632,0,0.18631628787878787,0.07257414571244358,0.4586758542875564,nan,nan,0.9842719411072732
2,early,late_layers,45120,0,0.20855219414893617,0.07865691489361702,0.499645390070922,nan,nan,0.9829634056353929
2,middle,all,282720,0,0.35418125707413695,0.24273132427843802,0.6101478494623656,nan,nan,0.9874423744670318
2,middle,early_layers,91200,0,0.3932264254385965,0.27765350877192985,0.6235526315789474,nan,nan,0.9898146218381692
2,middle,middle_layers,100320,0,0.3365418161881978,0.23077153110047846,0.6001495215311005,nan,nan,0.9878950941761097
2,middle,late_layers,91200,0,0.33453947368421055,0.22096491228070175,0.6077412280701754,nan,nan,0.9845721354159085
2,late,all,186496,0,0.4602344018102265,0.3449135638297872,0.7168089396019217,nan,nan,0.9895606325810178
2,late,early_layers,60160,0,0.5029172207446808,0.3816821808510638,0.7390791223404255,nan,nan,0.9929312572031816
2,late,middle_layers,66176,0,0.44277948198742745,0.33312681334622823,0.7139446324951644,nan,nan,0.9907904785645251
2,late,late_layers,60160,0,0.4367519946808511,0.32111037234042555,0.6976894946808511,nan,nan,0.984837177376996
4,all,all,482112,0,0.2740618362538165,0.16617093123589538,0.5300096243196601,nan,nan,0.983052700744999
4,all,early_layers,155520,0,0.3014845357510288,0.1865354938271605,0.5399434156378601,nan,nan,0.9859244257027721
4,all,middle_layers,171072,0,0.2632086197624392,0.16092639356528246,0.5258721473999252,nan,nan,0.9851196894636103
4,all,late_layers,155520,0,0.25857767489711936,0.15157536008230452,0.5246270576131687,nan,nan,0.9779072881967534
4,early,all,133920,0,0.16420250896057348,0.06069295101553166,0.41801075268817206,nan,nan,0.9803021145265732
4,early,early_layers,43200,0,0.1894068287037037,0.07979166666666666,0.43502314814814813,nan,nan,0.9830813202869009
4,early,middle_layers,47520,0,0.14890046296296297,0.052504208754208755,0.3987584175084175,nan,nan,0.9820147257762325
4,early,late_layers,43200,0,0.15583043981481481,0.05060185185185185,0.4221759259259259,nan,nan,0.9756390363916203
4,middle,all,253952,0,0.29482195454259075,0.18957913306451613,0.5459850680443549,nan,nan,0.9834889862564348
4,middle,early_layers,81920,0,0.3189788818359375,0.20833740234375,0.54786376953125,nan,nan,0.9859060995229811
4,middle,middle_layers,90112,0,0.28770308061079547,0.18617942116477273,0.5480735085227273,nan,nan,0.9856297609790503
4,middle,late_layers,81920,0,0.27849578857421875,0.174560546875,0.54180908203125,nan,nan,0.9787170207950112
4,late,all,94240,0,0.37423466680814943,0.25298174872665535,0.646116298811545,nan,nan,0.9857857538877349
4,late,early_layers,30400,0,0.41361019736842103,0.2794736842105263,0.6676973684210527,nan,nan,0.9900140123677097
4,late,middle_layers,33440,0,0.35964040071770337,0.24694976076555025,0.6466806220095693,nan,nan,0.9881574977777506
4,late,late_layers,30400,0,0.3509128289473684,0.233125,0.6239144736842105,nan,nan,0.9789485771287428
8,all,all,262880,0,0.1728654709373098,0.08338785757760195,0.41568015824710897,nan,nan,0.975438536305663
8,all,early_layers,84800,0,0.18075471698113207,0.09277122641509435,0.4025943396226415,nan,nan,0.9778179041507109
8,all,middle_layers,93280,0,0.17341337907375642,0.08325471698113207,0.426340051457976,nan,nan,0.9811392772105709
8,all,late_layers,84800,0,0.16437352594339621,0.07415094339622641,0.41704009433962264,nan,nan,0.9667883534652163
8,early,all,115072,0,0.12066358453837597,0.04010532536151279,0.3531962597330367,nan,nan,0.9738377160838162
8,early,early_layers,37120,0,0.12286166487068965,0.04792564655172414,0.3338631465517241,nan,nan,0.9752813119826645
8,early,middle_layers,40832,0,0.12237032229623825,0.03808287617554859,0.359889302507837,nan,nan,0.9799498122719739
