hypothesis,experiment,variant,pair_index,requests,prompt_words,output_tokens_requested,image_count,wave_e2e_ms,sum_request_e2e_ms,request_e2e_p50_ms,request_e2e_p90_ms,request_e2e_p99_ms,ttft_p50_ms,ttft_p99_ms
H38,metadata_step_recurrence,A,304,8,2048,8,0,199.861974,1582.7552959999998,197.75851649999998,198.6056304,198.93893064,197.69679,198.84934872
H38,metadata_step_recurrence,A,306,8,2048,8,0,195.577751,1548.1025949999998,193.55269099999998,194.2337944,194.58302104,193.505257,194.48847194
H38,metadata_step_recurrence,A,311,8,2048,8,0,195.275311,1545.617499,193.1144515,193.98939330000002,194.35413873,193.06388800000002,194.24677966000002
H38,metadata_step_recurrence,A,312,8,2048,8,0,192.392116,1522.964159,190.29496749999998,191.1520954,191.45565964,190.241156,191.36337272
H38,metadata_step_recurrence,A,313,8,2048,8,0,191.467109,1514.1604889999999,189.15042,190.0919291,190.54249061000002,189.0980145,190.45065467
H38,metadata_step_recurrence,A,315,8,2048,8,0,196.637385,1538.3508659999998,192.312713,195.993527,196.36304719999998,192.2695665,196.29615113
H38,metadata_step_recurrence,A,316,8,2048,8,0,190.79587,1491.7437639999998,186.2475135,190.17583449999998,190.73386645,186.168389,190.67455095
H38,metadata_step_recurrence,A,318,8,2048,8,0,212.755809,1664.482716,208.156968,212.0137341,212.34826221,208.083453,212.24328237
H38,metadata_step_recurrence,A,323,8,2048,8,0,196.669838,1555.4304379999999,194.29912000000002,195.4348713,195.83906103,194.254663,195.73757423
H38,metadata_step_recurrence,A,324,8,2048,8,0,191.582554,1516.577259,189.6248985,190.2324502,190.51619212,189.578991,190.42672485
H38,metadata_step_recurrence,A,325,8,2048,8,0,191.399164,1515.2586769999998,189.46752199999997,190.0966286,190.41262526,189.420996,190.31883422
H38,metadata_step_recurrence,A,327,8,2048,8,0,196.11712,1526.3215249999998,190.908079,195.1368361,195.67090411,190.849361,195.60573759000002
H38,metadata_step_recurrence,A,328,8,2048,8,0,192.562657,1523.047174,190.099972,191.9483411,192.44077871000002,190.0275235,192.39067458
H38,metadata_step_recurrence,A,330,8,2048,8,0,210.019709,1662.874633,207.888552,208.57785719999998,208.97023002,207.8400675,208.87500923000002
H38,metadata_step_recurrence,A,335,8,2048,8,0,205.175875,1606.515455,200.842942,202.7527365,203.08823985,200.751482,203.04515032
H38,metadata_step_recurrence,A,336,8,2048,8,0,203.748736,1613.5462349999998,201.7391445,202.4015853,202.76231133,201.69190500000002,202.67150981
H38,metadata_step_recurrence,A,337,8,2048,8,0,190.959973,1511.223143,188.95574499999998,189.607494,189.9280632,188.907944,189.83889285
H38,metadata_step_recurrence,A,339,8,2048,8,0,194.752421,1540.991043,192.54728699999998,193.3646921,193.71871871000002,192.49283300000002,193.62197032
H38,metadata_step_recurrence,A,340,8,2048,8,0,192.873971,1525.8181359999999,190.628131,191.5497793,191.90928313,190.56960750000002,191.81499466
H38,metadata_step_recurrence,A,342,8,2048,8,0,196.507698,1554.520722,194.22930050000002,195.1274357,195.49762307,194.175507,195.38887061
H38,metadata_step_recurrence,A,347,8,2048,8,0,196.130978,1526.767292,190.90840500000002,195.2906275,195.84457075,190.8610825,195.77716805
H38,metadata_step_recurrence,A,348,8,2048,8,0,190.79399,1509.268369,188.39466199999998,190.2085309,190.67842459,188.31060250000002,190.63688817
H38,metadata_step_recurrence,A,349,8,2048,8,0,206.851323,1617.9942800000001,202.3798845,206.0382443,206.39867423,202.3287035,206.33676828999998
