policy,dataset,observations,independent_engine_runs,cohort_repetitions,unique_requests,unique_images,accuracy_percent,paired_quality_delta_pp,quality_delta_95ci_pp,e2e_ms_mean,e2e_ms_p50,e2e_ms_p90,e2e_ms_p99,paired_e2e_reduction_median_percent,paired_e2e_reduction_95ci_percent,paired_e2e_ci_unit,paired_timing_cohort_units,paired_e2e_image_bootstrap95ci_percent,aggregate_request_latency_reduction_percent,ttft_ms_p50,tpot_ms_p50,itl_ms_p50,itl_ms_p99,output_tokens_mean,cohort_throughput_output_tokens_s,cohort_throughput_requests_s,fixed_output,quality_metric_interpretable,itl_exact_request_fraction,timing_contract,instrumented,scheduler_context_diagnostic,batch_label_semantics,image_cache_contract,frontend_e2e_ms_p50,frontend_poll_delay_ms_p99,paired_frontend_e2e_reduction_percent,run,batch_per_dp,request_cap,status
modes_official_target85,chartqa,384,1,3,128,128,84.375,-5.46875,"[-10.15625, -0.78125]",817.2130152537042,801.0208499617875,1150.470165722072,1816.0753538180147,-17.059482184285024,"[-17.949940381350448, -16.252550705289813]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,192,"[-18.255154526267823, -16.179153019476257]",-16.90997315060747,349.3446782231331,131.91010494483635,126.8997360020876,165.68327460903674,4.640625,9.421436727516111,2.0302085877475795,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,801.9347442314029,1.181647717021406,-17.02676419704997,ep_clean_renderer_chartqa_b1_run0_20260908,1,128,CLEAN_REQUEST_TIMING
sere_s2_r05_official,chartqa,384,1,3,128,128,70.3125,-19.53125,"[-26.5625, -12.5]",1012.5986999907278,857.3840989265591,1729.4197609182447,4059.8359125619754,-14.808167874424349,"[-15.218548068183821, -14.193478407329806]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,192,"[-15.474036179365203, -14.118439755507474]",-44.8617246893749,363.4526690002531,122.7394366171211,117.76541685685515,156.96809410117567,6.4765625,9.494450844999493,1.4659706974184983,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,858.3303510677069,1.2301317509263772,-14.785005733396584,ep_clean_renderer_chartqa_b1_run0_20260908,1,128,CLEAN_REQUEST_TIMING
sere_s2_r07_official,chartqa,384,1,3,128,128,87.5,-2.34375,"[-5.46875, 0.78125]",776.5366840103525,761.6322063840926,1088.2024932652712,1722.0904514519498,-11.87484273998467,"[-12.371002453899738, -11.216695643352503]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,192,"[-12.327913095472297, -11.302753971055424]",-11.090843126045735,336.13987802527845,123.01747736055404,118.49630856886506,158.2680974621326,4.609375,9.844520578056448,2.1357603965952974,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,762.437178986147,1.117225256748498,-11.843301991862731,ep_clean_renderer_chartqa_b1_run0_20260908,1,128,CLEAN_REQUEST_TIMING
sere_s4_r05_official,chartqa,384,1,3,128,128,89.84375,0.0,"[-2.34375, 2.34375]",799.9719607068982,769.8804175015539,1124.3183883838356,1850.9959360305224,-13.50986140276228,"[-14.030599962570722, -13.005748852299547]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,192,"[-14.037690358105692, -13.045570236487528]",-14.443478874902048,363.4640050586313,123.53064899798483,118.59322804957628,157.92210905812675,4.6953125,9.567002812235518,2.0375646588455014,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,770.605132682249,1.1156359594315295,-13.497062138707406,ep_clean_renderer_chartqa_b1_run0_20260908,1,128,CLEAN_REQUEST_TIMING
vanilla,chartqa,384,1,3,128,128,89.84375,0.0,"[0.0, 0.0]",699.0105234229608,680.708070518449,980.7183696422726,1485.2579825790601,0.0,"[0.0, 0.0]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,192,"[0.0, 0.0]",0.0,345.2750432770699,105.1204133047057,100.59403209015727,139.0516586136073,4.640625,11.076263678443873,2.386804294344808,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,681.4745229203254,1.1922655766829873,0.0,ep_clean_renderer_chartqa_b1_run0_20260908,1,128,CLEAN_REQUEST_TIMING
modes_official_target70_metadata_cached,chartqa,384,1,3,128,128,86.71875,-3.125,"[-7.03125, 0.0]",846.3227456632012,832.8590895980597,1235.5050547979772,1762.4429961154242,-5.018955133515557,"[-5.701797662458219, -4.3936643780035025]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,192,"[-5.554642614951333, -4.407609513260857]",-5.170737192587538,364.772220607847,127.40528263384476,120.09784113615751,199.36521908268332,4.6171875,9.162439106736421,1.9844199757398682,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,845.9134767763317,1.3390687853097925,-5.031089528631982,ep_clean_renderer_chartqa_b1_run1_modes_cached_20260908,1,128,CLEAN_REQUEST_TIMING
modes_official_target85_metadata_cached,chartqa,384,1,3,128,128,84.375,-5.46875,"[-10.15625, -0.78125]",849.8359327531944,854.2029480449855,1245.3859102912247,1807.617352749221,-5.539064599428123,"[-6.00049635656886, -5.160804618251835]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,192,"[-5.972401022195417, -5.181569216710558]",-5.60731352005055,363.3226954843849,129.67225548345596,120.90129987336695,200.88842073921114,4.640625,8.95687477446197,1.9301009615002223,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,855.0667518284172,1.1883899942040443,-5.5316961894180565,ep_clean_renderer_chartqa_b1_run1_modes_cached_20260908,1,128,CLEAN_REQUEST_TIMING
vanilla,chartqa,384,1,3,128,128,89.84375,0.0,"[0.0, 0.0]",804.7131438409755,808.4155134856701,1164.0333347488195,1682.9763452569025,0.0,"[0.0, 0.0]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,192,"[0.0, 0.0]",0.0,354.44672545418143,119.43711363710463,112.9597476683557,186.9255820987746,4.640625,9.554453130533606,2.058872055064481,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,809.1930774971843,1.2869680533185606,0.0,ep_clean_renderer_chartqa_b1_run1_modes_cached_20260908,1,128,CLEAN_REQUEST_TIMING
modes_official_target70,chartqa,384,1,3,128,128,86.71875,-1.5625,"[-5.46875, 2.34375]",945.3173352145919,905.5155769456178,1328.945577982813,2071.978149320931,-13.426714605765888,"[-15.237732534517502, -11.774681627508947]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,48,"[-14.573547886950733, -12.357153912584106]",-14.03082881041886,390.5092952772975,156.5089885261841,142.1530048828572,247.46611574664712,4.609375,24.143004552979367,5.237804377595524,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,906.0391900129616,1.6737776435911667,-13.409762586197527,ep_clean_renderer_chartqa_b4_run0_20260908,4,128,CLEAN_REQUEST_TIMING
modes_official_target85,chartqa,384,1,3,128,128,83.59375,-4.6875,"[-8.59375, -0.78125]",952.9407039456904,920.512713259086,1304.726384207606,2025.7467730063966,-15.039658502241283,"[-15.911175236385567, -14.287956195751327]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,48,"[-15.660928549214923, -14.432482235186892]",-14.950413189496437,407.1534399408847,154.1917888680473,141.2416249513626,256.75089890137315,4.627604166666667,24.176485478414147,5.22440654119923,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,921.3894733693451,1.567165832966566,-15.019558133497501,ep_clean_renderer_chartqa_b4_run0_20260908,4,128,CLEAN_REQUEST_TIMING
sere_s2_r05_official,chartqa,384,1,3,128,128,87.5,-0.78125,"[-4.6875, 2.864583333333333]",968.5649853029948,900.3438046202064,1307.0597576443106,2959.729041527026,-12.028248563818224,"[-12.99818909946364, -10.50692063549743]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,48,"[-12.716563896139931, -11.01455912101833]",-16.83512394891158,393.54663947597146,148.5495480010286,133.9752352796495,241.81088854093082,4.963541666666667,22.951455105945488,4.6240077443248,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,901.4837786089629,1.5895266737788927,-12.015859605554624,ep_clean_renderer_chartqa_b4_run0_20260908,4,128,CLEAN_REQUEST_TIMING
sere_s2_r07_official,chartqa,384,1,3,128,128,90.625,2.34375,"[0.0, 5.46875]",952.9788058049841,906.5334100741893,1281.218696758151,2772.819906552322,-12.303708190372943,"[-13.440465172209935, -10.638099267446522]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,48,"[-12.888635236314139, -11.143590655057713]",-14.955009303872657,399.0471940487623,152.34372337969643,135.09509712457657,268.15545186400414,4.7421875,23.633612242985272,4.983694179739892,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,907.4197534937412,1.4687221683561817,-12.294850733530616,ep_clean_renderer_chartqa_b4_run0_20260908,4,128,CLEAN_REQUEST_TIMING
sere_s4_r05_official,chartqa,384,1,3,128,128,89.84375,1.5625,"[0.0, 3.90625]",931.092723079928,895.1854505576193,1284.9216312170026,1967.4349343683577,-12.373133217797783,"[-13.349780488357599, -11.432382695837063]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,48,"[-12.96232880780377, -11.799218333504102]",-12.314956001576016,396.5871245600283,148.90158797303837,131.7681916989386,240.0088058784604,4.6328125,24.866151522346726,5.367398642260339,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,896.200041519478,1.498277476057411,-12.357578344528408,ep_clean_renderer_chartqa_b4_run0_20260908,4,128,CLEAN_REQUEST_TIMING
vanilla,chartqa,384,1,3,128,128,88.28125,0.0,"[0.0, 0.0]",829.0015472800102,797.4738515913486,1109.589623613283,1803.2274474343292,0.0,"[0.0, 0.0]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,48,"[0.0, 0.0]",0.0,370.9673525299877,131.8063632740329,116.74609314650297,214.0533970668912,4.640625,28.179347693015483,6.072317347989869,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,798.4381362330168,1.5987018123269081,0.0,ep_clean_renderer_chartqa_b4_run0_20260908,4,128,CLEAN_REQUEST_TIMING
modes_official_target70_metadata_cached,chartqa,384,1,3,128,128,86.71875,-1.5625,"[-5.46875, 2.34375]",915.6769149825171,855.4011220112443,1327.9151584487408,2037.78555861209,-5.17805113069384,"[-6.0571914250628325, -4.328464381310737]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,48,"[-5.554747653685499, -4.615782522178213]",-6.140404251895393,395.72368701919913,135.3460001409985,124.43183455616236,268.63715797662735,4.614583333333333,25.348486594109342,5.493125763057555,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,856.2760464847088,1.477926620282234,-5.173099019066751,ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,4,128,CLEAN_REQUEST_TIMING
modes_official_target85_metadata_cached,chartqa,384,1,3,128,128,83.59375,-4.6875,"[-8.59375, -0.78125]",931.6470914503346,871.6324369888753,1358.1363639328629,1852.1708342665884,-5.882158710438013,"[-7.109680011039221, -4.95355534172508]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,48,"[-6.843589893219127, -5.348146555091859]",-7.991582280447762,388.7925271410495,136.28472603159025,125.60857785865664,304.7227109782398,4.627604166666667,25.351228612182926,5.4782621199089725,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,872.4264330230653,1.5499060973525047,-5.874454180956256,ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,4,128,CLEAN_REQUEST_TIMING
vanilla,chartqa,384,1,3,128,128,88.28125,0.0,"[0.0, 0.0]",862.7034364872088,801.2827252969146,1265.6532184686512,1856.292282319633,0.0,"[0.0, 0.0]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,48,"[0.0, 0.0]",0.0,374.2640365380794,125.01394523618121,107.98430116847157,270.45544516295195,4.640625,26.930662811116232,5.803240471082286,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,802.0742633379996,1.459499760530889,0.0,ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,4,128,CLEAN_REQUEST_TIMING
modes_official_target70,gqa,384,1,3,128,89,57.8125,2.083333333333333,"[-1.9945697577276522, 6.400256410256412]",758.6707332496493,748.2129365671426,928.4221509937197,1111.483108364046,-9.10533530034726,"[-13.70365932713823, -7.240509551887076]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-9.788182472642148, -8.46911315489971]",-9.977991133129516,531.8789931479841,170.7723089493811,167.99505520612,371.0723561234772,2.359375,63.494113586334564,26.911412380962993,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,750.8547315374017,4.74547611083836,-9.066477048606735,ep_clean_renderer_gqa_b16_run0_20260908,16,128,CLEAN_REQUEST_TIMING
modes_official_target85,gqa,384,1,3,128,89,54.6875,-1.0416666666666665,"[-5.026455026455026, 3.030881332408052]",711.6898149858267,708.8939766399562,878.4503147006035,1041.5163219906392,-4.34605463774319,"[-10.509455701120698, 7.477137016638868]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-8.364808066278995, 5.738831096613717]",-3.1675702406384065,489.79444173164666,141.02155668660998,138.15038139000535,355.4022486647591,2.359375,65.98794760114893,27.968401632275047,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,711.4655585028231,5.087045058608056,-4.391378101346732,ep_clean_renderer_gqa_b16_run0_20260908,16,128,CLEAN_REQUEST_TIMING
sere_s2_r05_official,gqa,384,1,3,128,89,57.8125,2.083333333333333,"[-0.2506740335687704, 5.036122362614111]",717.7383936007876,712.3775091022253,904.0437159594148,1037.4130472540855,-2.1327155292624966,"[-14.435387043638741, 4.337980808739323]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-5.343482371857807, -1.6694249166985475]",-4.044380820156723,492.257233010605,138.19802459329367,131.3793114386499,365.61007343232603,2.3880208333333335,68.28697947004339,28.595638076877492,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,716.4178639650345,5.390546750277281,-2.2528331322462347,ep_clean_renderer_gqa_b16_run0_20260908,16,128,CLEAN_REQUEST_TIMING
sere_s2_r07_official,gqa,384,1,3,128,89,58.333333333333336,2.604166666666667,"[0.5376344086021506, 5.367459449608165]",741.7812017568698,744.1313490271568,896.3345692958683,1011.1567080160604,-6.9230708432164505,"[-14.986763730758934, -3.634056950690312]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-8.029884783237573, -6.258309679767926]",-7.529660568433294,527.0549168344587,152.50455192290246,139.99797869473696,355.44333700090647,2.3697916666666665,67.2857703819012,28.393116293022047,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,746.5816477779299,4.695178009569645,-6.859972730890473,ep_clean_renderer_gqa_b16_run0_20260908,16,128,CLEAN_REQUEST_TIMING
