mini_batch_size,phase,stage,sampled_layer_invocations,critical_rank_median_ms,critical_rank_mean_ms,critical_rank_p95_ms
8,middle,dispatch,147,0.42684799432754517,0.45669072207544936,0.6199520170688629
8,middle,expert,147,0.8067839741706848,0.8190835369687502,0.9106655895709991
8,middle,combine,147,0.14099200069904327,0.1482390203848988,0.24884480386972424
8,middle,shared,147,0.03167999908328056,0.03472304767390497,0.03264319896697998
8,middle,gather,147,0.02364799939095974,0.04108974131039616,0.12567039802670454
8,middle,attention,147,0.5912320017814636,0.6035093308306064,0.6665439844131469
8,middle,mlp,147,8.940511703491211,9.038626839514492,9.389497756958008
8,middle,block,147,9.98134438879788,10.145447408203923,10.660041214711963
8,late,router,162,3.209312081336975,3.1945169424569166,3.468723165988922
8,late,dispatch,162,0.4363519996404648,0.49232533426932346,0.727711975574493
8,late,expert,162,0.8267999887466431,0.8376454320954688,0.9387424170970916
8,late,combine,162,0.13196800649166107,0.14202390135162407,0.2506399944424629
8,late,shared,162,0.031647998839616776,0.044716839540611814,0.09648320227861366
8,late,gather,162,0.023584000766277313,0.049229037281079795,0.1484656065702438
8,late,attention,162,0.5934399962425232,0.6078155059137462,0.6860384255647658
8,late,mlp,162,8.929088115692139,8.912425685811925,9.449400043487548
8,late,block,162,10.031343910843134,10.042065981861755,11.016371643356978
16,all,router,231,5.832128047943115,5.518213675393687,6.8046557903289795
16,all,dispatch,231,0.4156799912452698,0.5467658531227153,1.5887199640274048
16,all,expert,231,0.9186239838600159,0.9012942680548796,1.0397599935531616
16,all,combine,231,0.17212800681591034,0.17198282296394374,0.2555200010538101
16,all,shared,231,0.032127998769283295,0.09379103162942769,0.24103999882936478
16,all,gather,231,0.04575999826192856,0.07026590465757496,0.20606400072574615
16,all,attention,231,0.5813760161399841,0.6438837739038261,0.9270400106906891
16,all,mlp,231,14.351103782653809,13.799786386035738,17.23529624938965
16,all,block,231,15.415776003152132,15.001232758184564,19.278400359675288
16,early,router,51,5.843008041381836,6.095302254545922,6.789423942565918
16,early,dispatch,51,0.4493759870529175,0.6726067446026147,1.6519039869308472
16,early,expert,51,0.898464024066925,0.9032464296210045,1.0216799974441528
16,early,combine,51,0.18700799345970154,0.19444768656702602,0.2738880068063736
16,early,shared,51,0.03215999901294708,0.051888313838372044,0.1318879947066307
16,early,gather,51,0.04585599899291992,0.08308329382071308,0.22568000108003616
