topology,submitted_batch,mini_batch_size,repeat,sequence_id,completion_model_time_ms,completion_wave_index,evidence,observer_corrected_completion_ms
ep4,32,2,shape,0,1080.9526062011719,10,observer-heavy model-forward completion proxy,636.6199649348083
ep4,32,2,shape,6,1319.1839981079102,13,observer-heavy model-forward completion proxy,776.9247844911737
ep4,32,2,shape,1,1417.5620803833008,14,observer-heavy model-forward completion proxy,834.8639123763579
ep4,32,2,shape,2,1497.846305847168,15,observer-heavy model-forward completion proxy,882.1467816773949
ep4,32,2,shape,3,1578.539779663086,16,observer-heavy model-forward completion proxy,929.6706751177305
ep4,32,2,shape,4,1578.539779663086,16,observer-heavy model-forward completion proxy,929.6706751177305
ep4,32,2,shape,26,13125.329467773438,111,observer-heavy model-forward completion proxy,7730.0769132672385
ep4,32,2,shape,8,13373.670875549316,113,observer-heavy model-forward completion proxy,7876.335960521636
ep4,32,2,shape,20,14877.779678344727,125,observer-heavy model-forward completion proxy,8762.170998802256
ep4,32,2,shape,21,16237.505348205566,136,observer-heavy model-forward completion proxy,9562.972535615118
ep4,32,2,shape,7,16628.65037536621,139,observer-heavy model-forward completion proxy,9793.3348401666
ep4,32,2,shape,13,16751.804229736328,140,observer-heavy model-forward completion proxy,9865.86549692335
ep4,32,2,shape,14,16875.66944885254,141,observer-heavy model-forward completion proxy,9938.815107292972
ep4,32,2,shape,9,17256.72720336914,144,observer-heavy model-forward completion proxy,10163.23657862004
ep4,32,2,shape,10,17380.125030517578,145,observer-heavy model-forward completion proxy,10235.91092154831
ep4,32,2,shape,11,17380.125030517578,145,observer-heavy model-forward completion proxy,10235.91092154831
ep4,32,2,shape,12,17503.78394317627,146,observer-heavy model-forward completion proxy,10308.739029079605
ep4,32,2,shape,15,17503.78394317627,146,observer-heavy model-forward completion proxy,10308.739029079605
ep4,32,2,shape,16,17627.07997894287,147,observer-heavy model-forward completion proxy,10381.353422639544
ep4,32,2,shape,17,17627.07997894287,147,observer-heavy model-forward completion proxy,10381.353422639544
ep4,32,2,shape,18,17750.64087677002,148,observer-heavy model-forward completion proxy,10454.123804977096
ep4,32,2,shape,19,17750.64087677002,148,observer-heavy model-forward completion proxy,10454.123804977096
ep4,32,2,shape,22,17874.12180328369,149,observer-heavy model-forward completion proxy,10526.847088732815
ep4,32,2,shape,23,17874.12180328369,149,observer-heavy model-forward completion proxy,10526.847088732815
ep4,32,2,shape,24,17998.232551574707,150,observer-heavy model-forward completion proxy,10599.941301903486
ep4,32,2,shape,25,17998.232551574707,150,observer-heavy model-forward completion proxy,10599.941301903486
ep4,32,2,shape,27,18122.30199432373,151,observer-heavy model-forward completion proxy,10673.011188445453
ep4,32,2,shape,28,18122.30199432373,151,observer-heavy model-forward completion proxy,10673.011188445453
ep4,32,2,shape,29,41912.89685821533,343,observer-heavy model-forward completion proxy,24684.326375755543
ep4,32,2,shape,30,41912.89685821533,343,observer-heavy model-forward completion proxy,24684.326375755543
ep4,32,2,shape,31,61171.16505432129,497,observer-heavy model-forward completion proxy,36026.35742630875
ep4,32,32,shape,5,143.4095001220703,0,observer-heavy model-forward completion proxy,116.29794004217464
ep4,32,32,shape,6,143.4095001220703,0,observer-heavy model-forward completion proxy,116.29794004217464
ep4,32,32,shape,26,284.746337890625,1,observer-heavy model-forward completion proxy,230.91505446323177
ep4,32,32,shape,0,425.70591735839844,2,observer-heavy model-forward completion proxy,345.22623124970175
ep4,32,32,shape,27,425.70591735839844,2,observer-heavy model-forward completion proxy,345.22623124970175
ep4,32,32,shape,4,567.1137237548828,3,observer-heavy model-forward completion proxy,459.90089768250715
ep4,32,32,shape,20,567.1137237548828,3,observer-heavy model-forward completion proxy,459.90089768250715
ep4,32,32,shape,30,567.1137237548828,3,observer-heavy model-forward completion proxy,459.90089768250715
ep4,32,32,shape,3,708.2254638671875,4,observer-heavy model-forward completion proxy,574.3354691499391
ep4,32,32,shape,28,708.2254638671875,4,observer-heavy model-forward completion proxy,574.3354691499391
ep4,32,32,shape,23,708.2254638671875,4,observer-heavy model-forward completion proxy,574.3354691499391
ep4,32,32,shape,2,1132.2345581054688,7,observer-heavy model-forward completion proxy,918.1856616203578
ep4,32,32,shape,8,1132.2345581054688,7,observer-heavy model-forward completion proxy,918.1856616203578
ep4,32,32,shape,21,1132.2345581054688,7,observer-heavy model-forward completion proxy,918.1856616203578
ep4,32,32,shape,9,1132.2345581054688,7,observer-heavy model-forward completion proxy,918.1856616203578
ep4,32,32,shape,19,1132.2345581054688,7,observer-heavy model-forward completion proxy,918.1856616203578
ep4,32,32,shape,24,1132.2345581054688,7,observer-heavy model-forward completion proxy,918.1856616203578
ep4,32,32,shape,25,1132.2345581054688,7,observer-heavy model-forward completion proxy,918.1856616203578
ep4,32,32,shape,15,1273.2879943847656,8,observer-heavy model-forward completion proxy,1032.572951592006
ep4,32,32,shape,18,1273.2879943847656,8,observer-heavy model-forward completion proxy,1032.572951592006
ep4,32,32,shape,29,1422.0870971679688,9,observer-heavy model-forward completion proxy,1153.2415901346428
ep4,32,32,shape,7,1561.7688598632812,10,observer-heavy model-forward completion proxy,1266.516521356753
ep4,32,32,shape,11,1561.7688598632812,10,observer-heavy model-forward completion proxy,1266.516521356753
ep4,32,32,shape,17,1561.7688598632812,10,observer-heavy model-forward completion proxy,1266.516521356753
ep4,32,32,shape,22,1561.7688598632812,10,observer-heavy model-forward completion proxy,1266.516521356753
ep4,32,32,shape,13,1708.5262298583984,11,observer-heavy model-forward completion proxy,1385.529416610634
ep4,32,32,shape,16,1708.5262298583984,11,observer-heavy model-forward completion proxy,1385.529416610634
ep4,32,32,shape,1,1843.2622985839844,12,observer-heavy model-forward completion proxy,1494.7936371038968
ep4,32,32,shape,12,1843.2622985839844,12,observer-heavy model-forward completion proxy,1494.7936371038968
ep4,32,32,shape,14,1978.1918334960938,13,observer-heavy model-forward completion proxy,1604.214749009105
ep4,32,32,shape,10,1978.1918334960938,13,observer-heavy model-forward completion proxy,1604.214749009105
ep4,32,32,shape,31,6942.899810791016,54,observer-heavy model-forward completion proxy,5630.344888078553
ep4,32,4,shape,5,249.5533447265625,2,observer-heavy model-forward completion proxy,220.19389293556375
ep4,32,4,shape,6,414.9646682739258,4,observer-heavy model-forward completion proxy,366.14490516273503
ep4,32,4,shape,0,502.75621795654297,5,observer-heavy model-forward completion proxy,443.60795464677517
ep4,32,4,shape,3,585.747932434082,6,observer-heavy model-forward completion proxy,516.8358599358402
ep4,32,4,shape,4,669.9828414916992,7,observer-heavy model-forward completion proxy,591.1607004495712
ep4,32,4,shape,2,753.7863006591797,8,observer-heavy model-forward completion proxy,665.1048502896513
ep4,32,4,shape,1,1004.4275817871094,11,observer-heavy model-forward completion proxy,886.2586860853111
ep4,32,4,shape,26,4804.735855102539,56,observer-heavy model-forward completion proxy,4239.468293327595
ep4,32,4,shape,8,4888.894386291504,57,observer-heavy model-forward completion proxy,4313.725741676131
ep4,32,4,shape,20,5420.0369873046875,63,observer-heavy model-forward completion proxy,4782.380478198143
ep4,32,4,shape,21,5922.076889038086,69,observer-heavy model-forward completion proxy,5225.35638979248
ep4,32,4,shape,9,6087.636535644531,71,observer-heavy model-forward completion proxy,5371.438275167543
ep4,32,4,shape,13,6087.636535644531,71,observer-heavy model-forward completion proxy,5371.438275167543
ep4,32,4,shape,14,6170.221717834473,72,observer-heavy model-forward completion proxy,5444.307475879404
ep4,32,4,shape,24,6253.275444030762,73,observer-heavy model-forward completion proxy,5517.590097332559
ep4,32,4,shape,7,6337.454162597656,74,observer-heavy model-forward completion proxy,5591.865358054395
ep4,32,4,shape,10,6337.454162597656,74,observer-heavy model-forward completion proxy,5591.865358054395
ep4,32,4,shape,11,6337.454162597656,74,observer-heavy model-forward completion proxy,5591.865358054395
ep4,32,4,shape,12,6421.3289794921875,75,observer-heavy model-forward completion proxy,5665.8724705276845
ep4,32,4,shape,15,6421.3289794921875,75,observer-heavy model-forward completion proxy,5665.8724705276845
ep4,32,4,shape,16,6421.3289794921875,75,observer-heavy model-forward completion proxy,5665.8724705276845
ep4,32,4,shape,17,6421.3289794921875,75,observer-heavy model-forward completion proxy,5665.8724705276845
ep4,32,4,shape,18,6505.48917388916,76,observer-heavy model-forward completion proxy,5740.131386411134
ep4,32,4,shape,19,6505.48917388916,76,observer-heavy model-forward completion proxy,5740.131386411134
ep4,32,4,shape,22,6505.48917388916,76,observer-heavy model-forward completion proxy,5740.131386411134
ep4,32,4,shape,23,6505.48917388916,76,observer-heavy model-forward completion proxy,5740.131386411134
ep4,32,4,shape,25,6590.05419921875,77,observer-heavy model-forward completion proxy,5814.747505677818
ep4,32,4,shape,27,6590.05419921875,77,observer-heavy model-forward completion proxy,5814.747505677818
ep4,32,4,shape,28,6590.05419921875,77,observer-heavy model-forward completion proxy,5814.747505677818
ep4,32,4,shape,29,14606.129501342773,173,observer-heavy model-forward completion proxy,12887.747584171406
ep4,32,4,shape,30,14688.325119018555,174,observer-heavy model-forward completion proxy,12960.273051854898
ep4,32,4,shape,31,21742.503372192383,256,observer-heavy model-forward completion proxy,19184.541344991536
ep4,32,8,shape,5,97.64585876464844,0,observer-heavy model-forward completion proxy,80.63586215107352
ep4,32,8,shape,6,97.64585876464844,0,observer-heavy model-forward completion proxy,80.63586215107352
ep4,32,8,shape,4,380.98038482666016,3,observer-heavy model-forward completion proxy,314.6132583788344
ep4,32,8,shape,0,473.7678756713867,4,observer-heavy model-forward completion proxy,391.2370846809094
ep4,32,8,shape,3,473.7678756713867,4,observer-heavy model-forward completion proxy,391.2370846809094
ep4,32,8,shape,2,752.5091857910156,7,observer-heavy model-forward completion proxy,621.4214073237188
ep4,32,8,shape,1,1124.7128067016602,11,observer-heavy model-forward completion proxy,928.7868219719743
ep4,32,8,shape,26,2609.939254760742,27,observer-heavy model-forward completion proxy,2155.285484014356
ep4,32,8,shape,8,2710.7814331054688,28,observer-heavy model-forward completion proxy,2238.560863993535
ep4,32,8,shape,15,2903.660125732422,30,observer-heavy model-forward completion proxy,2397.8399145063977
ep4,32,8,shape,20,2995.803642272949,31,observer-heavy model-forward completion proxy,2473.9319474085355
ep4,32,8,shape,28,3180.180694580078,33,observer-heavy model-forward completion proxy,2626.190351008561
ep4,32,8,shape,9,3180.180694580078,33,observer-heavy model-forward completion proxy,2626.190351008561
ep4,32,8,shape,14,3271.8771743774414,34,observer-heavy model-forward completion proxy,2701.913221371147
ep4,32,8,shape,21,3271.8771743774414,34,observer-heavy model-forward completion proxy,2701.913221371147
ep4,32,8,shape,13,3364.3963775634766,35,observer-heavy model-forward completion proxy,2778.3154959665058
ep4,32,8,shape,24,3456.0276107788086,36,observer-heavy model-forward completion proxy,2853.984485760463
ep4,32,8,shape,7,3456.0276107788086,36,observer-heavy model-forward completion proxy,2853.984485760463
ep4,32,8,shape,10,3456.0276107788086,36,observer-heavy model-forward completion proxy,2853.984485760463
ep4,32,8,shape,11,3456.0276107788086,36,observer-heavy model-forward completion proxy,2853.984485760463
ep4,32,8,shape,12,3547.7320556640625,37,observer-heavy model-forward completion proxy,2929.71393368545
ep4,32,8,shape,16,3547.7320556640625,37,observer-heavy model-forward completion proxy,2929.71393368545
ep4,32,8,shape,17,3547.7320556640625,37,observer-heavy model-forward completion proxy,2929.71393368545
ep4,32,8,shape,18,3547.7320556640625,37,observer-heavy model-forward completion proxy,2929.71393368545
ep4,32,8,shape,19,3547.7320556640625,37,observer-heavy model-forward completion proxy,2929.71393368545
ep4,32,8,shape,22,3547.7320556640625,37,observer-heavy model-forward completion proxy,2929.71393368545
ep4,32,8,shape,23,3547.7320556640625,37,observer-heavy model-forward completion proxy,2929.71393368545
ep4,32,8,shape,25,3547.7320556640625,37,observer-heavy model-forward completion proxy,2929.71393368545
ep4,32,8,shape,27,3639.668571472168,38,observer-heavy model-forward completion proxy,3005.6350255693415
ep4,32,8,shape,29,8004.548477172852,85,observer-heavy model-forward completion proxy,6610.148917248036
ep4,32,8,shape,30,8004.548477172852,85,observer-heavy model-forward completion proxy,6610.148917248036
ep4,32,8,shape,31,12012.933044433594,125,observer-heavy model-forward completion proxy,9920.26927978353
