mini_batch_size,phase,waves,sequence_forward_work,model_forward_sum_ms,model_ms_per_sequence_forward,observer_corrected_model_ms_per_sequence_forward,selected_sequences_median,physical_rows_median,live_ratio_median,accepted_positions_median,active_experts_median,rows_per_active_expert_mean_median,tiny_expert_fraction_le4_median,rank_load_cv_median,rank_fanout_mean_median,remote_fraction_median,dispatch_bytes_bf16_median,model_forward_ms_median,attention_critical_ms_median,mlp_critical_ms_median,block_critical_sum_ms_median
8,middle,49,392,4550.242752075195,11.607762122640805,9.585679497783119,8.0,256.0,0.50390625,19.0,171.66666666666666,12.060117965885544,0.4506610257797549,0.33466578657796914,2.9830729166666665,0.75634765625,12689408.0,92.07904052734375,0.5939839879671732,8.943168004353842,10.024768011644483
8,late,54,421,5034.842338562012,11.95924545976725,9.87593412075939,8.0,256.0,0.125,12.5,182.16666666666669,11.307447956278917,0.4113647754124168,0.2839075260312449,3.026692708333333,0.7489420572916667,12551509.333333334,92.23372650146484,0.5931146641572316,8.955904006958008,10.058288047866276
16,all,77,1113,8852.678970336914,7.95388946121915,6.190104197513275,16.0,512.0,0.376953125,36.0,191.0,21.08223191969847,0.3099724613105523,0.3281118381753409,3.0,0.7584635416666666,25449813.333333332,109.50653076171875,0.5799360076586405,14.400501251220703,15.412736169372996
16,early,17,272,2107.051933288574,7.746514460619758,6.028714871205884,16.0,512.0,0.8359375,52.0,176.0,23.348849006798307,0.41800199574307023,0.4560828022106616,2.974609375,0.751953125,25231360.0,110.53807830810547,0.5753600200017294,14.397696177164713,15.537663899362087
16,middle,27,432,3088.847671508789,7.150110350714789,5.5645641431706165,16.0,512.0,0.490234375,39.0,191.0,21.730967482637524,0.30560220528587734,0.3250474436105953,2.9934895833333335,0.7587076822916666,25458005.333333332,110.33030700683594,0.6036159992218018,14.447680155436197,15.549685254693031
16,late,33,409,3656.779365539551,8.940780844839978,6.958151141844911,16.0,512.0,0.095703125,16.0,201.0,20.133228090636358,0.2743869915359813,0.2912444471667452,3.0221354166666665,0.7587076822916666,25458005.333333332,108.36339569091797,0.5796053210894266,14.365354537963867,15.347839981627962
32,all,65,1127,7735.917953491211,6.86416854790702,5.5664977671937175,17.0,544.0,0.31845238095238093,44.0,200.0,22.02437737940093,0.2852663560832282,0.3176840390776807,3.008333384990692,0.7537133487654321,26577578.666666668,120.43158721923828,0.5481599966684977,16.0001277923584,17.16588779135297
32,early,2,64,436.23329162597656,6.816145181655884,5.527553216350545,32.0,1024.0,0.90380859375,174.5,175.83333333333331,50.67625577287667,0.31748695419837764,0.4762970311208423,2.97216796875,0.7531331380208333,50541909.33333333,218.11664581298828,1.3597119947274527,26.72105566660563,28.802170328175027
32,middle,27,764,3735.900177001953,4.889921697646535,3.9654822025023306,28.0,896.0,0.44455645161290325,67.0,206.33333333333334,35.388035890554335,0.2294882933673141,0.33009497218194017,2.998512049516042,0.7550223214285715,44619093.333333336,137.58554077148438,0.46430933475494385,23.8821226755778,24.817952010780573
32,late,36,299,3563.7844848632812,11.91901165506114,9.665722993542154,5.5,176.0,0.1808347902097902,8.0,167.16666666666669,8.734794715656628,0.4796025281071904,0.3022125570219927,3.0132069190343223,0.752817234848485,8833706.666666666,97.1337776184082,0.5931840042273204,8.710976123809814,9.787173460237682
