Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:flashvep_phase1b/attention_block/layer_12/iter_0/rank_2,PushPop,893056,1039717,1,893056.0,893056.0,893056,893056,0.0,12,12.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_12/iter_0/rank_3,PushPop,892700,1039051,1,892700.0,892700.0,892700,892700,0.0,12,12.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_36/iter_0/rank_2,PushPop,883487,1019654,1,883487.0,883487.0,883487,883487,0.0,12,12.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_36/iter_0/rank_3,PushPop,883485,1019605,1,883485.0,883485.0,883485,883485,0.0,12,12.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_47/iter_0/rank_3,PushPop,863388,1000074,1,863388.0,863388.0,863388,863388,0.0,12,12.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_47/iter_0/rank_2,PushPop,858143,1000133,1,858143.0,858143.0,858143,858143,0.0,12,12.0,1.0,0.0
:flashvep_phase1b/local_expert_execution/layer_47/iter_0/rank_3,PushPop,483487,754492,1,483487.0,483487.0,483487,483487,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_47/iter_0/rank_2,PushPop,482688,754426,1,482688.0,482688.0,482688,482688,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_24/iter_0/rank_3,PushPop,460382,745232,1,460382.0,460382.0,460382,460382,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_24/iter_0/rank_2,PushPop,459712,745030,1,459712.0,459712.0,459712,459712,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_36/iter_0/rank_2,PushPop,440512,718663,1,440512.0,440512.0,440512,440512,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_12/iter_0/rank_2,PushPop,440320,711310,1,440320.0,440320.0,440320,440320,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_36/iter_0/rank_3,PushPop,438046,717878,1,438046.0,438046.0,438046,438046,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_12/iter_0/rank_3,PushPop,437758,710661,1,437758.0,437758.0,437758,437758,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_0/iter_0/rank_0,PushPop,436447,1939019,1,436447.0,436447.0,436447,436447,0.0,1,1.0,2.0,1.0
