Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:flashvep_phase1b/router_topk/layer_36/iter_0/rank_3,PushPop,4352,102933,1,4352.0,4352.0,4352,4352,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_0/iter_0/rank_2,PushPop,4320,402584,1,4320.0,4320.0,4320,4320,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_0/iter_0/rank_3,PushPop,4288,389171,1,4288.0,4288.0,4288,4288,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_24/iter_0/rank_2,PushPop,4288,109380,1,4288.0,4288.0,4288,4288,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_36/iter_0/rank_2,PushPop,4288,103000,1,4288.0,4288.0,4288,4288,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_12/iter_0/rank_3,PushPop,4256,122707,1,4256.0,4256.0,4256,4256,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_47/iter_0/rank_2,PushPop,4224,105358,1,4224.0,4224.0,4224,4224,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_36/iter_0/rank_2,PushPop,3296,51630,1,3296.0,3296.0,3296,3296,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_47/iter_0/rank_3,PushPop,3232,52671,1,3232.0,3232.0,3232,3232,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_24/iter_0/rank_2,PushPop,3104,50783,1,3104.0,3104.0,3104,3104,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_36/iter_0/rank_3,PushPop,3104,51465,1,3104.0,3104.0,3104,3104,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_12/iter_0/rank_2,PushPop,3072,51317,1,3072.0,3072.0,3072,3072,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_0/iter_0/rank_3,PushPop,3040,355965,1,3040.0,3040.0,3040,3040,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_47/iter_0/rank_2,PushPop,2976,52649,1,2976.0,2976.0,2976,2976,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_0/iter_0/rank_2,PushPop,2912,195520,1,2912.0,2912.0,2912,2912,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_12/iter_0/rank_0,PushPop,2880,32280,1,2880.0,2880.0,2880,2880,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_12/iter_0/rank_3,PushPop,2880,52077,1,2880.0,2880.0,2880,2880,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_12/iter_0/rank_1,PushPop,2848,31919,1,2848.0,2848.0,2848,2848,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_24/iter_0/rank_3,PushPop,2848,50800,1,2848.0,2848.0,2848,2848,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_47/iter_0/rank_0,PushPop,2848,33747,1,2848.0,2848.0,2848,2848,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_36/iter_0/rank_0,PushPop,2816,35723,1,2816.0,2816.0,2816,2816,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_36/iter_0/rank_1,PushPop,2816,31566,1,2816.0,2816.0,2816,2816,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_47/iter_0/rank_1,PushPop,2784,32403,1,2784.0,2784.0,2784,2784,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_24/iter_0/rank_3,PushPop,2784,46348,1,2784.0,2784.0,2784,2784,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_24/iter_0/rank_0,PushPop,2752,33397,1,2752.0,2752.0,2752,2752,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_24/iter_0/rank_1,PushPop,2752,32221,1,2752.0,2752.0,2752,2752,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_12/iter_0/rank_2,PushPop,2752,47637,1,2752.0,2752.0,2752,2752,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_36/iter_0/rank_3,PushPop,2752,46552,1,2752.0,2752.0,2752,2752,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_47/iter_0/rank_3,PushPop,2688,44655,1,2688.0,2688.0,2688,2688,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_0/iter_0/rank_2,PushPop,2528,367232,1,2528.0,2528.0,2528,2528,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_12/iter_0/rank_3,PushPop,2528,47573,1,2528.0,2528.0,2528,2528,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_24/iter_0/rank_2,PushPop,2528,46209,1,2528.0,2528.0,2528,2528,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_36/iter_0/rank_0,PushPop,2528,28859,1,2528.0,2528.0,2528,2528,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_36/iter_0/rank_1,PushPop,2528,24899,1,2528.0,2528.0,2528,2528,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_47/iter_0/rank_2,PushPop,2496,45303,1,2496.0,2496.0,2496,2496,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_0/iter_0/rank_1,PushPop,2464,85099,1,2464.0,2464.0,2464,2464,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_0/iter_0/rank_0,PushPop,2464,39308,1,2464.0,2464.0,2464,2464,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_0/iter_0/rank_1,PushPop,2464,39123,1,2464.0,2464.0,2464,2464,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_12/iter_0/rank_0,PushPop,2464,27374,1,2464.0,2464.0,2464,2464,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_12/iter_0/rank_1,PushPop,2464,24523,1,2464.0,2464.0,2464,2464,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_36/iter_0/rank_2,PushPop,2464,46909,1,2464.0,2464.0,2464,2464,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_0/iter_0/rank_3,PushPop,2432,164277,1,2432.0,2432.0,2432,2432,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_24/iter_0/rank_0,PushPop,2432,29769,1,2432.0,2432.0,2432,2432,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_47/iter_0/rank_0,PushPop,2432,24259,1,2432.0,2432.0,2432,2432,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_47/iter_0/rank_1,PushPop,2432,30756,1,2432.0,2432.0,2432,2432,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/post_attention_residual_rmsnorm/layer_24/iter_0/rank_1,PushPop,2400,27431,1,2400.0,2400.0,2400,2400,0.0,1,1.0,1.0,0.0
:flashvep_phase1b/input_residual_rmsnorm/layer_0/iter_0/rank_0,PushPop,2336,82020,1,2336.0,2336.0,2336,2336,0.0,1,1.0,1.0,0.0
