layer,invocations,expert_ratio_median,expert_ratio_p90,expert_ratio_max,rank_ratio_median,dispatch_ratio_median,combine_ratio_median,critical_path_ratio_median
14,12,1.2698844002894458,1.403707580299791,1.4203726636351512,1.9136519887410253,1.1530255343505933,1.6254738083629572,1.0497184951133742
15,12,1.2582925176177735,1.3460013426975757,1.3535711096782184,1.766549560721789,1.1815797568541635,1.6101383368481659,1.053330114442442
16,12,1.5063769378878642,1.697666492774247,1.7357360141112042,2.8257675814537255,1.137558819304385,1.3716844665346013,1.0469405965262244
17,12,1.420804940257955,1.5456101246727028,1.5730968503436769,2.395616855474847,1.15406961894285,1.4081524764165079,1.0483875859320748
18,12,1.3432559861043392,1.4801054551330908,1.491526636829157,2.0750762983778173,1.165217969984556,1.3395544730580125,1.0460089278712306
19,12,1.2820940016078637,1.3731119683390236,1.393083404889066,1.8813338223391023,1.1373614068395914,1.3813380630014285,1.050841759988745
20,12,1.292176215121755,1.4013613147223054,1.4119828238631709,1.821504962753146,1.135054505306184,1.5040978457194965,1.0493931142188848
21,12,1.4352145536648337,1.625346604544806,1.644884712534317,2.671575830075777,1.1676147536719188,1.4240532213743338,1.0560260820667162
22,12,1.2534600365470712,1.3397237161495834,1.371315819324883,1.753884706290045,1.2029090000592784,1.6630230743294083,1.0721261818940533
23,12,1.2449430676860045,1.3167970330328522,1.3516023191992872,1.8748241557074334,1.1492552677438157,1.3726477267746937,1.0561116048852979
24,12,1.4007506421620621,1.4742216806487667,1.4754432716661594,2.1902947533851362,1.180379440939444,1.4247343650343476,1.0639534342877024
25,12,1.2027552025775892,1.3025405824189829,1.3165904496231131,1.5413558516411685,1.1928528580462967,1.4702187198425682,1.0644462441520366
26,12,1.195624204038411,1.24433070917579,1.2556199362826963,1.5962528252231865,1.129993321344295,1.713323394478484,1.0471811282080532
27,12,1.2184130544715033,1.2638535835559974,1.2752290378839086,1.7264630625286284,1.151400133537901,1.399035255011353,1.0495301445564964
28,12,1.3463416375636506,1.4382636517091827,1.4816460207613278,2.2516150895135754,1.1486903758693288,1.420919173954883,1.048302723876965
29,12,1.3522299742992627,1.4496792714204882,1.4574982357752502,1.993831625183735,1.125677556980817,1.4103152458465174,1.040430827329576
30,12,1.3808132469619556,1.4949747337367962,1.521892651675798,2.36840256264988,1.1447123416185065,1.3939958949054643,1.041241764575362
31,12,1.341971878733729,1.4201373207360584,1.4381447979944098,2.0594557451538282,1.2279448776765243,1.4151958292487716,1.0704227448134684
32,12,1.3149509025688535,1.4387124333495502,1.4464700835561448,2.246408967729447,1.1680926336692055,1.5136416739330887,1.0523389999199149
33,12,1.3409768019005457,1.51211585038426,1.528472440186177,2.2294226663293117,1.1808460098261793,1.5543080331586303,1.0619403604811661
34,12,1.3370566293811228,1.4444294790051273,1.4612707499846105,1.9925765515397873,1.1416497973387842,1.6097153379147047,1.05894534535866
35,12,1.4069840089778873,1.4539660909344156,1.4850642149950946,2.2956968411220178,1.181137360866435,1.3909663190009154,1.0594251753527106
36,12,1.2915677628264919,1.3475587482918494,1.3825020837617386,1.9080779291296293,1.1367801600172003,1.5015689434587145,1.0457365426221958
37,12,1.2565115620134766,1.3272731991664026,1.3407890244428156,1.690740785355933,1.1331326052552806,1.340814211593957,1.0339658609461257
38,12,1.3917229474162527,1.5232037072740194,1.5445895740430386,2.222819727433923,1.1737532850537287,1.493554296046201,1.0459451400436555
39,12,1.379246146937679,1.4614190436875687,1.4732334642521985,2.2583797212601024,1.1435306302740518,1.372095803068425,1.0389632980824475
40,12,1.207691622619966,1.3275119375540767,1.3326546616911883,1.6895440949101321,1.131629486446633,1.3727143826478558,1.0487817082643929
41,12,1.3482972080897635,1.4726734112835798,1.4942113825685772,2.036506740809717,1.1410853923150328,1.4449557561748034,1.0346454641302882
42,12,1.2509988792647535,1.354676311494728,1.6699037272012014,1.6378010941316457,1.15107181864875,1.498791142541053,1.0465443985789618
43,12,1.3657085098302288,1.5001562448339631,1.5099518809899408,2.104573910395692,1.198657940429566,1.5347904651951585,1.0629419570484102
44,12,1.2527994345534013,1.339336027220501,1.8779217512690816,1.9840419801934315,1.1391432071904277,1.3304647709962878,1.0388760764894012
45,12,1.1587236386709232,1.2637042901295346,1.2739429373928746,1.4413282810529586,1.1435970456419784,1.5092572549601357,1.0521342671237885
46,12,1.2528974766393048,1.3519337484418013,1.3590818969417402,1.7668815092914434,1.1758616142591567,1.4433590113357821,1.0597564772181873
47,12,1.2482004741603134,1.3303585781263223,1.336368503794667,1.6830932897092752,1.137042389683671,1.5718418930228135,1.0406257808196313
