scope,layer,placement,fit_profile,eval_profile,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
layer,39,P_V_sat,vision,text,modality_coactivation_surrogate+swap,15930,127440,3.3433145009416196,3.0,4.0,0.4716886377903327,0.8740740740740741,49954,31860.0,0.35128168062572035,1.5679221594475832,0,37329.0
layer,39,P_T_sat,text,all,modality_coactivation_surrogate+swap,31859,254872,2.8135848582818044,3.0,4.0,0.24806177218368436,0.6295238394174331,125070,63718.0,0.5868563826671288,1.9628676355190056,0,57779.0
layer,39,P_T_sat,text,vision,modality_coactivation_surrogate+swap,15929,127432,3.3152112499215267,3.0,4.0,0.4400150668591876,0.8786490049595078,39836,31858.0,0.16364511834466103,1.2504237554146524,0,36879.0
layer,39,P_T_sat,text,text,modality_coactivation_surrogate+swap,15930,127440,2.3119899560577526,2.0,3.0,0.05612052730696798,0.3804143126177024,85234,31860.0,1.0217865686499807,2.6752667922159445,0,20900.0
layer,40,P0,all,all,fixed_linear,31859,254872,3.7090931918767067,4.0,4.0,0.7199221570043002,0.9891710348724065,76120,63718.0,0.11867731019002285,1.1946388775542234,2,86309.0
layer,40,P0,all,vision,fixed_linear,15929,127432,3.707765710339632,4.0,4.0,0.7173708330717559,0.9903948772678762,32187,31858.0,0.010788764267517409,1.0103270764015317,2,43132.0
layer,40,P0,all,text,fixed_linear,15930,127440,3.710420590081607,4.0,4.0,0.7224733207784055,0.9879472693032015,43933,31860.0,0.22891164735172417,1.3789391086001255,2,43177.0
layer,40,P_load,all,all,greedy_load+swap,31859,254872,3.688439687372485,4.0,4.0,0.7012147273925735,0.9872249599799114,63728,63718.0,0.00019882701056718553,1.0001569415235882,2,85651.0
layer,40,P_load,all,vision,greedy_load+swap,15929,127432,3.656601167681587,4.0,4.0,0.6734886056877394,0.9831125619938477,33854,31858.0,0.0609449760925391,1.0626530227886246,0,42317.0
layer,40,P_load,all,text,greedy_load+swap,15930,127440,3.7202762084118017,4.0,4.0,0.7289391086001256,0.9913370998116761,34981,31860.0,0.061235019410480145,1.0979598242310107,2,43334.0
layer,40,P_sat,all,all,coactivation_surrogate+swap,31859,254872,2.816660912144135,3.0,4.0,0.23148874729275873,0.665494836623874,132504,63718.0,0.6704451275576495,2.079537964154556,0,57877.0
layer,40,P_sat,all,vision,coactivation_surrogate+swap,15929,127432,3.1449557411011364,3.0,4.0,0.33184757360788497,0.8330089773369327,50866,31858.0,0.4426217497177024,1.596647623830749,0,34167.0
layer,40,P_sat,all,text,coactivation_surrogate+swap,15930,127440,2.4883866917765225,2.0,4.0,0.13113622096672944,0.4979912115505336,81638,31860.0,0.927598424315946,2.5623979912115504,0,23710.0
layer,40,P_joint_0,all,all,joint_surrogate_lambda_0,31859,254872,2.816660912144135,3.0,4.0,0.23148874729275873,0.665494836623874,132504,63718.0,0.6704451275576495,2.079537964154556,0,57877.0
layer,40,P_joint_0,all,vision,joint_surrogate_lambda_0,15929,127432,3.1449557411011364,3.0,4.0,0.33184757360788497,0.8330089773369327,50866,31858.0,0.4426217497177024,1.596647623830749,0,34167.0
layer,40,P_joint_0,all,text,joint_surrogate_lambda_0,15930,127440,2.4883866917765225,2.0,4.0,0.13113622096672944,0.4979912115505336,81638,31860.0,0.927598424315946,2.5623979912115504,0,23710.0
layer,40,P_joint_0.25,all,all,joint_surrogate_lambda_0.25,31859,254872,2.9708716532220096,3.0,4.0,0.2607426472896199,0.7287736589346809,115890,63718.0,0.5834699509240301,1.8187953168649362,0,62790.0
layer,40,P_joint_0.25,all,vision,joint_surrogate_lambda_0.25,15929,127432,3.192604683282064,3.0,4.0,0.34955113315336805,0.8552325946387093,50668,31858.0,0.44121118559846517,1.5904325444158454,0,34926.0
layer,40,P_joint_0.25,all,text,joint_surrogate_lambda_0.25,15930,127440,2.7491525423728813,3.0,4.0,0.17193973634651602,0.6023226616446955,65222,31860.0,0.7299156979430224,2.047143753923415,0,27864.0
layer,40,P_joint_0.5,all,all,joint_surrogate_lambda_0.5,31859,254872,3.5584921058413634,4.0,4.0,0.5897862456448727,0.9687058601964907,63876,63718.0,0.002175211781601262,1.0024796760726953,2,81511.0
layer,40,P_joint_0.5,all,vision,joint_surrogate_lambda_0.5,15929,127432,3.5722895348107224,4.0,4.0,0.6041810534245715,0.968108481386151,34529,31858.0,0.06948051419879696,1.0838407935212506,0,40974.0
layer,40,P_joint_0.5,all,text,joint_surrogate_lambda_0.5,15930,127440,3.544695543000628,4.0,4.0,0.5753923414940364,0.9693032015065913,35360,31860.0,0.07059383919300616,1.1098556183301946,2,40537.0
layer,40,P_joint_0.75,all,all,joint_surrogate_lambda_0.75,31859,254872,3.5584921058413634,4.0,4.0,0.5897862456448727,0.9687058601964907,63876,63718.0,0.002175211781601262,1.0024796760726953,2,81511.0
layer,40,P_joint_0.75,all,vision,joint_surrogate_lambda_0.75,15929,127432,3.5722895348107224,4.0,4.0,0.6041810534245715,0.968108481386151,34529,31858.0,0.06948051419879696,1.0838407935212506,0,40974.0
layer,40,P_joint_0.75,all,text,joint_surrogate_lambda_0.75,15930,127440,3.544695543000628,4.0,4.0,0.5753923414940364,0.9693032015065913,35360,31860.0,0.07059383919300616,1.1098556183301946,2,40537.0
layer,40,P_joint_1,all,all,joint_surrogate_lambda_1,31859,254872,3.688439687372485,4.0,4.0,0.7012147273925735,0.9872249599799114,63728,63718.0,0.00019882701056718553,1.0001569415235882,2,85651.0
