result,batch_id,condition,modality,concurrency,control_iteration,chunk_index,layer,scheduled_tokens,scheduled_requests,scheduler_mode,N,rank_max,rank_mean,rank_ratio,rank_cv,hottest_rank,expert_max_ms,expert_mean_ms,expert_ratio,dispatch_max_ms,dispatch_mean_ms,dispatch_ratio,combine_max_ms,combine_mean_ms,combine_ratio,active_experts,effective_experts,tiny_expert_fraction,total_ms,run
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,19,128,1,prefill,1040.0,329.0,260.0,1.265384615384615,0.1690120964824602,0,0.4115839898586273,0.4021679908037185,1.0234130991780106,0.3449279963970184,0.2979359999299049,1.1577251372045314,0.1324480026960373,0.1060560010373592,1.2488496775338649,92,49.98116806675574,0.4239130434782608,0.888959988951683,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,20,128,1,prefill,1040.0,361.0,260.0,1.3884615384615384,0.2249589048598424,1,0.3994559943675995,0.3954319953918457,1.0101762098733722,0.2905600070953369,0.270064003765583,1.075893132901727,0.1127680018544197,0.1065119989216327,1.0587351941201466,96,52.9174489746834,0.4166666666666667,0.8027840033173561,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,21,128,1,prefill,1040.0,373.0,260.0,1.4346153846153846,0.2871379892178515,3,0.3979839980602264,0.3875039964914322,1.0270448864106771,0.3476159870624542,0.2938079945743084,1.183139987617107,0.1222399994730949,0.1104160007089376,1.107085917695262,89,50.77067384747815,0.4157303370786517,0.8678399845957756,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,22,128,1,prefill,1040.0,305.0,260.0,1.1730769230769231,0.1150957923649615,1,0.3969280123710632,0.3915600031614303,1.013709288911768,0.3342719972133636,0.2879360020160675,1.1609246321156828,0.0895359963178634,0.087024001404643,1.028865541375651,95,60.5800454615346,0.3789473684210526,0.8207360059022903,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,23,128,1,prefill,1040.0,321.0,260.0,1.234615384615385,0.1451891237552067,0,0.4091199934482574,0.3922239989042282,1.0430774113548182,0.3506880104541778,0.299112007021904,1.1724304013930706,0.0897599980235099,0.0869279988110065,1.0325786771953716,91,55.87976477874202,0.4175824175824176,0.8495680019259453,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,24,128,1,prefill,1040.0,385.0,260.0,1.4807692307692308,0.3121195909475315,3,0.39164799451828,0.3844000026583671,1.018855337694559,0.3616319894790649,0.3145119994878769,1.1498193711779328,0.0976639986038208,0.0939759984612464,1.039244064473496,93,54.16600502855538,0.4086021505376344,0.8509439826011658,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,25,128,1,prefill,1040.0,380.0,260.0,1.4615384615384617,0.2985665953088515,3,0.4073919951915741,0.3845440000295639,1.059415814991922,0.3470399975776672,0.3091119974851608,1.122699864130402,0.1190719977021217,0.1032639984041452,1.1530833547245438,89,52.28807951052071,0.3707865168539326,0.8735039904713631,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,26,128,1,prefill,1040.0,312.0,260.0,1.2,0.1370656129323497,0,0.412416011095047,0.3957840055227279,1.0420229350864052,0.3536640107631683,0.3212639987468719,1.100851673834219,0.1167680025100708,0.1081920005381107,1.0792665070366192,89,55.51647379725552,0.3932584269662921,0.8828480243682861,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,27,128,1,prefill,1040.0,412.0,260.0,1.5846153846153843,0.34548011357492,2,0.3998079895973205,0.3919280022382736,1.0201057013381154,0.3253760039806366,0.3041439950466156,1.0698090683354338,0.1102399975061416,0.0967119988054037,1.139879217344664,87,49.26454578316254,0.4597701149425287,0.8354239910840988,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,28,128,1,prefill,1040.0,374.0,260.0,1.4384615384615385,0.2779760962010431,2,0.3883840143680572,0.381008006632328,1.0193591935269934,0.3629760146141052,0.2968880012631416,1.222602506904237,0.092799998819828,0.0889119990170002,1.0437286288219034,86,48.98293995021196,0.3720930232558139,0.8441600278019905,ep4_serving_straggler_regime_20260901_1340
