run,condition,concurrency,n,scheduled_tokens_median,scheduled_tokens_max,scheduled_requests_max,rank_ratio_median,rank_ratio_p95,expert_ratio_median,expert_ratio_p95,dispatch_ratio_median,combine_ratio_median,expert_max_ms_median,dispatch_max_ms_median,combine_max_ms_median,tail15_fraction
ep4_serving_straggler_regime_20260901_1340,vision_heavy,2,192,188.0,248,1,1.202923076923077,1.465799999999999,1.027459611666102,1.1911966514199315,1.1633397956479803,1.1067333495213156,0.4183840006589889,0.3720479905605316,0.11441599950194356,0.0625
ep4_serving_straggler_regime_20260901_1340,vision_heavy,4,192,582.0,1036,3,1.18070253445976,1.3701923076923075,1.0367261736326565,1.3240531789092826,1.2020703069822294,1.200886576970746,0.4917600005865097,0.43542400002479553,0.1447200030088424,0.2760416666666667
ep4_serving_straggler_regime_20260901_1340,vision_heavy,8,192,1164.0,2200,7,1.1838154125620066,1.3701923076923075,1.028914400467119,1.2497618571695857,1.200081185293515,1.1595794655777891,0.5406880080699921,0.4232800006866455,0.1294239982962608,0.09895833333333333
ep4_serving_straggler_regime_20260901_1340,vision_heavy,16,192,2328.0,4528,15,1.185795551027339,1.3701923076923075,1.0412177207321847,1.3845681114736632,1.1845286606080099,1.1526040720499973,0.6629120111465454,0.49764800071716303,0.2179839983582496,0.15625
ep4_serving_straggler_regime_20260901_1340,vision_single,1,96,128.0,128,1,1.2346153846153847,1.4153846153846157,1.0304112574801665,1.1794455608475338,1.1364975499046968,1.1094177825391252,0.41307199001312256,0.3514399975538254,0.1131519973278045,0.07291666666666667
ep4_serving_straggler_regime_20260901_2048,long_multi_image,1,192,1601.5,2048,1,1.1323170731707317,1.3089916382324442,1.0297351842398528,1.181683881416,1.21973915020956,1.2407781835669496,0.531792014837265,0.46032001078128815,0.12520000338554382,0.06770833333333333
ep4_serving_straggler_regime_20260901_2048,long_multi_image,2,480,2048.0,2048,1,1.1653170885007973,1.3797917597703688,1.0375820259873647,1.1863990101425232,1.2552345772550262,1.2733454757813958,0.5433759987354279,0.4742079973220825,0.13862400501966476,0.08125
ep4_serving_straggler_regime_20260901_2048,long_multi_image,4,864,2048.0,2048,2,1.1795842755685069,1.3904422656771689,1.0381964492121316,1.1721751752560918,1.2561945388731823,1.2531394631509403,0.5479840040206909,0.4768639951944351,0.1407999992370605,0.06944444444444445
ep4_serving_straggler_regime_20260901_2048,text_control,1,96,128.0,128,1,1.2788461538461537,1.5846153846153843,1.0311786406943304,1.1623170660295614,1.1600746607749852,1.1152520781288193,0.413455992937088,0.3993600010871887,0.11323200166225425,0.0625
ep4_serving_straggler_regime_20260901_2048,text_control,2,192,188.0,248,1,1.2833076923076923,1.5740384615384613,1.0296690395407486,1.1423253884585456,1.165267792123914,1.120073107477047,0.41548798978328705,0.39963199198246,0.1164480000734329,0.046875
