label,wave,iteration,scheduler_iteration,worker_dp_rank,ep_rank,layer,total_assignments,dispatched_rows,runtime_m,delay_ms,measured,pre_moe_cuda_ms,prepare_host_ms,dispatch_cuda_ms,expert_cuda_ms,combine_cuda_ms,event_wait_cuda_ms,ep_entry_to_done_ms
A_bal_4k,1,0,35,0,0,21,5590,2052,2052,0.0,True,1.2636799812316895,0.342967,0.28166401386260986,0.5274239778518677,0.07472000271081924,0.06537599861621857,0.6362879872322083
A_bal_4k,1,0,35,0,0,22,4116,2052,2052,0.0,True,1.2437759637832642,0.312458,0.2643519937992096,0.47417598962783813,0.09996800124645233,0.060256000608205795,0.6094080209732056
A_bal_4k,1,0,35,0,0,23,8940,2052,2052,0.0,True,1.3200000524520874,0.349958,0.29971200227737427,0.5643519759178162,0.0751039981842041,0.06595200300216675,0.6794559955596924
A_bal_4k,1,0,35,0,0,24,4220,2052,2052,0.0,True,1.2672959566116333,0.308945,0.26214399933815,0.5108159780502319,0.07977599650621414,0.058240000158548355,0.6243839859962463
A_bal_4k,1,0,35,0,0,25,2734,2052,2052,0.0,True,1.2961920499801636,0.356209,0.2901439964771271,0.6053439974784851,0.1045759990811348,0.0244159996509552,0.7533439993858337
A_bal_4k,1,0,35,0,0,26,4078,2052,2052,0.0,True,1.3054720163345337,0.340681,0.28515198826789856,0.48972800374031067,0.12089599668979645,0.10105600208044052,0.6464319825172424
A_bal_4k,1,0,35,0,0,27,4104,2048,2048,0.0,True,1.3030400276184082,0.341704,0.29443201422691345,0.4883520007133484,0.0899839997291565,0.08073599636554718,0.612064003944397
A_bal_4k,1,0,35,0,0,28,6206,2048,2048,0.0,True,1.2605760097503662,0.324371,0.2731199860572815,0.515999972820282,0.12438400089740753,0.11507199704647064,0.6766080260276794
A_bal_4k,1,0,35,0,0,29,7854,2052,2052,0.0,True,1.2970240116119385,0.323732,0.2742080092430115,0.5722240209579468,0.07529599964618683,0.06601600348949432,0.691648006439209
A_bal_4k,1,0,35,0,0,30,4094,2052,2052,0.0,True,1.2744959592819214,0.323267,0.27244800329208374,0.49270400404930115,0.08710400015115738,0.043136000633239746,0.6153920292854309
A_bal_4k,1,0,35,0,0,31,6068,2052,2052,0.0,True,1.2789119482040405,0.321309,0.2693440020084381,0.5215359926223755,0.07545600086450577,0.06630399823188782,0.6330239772796631
