scope,restart,control_group,task,phase,high_heterogeneity_control,low_heterogeneity_control,high_over_low_latency
dense,1,dense_002,gsm8k,early,0.6218880116939545,0.5003999769687653,1.2427818551493908
dense,1,dense_003,gsm8k,late,0.2161279991269111,0.20939200371503824,1.0321693058586892
dense,1,dense_004,gsm8k,late,0.6183200180530548,0.6024480164051056,1.0263458443147673
dense,1,dense_005,gsm8k,late,0.558432012796402,0.5453119874000549,1.0240596680423273
dense,1,dense_006,gsm8k,middle,0.5887359976768494,0.5898720026016235,0.9980741501211046
dense,1,dense_007,gsm8k,middle,0.5889759957790375,0.5745759904384613,1.0250619684431774
dense,1,dense_008,gsm8k,middle,0.6309600174427032,0.6181280016899109,1.0207594797804187
dense,1,dense_009,humaneval,early,0.5799680054187775,0.5690720081329346,1.019146957028499
dense,1,dense_010,humaneval,early,0.5634559988975525,0.5558879971504211,1.0136142564436115
dense,1,dense_011,humaneval,early,0.7523999810218811,0.7366080284118652,1.0214387462543186
dense,1,dense_012,humaneval,late,0.2488320022821426,0.25251199305057526,0.985426471337163
dense,1,dense_013,humaneval,late,0.5575360059738159,0.5548479855060577,1.0048446070599077
dense,1,dense_014,humaneval,late,0.6997759938240051,0.7167679965496063,0.9762935806182786
dense,1,dense_015,humaneval,middle,0.4829760044813156,0.47168000042438507,1.0239484481995573
dense,1,dense_016,humaneval,middle,0.6545920073986053,0.6428160071372986,1.0183193948665805
dense,1,dense_017,humaneval,middle,0.7556959986686707,0.742688000202179,1.0175147551366799
dense,2,dense_000,gsm8k,early,0.6335839927196503,0.6132960021495819,1.0330802589597188
dense,2,dense_001,gsm8k,early,0.607344001531601,0.5952959954738617,1.0202386815119577
dense,2,dense_002,gsm8k,early,0.6191200017929077,0.49865600466728205,1.241577351918188
dense,2,dense_003,gsm8k,late,0.21862399578094474,0.20838399976491925,1.0491400300770566
dense,2,dense_004,gsm8k,late,0.6178559958934784,0.5994719862937927,1.030667003663247
dense,2,dense_005,gsm8k,late,0.5549440085887909,0.5428319871425629,1.0223126524101591
dense,2,dense_006,gsm8k,middle,0.5878239870071411,0.5861599743366241,1.0028388370809524
dense,2,dense_007,gsm8k,middle,0.5863359868526459,0.5700159966945648,1.028630758176469
dense,2,dense_008,gsm8k,middle,0.6291840076446533,0.6197119951248169,1.01528453958347
dense,2,dense_009,humaneval,early,0.5806559920310974,0.5701279938220978,1.0184660257399758
dense,2,dense_010,humaneval,early,0.560560017824173,0.5566399991512299,1.0070422870776812
dense,2,dense_011,humaneval,early,0.7483839988708496,0.7356640100479126,1.0172904867564592
dense,2,dense_012,humaneval,late,0.24960000067949295,0.25267200171947474,0.9878419412555554
dense,2,dense_013,humaneval,late,0.5556319952011108,0.5547360181808472,1.0016151412399754
dense,2,dense_014,humaneval,late,0.6967999935150146,0.6795519888401031,1.0253814350604011
dense,2,dense_015,humaneval,middle,0.4828000068664551,0.46695999801158905,1.0339215541423592
dense,2,dense_016,humaneval,middle,0.650303989648819,0.6419039964675903,1.013086058394174
dense,2,dense_017,humaneval,middle,0.7546560168266296,0.7433919906616211,1.0151522027497009
dense,3,dense_000,gsm8k,early,0.6319519877433777,0.6128959953784943,1.0310917227532468
dense,3,dense_001,gsm8k,early,0.608159989118576,0.5947200059890747,1.022598841461789
dense,3,dense_002,gsm8k,early,0.6184159815311432,0.49667198956012726,1.2451195044818961
dense,3,dense_003,gsm8k,late,0.21393600106239313,0.20982399582862848,1.0195974021823657
dense,3,dense_004,gsm8k,late,0.6155360043048859,0.5997920036315918,1.026249100651506
dense,3,dense_005,gsm8k,late,0.5547199845314026,0.5432159900665283,1.0211775696504541
dense,3,dense_006,gsm8k,middle,0.5862720012664795,0.5881919860839844,0.9967357854868313
dense,3,dense_007,gsm8k,middle,0.5880959928035736,0.5710560083389282,1.0298394276845293
dense,3,dense_008,gsm8k,middle,0.6276639997959137,0.6179839968681335,1.0156638407739313
dense,3,dense_009,humaneval,early,0.5797599852085114,0.5675839781761169,1.0214523444997883
dense,3,dense_010,humaneval,early,0.5603199899196625,0.5537599921226501,1.0118462833905115
dense,3,dense_011,humaneval,early,0.7486560046672821,0.7344479858875275,1.0193451667820768
dense,3,dense_012,humaneval,late,0.24739199876785276,0.2507359981536865,0.9866632657039374
dense,3,dense_013,humaneval,late,0.5548639893531799,0.5519839823246002,1.0052175554378426
dense,3,dense_014,humaneval,late,0.6954559981822968,0.6770880222320557,1.0271278996927018
dense,3,dense_015,humaneval,middle,0.47948800027370453,0.4676800072193146,1.0252480176020282
dense,3,dense_016,humaneval,middle,0.6514240205287933,0.642655998468399,1.0136434143325366
dense,3,dense_017,humaneval,middle,0.7533279955387115,0.7399359941482544,1.018098864626626
