restart,scope,case_id,rows,max_abs,mean_abs,relative_l2,cosine,note
1,compacted,case_002_low_heterogeneity_control,114,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_002_high_heterogeneity_control,114,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_006_real,3,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_006_low_heterogeneity_control,3,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_006_high_heterogeneity_control,3,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_007_real,67,0.0,0.0,0.0,0.9999999403953552,independent BF16 grouped reduction-order comparison
1,compacted,case_007_low_heterogeneity_control,67,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_007_high_heterogeneity_control,67,0.0,0.0,0.0,1.0000001192092896,independent BF16 grouped reduction-order comparison
1,compacted,case_010_real,532,0.0,0.0,0.0,1.0000001192092896,independent BF16 grouped reduction-order comparison
1,compacted,case_010_low_heterogeneity_control,532,0.0,0.0,0.0,1.0000001192092896,independent BF16 grouped reduction-order comparison
1,compacted,case_010_high_heterogeneity_control,532,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_011_real,746,0.0,0.0,0.0,1.0000001192092896,independent BF16 grouped reduction-order comparison
1,compacted,case_011_low_heterogeneity_control,746,0.0,0.0,0.0,0.9999998807907104,independent BF16 grouped reduction-order comparison
1,compacted,case_011_high_heterogeneity_control,746,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_012_real,1099,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_012_low_heterogeneity_control,1099,0.0,0.0,0.0,1.0000001192092896,independent BF16 grouped reduction-order comparison
1,compacted,case_012_high_heterogeneity_control,1099,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_015_real,276,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_015_low_heterogeneity_control,276,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
