case_id,geometry,task,wave,normalized_progress,phase,layer,rank,physical_dense_m,fresh_m,assignments,active_experts,inactive_fraction,mean_m_e,median_m_e,p90_m_e,max_m_e,m_e_std,m_e_cv,tiny_le1_active_fraction,tiny_le2_active_fraction,tiny_le4_active_fraction,tiny_le8_active_fraction,large_ge16_active_fraction,large_ge32_active_fraction,heterogeneous_25tiny_10large,heterogeneous_40tiny_05large,dense_measured_expert_ms,compacted_predicted_expert_ms,same_total_assignment_control_group
case_008_high_heterogeneity_control,high_heterogeneity_control,gsm8k,26,0.40625,late,2,3,448,98,185,19,0.703125,9.736842105263158,17.0,18.0,18,8.296112629692471,0.852033188995443,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.0,1,1,0.9971200227737427,0.496230638187093,case_008
case_009_real,real,gsm8k,8,0.125,late,8,3,960,315,620,42,0.34375,14.761904761904763,4.0,15.0,180,37.85423768427515,2.564319326999284,0.2619047619047619,0.38095238095238093,0.5238095238095238,0.7380952380952381,0.07142857142857142,0.07142857142857142,0,1,1.017024040222168,0.7675125798051697,case_009
case_009_low_heterogeneity_control,low_heterogeneity_control,gsm8k,8,0.125,late,8,3,960,315,620,42,0.34375,14.761904761904763,15.0,15.0,15,0.4259177099999599,0.02885249003225535,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.017024040222168,0.7675125798051697,case_009
case_009_high_heterogeneity_control,high_heterogeneity_control,gsm8k,8,0.125,late,8,3,960,315,620,42,0.34375,14.761904761904763,14.5,29.0,29,13.766435240432614,0.9325649679002738,0.5,0.5,0.5,0.5,0.5,0.0,0,1,1.017024040222168,0.7675125798051697,case_009
case_010_real,real,gsm8k,44,0.6875,middle,19,2,704,258,532,44,0.3125,12.090909090909092,10.0,29.10000000000001,40,10.237671481121666,0.8467247089649498,0.11363636363636363,0.18181818181818182,0.3181818181818182,0.4772727272727273,0.3181818181818182,0.045454545454545456,1,0,0.9631680250167847,0.7815718019335943,case_010
case_010_low_heterogeneity_control,low_heterogeneity_control,gsm8k,44,0.6875,middle,19,2,704,258,532,44,0.3125,12.090909090909092,12.0,12.0,13,0.2874797872880345,0.023776523760664508,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.9631680250167847,0.7815718019335943,case_010
case_010_high_heterogeneity_control,high_heterogeneity_control,gsm8k,44,0.6875,middle,19,2,704,258,532,44,0.3125,12.090909090909092,12.0,23.0,24,11.094261788334506,0.9175705238472147,0.5,0.5,0.5,0.5,0.5,0.0,1,0,0.9631680250167847,0.7815718019335943,case_010
case_011_real,real,gsm8k,42,0.65625,middle,31,1,800,375,746,43,0.328125,17.348837209302324,8.0,41.800000000000004,141,26.88726137466055,1.5498019291024179,0.16279069767441862,0.23255813953488372,0.3953488372093023,0.5813953488372093,0.3023255813953488,0.18604651162790697,1,0,0.9108160138130188,0.7871522736307408,case_011
case_011_low_heterogeneity_control,low_heterogeneity_control,gsm8k,42,0.65625,middle,31,1,800,375,746,43,0.328125,17.348837209302324,17.0,18.0,18,0.4766023612074231,0.027471717871205354,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.9108160138130188,0.7871522736307408,case_011
case_011_high_heterogeneity_control,high_heterogeneity_control,gsm8k,42,0.65625,middle,31,1,800,375,746,43,0.328125,17.348837209302324,32.0,33.0,33,15.973646495676808,0.9207329749518804,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.5116279069767442,0.5116279069767442,1,0,0.9108160138130188,0.7871522736307408,case_011
case_012_real,real,gsm8k,2,0.03125,middle,10,0,992,419,1099,47,0.265625,23.382978723404257,9.0,72.6,135,32.56976354704138,1.392883427398494,0.19148936170212766,0.23404255319148937,0.3404255319148936,0.46808510638297873,0.3404255319148936,0.23404255319148937,1,0,1.050719976425171,0.8753396837917379,case_012
case_012_low_heterogeneity_control,low_heterogeneity_control,gsm8k,2,0.03125,middle,10,0,992,419,1099,47,0.265625,23.382978723404257,23.0,24.0,24,0.4861131769700366,0.02078918955194879,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1.050719976425171,0.8753396837917379,case_012
case_012_high_heterogeneity_control,high_heterogeneity_control,gsm8k,2,0.03125,middle,10,0,992,419,1099,47,0.265625,23.382978723404257,44.0,45.0,45,21.913323637215196,0.9371485085979201,0.48936170212765956,0.48936170212765956,0.48936170212765956,0.48936170212765956,0.5106382978723404,0.5106382978723404,1,0,1.050719976425171,0.8753396837917379,case_012
case_013_real,real,gsm8k,16,0.25,middle,6,3,864,468,615,44,0.3125,13.977272727272727,5.0,41.400000000000006,83,18.207751391750758,1.3026683922553388,0.1590909090909091,0.29545454545454547,0.45454545454545453,0.6590909090909091,0.2727272727272727,0.18181818181818182,1,1,1.027232050895691,0.7979911144439562,case_013
case_013_low_heterogeneity_control,low_heterogeneity_control,gsm8k,16,0.25,middle,6,3,864,468,615,44,0.3125,13.977272727272727,14.0,14.0,14,0.14903269373413638,0.01066250166553171,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.027232050895691,0.7979911144439562,case_013
case_013_high_heterogeneity_control,high_heterogeneity_control,gsm8k,16,0.25,middle,6,3,864,468,615,44,0.3125,13.977272727272727,13.5,27.0,27,12.978108554519514,0.9285150835753799,0.5,0.5,0.5,0.5,0.5,0.0,1,1,1.027232050895691,0.7979911144439562,case_013
case_014_real,real,gsm8k,38,0.59375,middle,3,3,1024,675,1489,45,0.296875,33.08888888888889,5.0,41.000000000000014,494,100.25895852956033,3.029988672820829,0.3111111111111111,0.4,0.4888888888888889,0.7333333333333333,0.2,0.15555555555555556,1,1,1.0563839673995972,0.8640200141537343,case_014
case_014_low_heterogeneity_control,low_heterogeneity_control,gsm8k,38,0.59375,middle,3,3,1024,675,1489,45,0.296875,33.08888888888889,33.0,33.0,34,0.2845832994414599,0.008600569828653926,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0563839673995972,0.8640200141537343,case_014
case_014_high_heterogeneity_control,high_heterogeneity_control,gsm8k,38,0.59375,middle,3,3,1024,675,1489,45,0.296875,33.08888888888889,63.0,64.0,64,31.38493780442545,0.9485038288778679,0.4888888888888889,0.4888888888888889,0.4888888888888889,0.4888888888888889,0.5111111111111111,0.5111111111111111,1,1,1.0563839673995972,0.8640200141537343,case_014
case_015_real,real,humaneval,29,0.34523809523809523,early,4,2,1024,802,276,24,0.625,11.5,8.0,26.4,39,10.688779163215974,0.9294590576709543,0.16666666666666666,0.375,0.375,0.5416666666666666,0.3333333333333333,0.041666666666666664,1,0,0.8657919764518738,0.53702352539811,case_015
case_015_low_heterogeneity_control,low_heterogeneity_control,humaneval,29,0.34523809523809523,early,4,2,1024,802,276,24,0.625,11.5,11.5,12.0,12,0.5,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.8657919764518738,0.53702352539811,case_015
case_015_high_heterogeneity_control,high_heterogeneity_control,humaneval,29,0.34523809523809523,early,4,2,1024,802,276,24,0.625,11.5,11.5,22.0,22,10.5,0.9130434782608695,0.5,0.5,0.5,0.5,0.5,0.0,1,0,0.8657919764518738,0.53702352539811,case_015
case_016_real,real,humaneval,29,0.34523809523809523,early,23,3,1024,802,1667,44,0.3125,37.88636363636363,17.5,98.40000000000003,271,50.16527951277698,1.3240985594254273,0.13636363636363635,0.1590909090909091,0.25,0.36363636363636365,0.5227272727272727,0.38636363636363635,1,0,0.9997760057449341,0.8849565470150172,case_016
case_016_low_heterogeneity_control,low_heterogeneity_control,humaneval,29,0.34523809523809523,early,23,3,1024,802,1667,44,0.3125,37.88636363636363,38.0,38.0,38,0.31736909190383955,0.008376868652530858,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0.9997760057449341,0.8849565470150172,case_016
case_016_high_heterogeneity_control,high_heterogeneity_control,humaneval,29,0.34523809523809523,early,23,3,1024,802,1667,44,0.3125,37.88636363636363,37.5,75.0,75,36.88755389330397,0.9736366954441361,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.9997760057449341,0.8849565470150172,case_016
case_017_real,real,humaneval,29,0.34523809523809523,early,15,1,1024,802,1525,42,0.34375,36.30952380952381,12.5,95.99999999999994,228,55.405641837201834,1.5259258735491652,0.11904761904761904,0.16666666666666666,0.2619047619047619,0.40476190476190477,0.47619047619047616,0.30952380952380953,1,0,0.9176639914512634,0.8476981970115715,case_017
case_017_low_heterogeneity_control,low_heterogeneity_control,humaneval,29,0.34523809523809523,early,15,1,1024,802,1525,42,0.34375,36.30952380952381,36.0,37.0,37,0.4622973294987523,0.012732123173080392,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0.9176639914512634,0.8476981970115715,case_017
case_017_high_heterogeneity_control,high_heterogeneity_control,humaneval,29,0.34523809523809523,early,15,1,1024,802,1525,42,0.34375,36.30952380952381,36.0,72.0,72,35.31119348715827,0.9725050009578016,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.9176639914512634,0.8476981970115715,case_017
case_018_real,real,humaneval,29,0.34523809523809523,early,5,0,1024,802,2398,38,0.40625,63.10526315789474,15.5,188.4000000000001,467,114.84149018118849,1.819840127975464,0.05263157894736842,0.10526315789473684,0.23684210526315788,0.2894736842105263,0.5,0.3684210526315789,0,0,1.1397440433502197,0.8804823028990363,case_018
case_018_low_heterogeneity_control,low_heterogeneity_control,humaneval,29,0.34523809523809523,early,5,0,1024,802,2398,38,0.40625,63.10526315789474,63.0,63.300000000000004,64,0.306892204991858,0.004863179228394747,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1.1397440433502197,0.8804823028990363,case_018
case_018_high_heterogeneity_control,high_heterogeneity_control,humaneval,29,0.34523809523809523,early,5,0,1024,802,2398,38,0.40625,63.10526315789474,63.0,125.30000000000001,126,62.10593219978614,0.9841640632159605,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1.1397440433502197,0.8804823028990363,case_018
case_019_real,real,humaneval,29,0.34523809523809523,early,3,3,1024,802,820,27,0.578125,30.37037037037037,4.0,39.40000000000005,515,96.7693508825661,3.186307894913762,0.14814814814814814,0.2962962962962963,0.5185185185185185,0.6296296296296297,0.2222222222222222,0.1111111111111111,1,1,0.9472960233688354,0.6410949593888303,case_019
case_019_low_heterogeneity_control,low_heterogeneity_control,humaneval,29,0.34523809523809523,early,3,3,1024,802,820,27,0.578125,30.37037037037037,30.0,31.0,31,0.4829038818668629,0.015900493671225972,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.9472960233688354,0.6410949593888303,case_019
case_019_high_heterogeneity_control,high_heterogeneity_control,humaneval,29,0.34523809523809523,early,3,3,1024,802,820,27,0.578125,30.37037037037037,57.0,58.0,58,28.304100145526814,0.9319642730844194,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5185185185185185,0.5185185185185185,1,1,0.9472960233688354,0.6410949593888303,case_019
case_020_real,real,humaneval,28,0.3333333333333333,late,1,0,32,0,0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.566208004951477,0.0,case_020
case_020_low_heterogeneity_control,low_heterogeneity_control,humaneval,28,0.3333333333333333,late,1,0,32,0,0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.566208004951477,0.0,case_020
case_020_high_heterogeneity_control,high_heterogeneity_control,humaneval,28,0.3333333333333333,late,1,0,32,0,0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.566208004951477,0.0,case_020
case_021_real,real,humaneval,81,0.9642857142857143,late,24,1,32,4,3,3,0.953125,1.0,1.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.502016007900238,0.5108984753726298,case_021
case_021_low_heterogeneity_control,low_heterogeneity_control,humaneval,81,0.9642857142857143,late,24,1,32,4,3,3,0.953125,1.0,1.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.502016007900238,0.5108984753726298,case_021
case_021_high_heterogeneity_control,high_heterogeneity_control,humaneval,81,0.9642857142857143,late,24,1,32,4,3,3,0.953125,1.0,1.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.502016007900238,0.5108984753726298,case_021
case_022_real,real,humaneval,77,0.9166666666666666,late,11,3,64,16,15,5,0.921875,3.0,3.0,3.0,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0.41596800088882446,0.5024790398399767,case_022
case_022_low_heterogeneity_control,low_heterogeneity_control,humaneval,77,0.9166666666666666,late,11,3,64,16,15,5,0.921875,3.0,3.0,3.0,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0.41596800088882446,0.5024790398399767,case_022
case_022_high_heterogeneity_control,high_heterogeneity_control,humaneval,77,0.9166666666666666,late,11,3,64,16,15,5,0.921875,3.0,4.0,4.6,5,1.6733200530681511,0.5577733510227171,0.4,0.4,0.8,1.0,0.0,0.0,0,0,0.41596800088882446,0.5024790398399767,case_022
case_023_real,real,humaneval,69,0.8214285714285714,late,10,2,128,41,82,18,0.71875,4.555555555555555,3.0,10.3,17,4.1126123385159445,0.9027685621132562,0.16666666666666666,0.3888888888888889,0.6666666666666666,0.8333333333333334,0.05555555555555555,0.0,0,1,0.7553279995918274,0.5002978543773051,case_023
case_023_low_heterogeneity_control,low_heterogeneity_control,humaneval,69,0.8214285714285714,late,10,2,128,41,82,18,0.71875,4.555555555555555,5.0,5.0,5,0.49690399499995325,0.10907648670730681,0.0,0.0,0.4444444444444444,1.0,0.0,0.0,0,1,0.7553279995918274,0.5002978543773051,case_023
case_023_high_heterogeneity_control,high_heterogeneity_control,humaneval,69,0.8214285714285714,late,10,2,128,41,82,18,0.71875,4.555555555555555,4.5,8.0,9,3.5624932315291997,0.7820107093600682,0.5,0.5,0.5,0.9444444444444444,0.0,0.0,0,1,0.7553279995918274,0.5002978543773051,case_023
case_024_real,real,humaneval,47,0.5595238095238095,late,3,1,672,206,200,27,0.578125,7.407407407407407,2.0,12.400000000000002,98,18.21529528081696,2.4590648629102896,0.37037037037037035,0.5185185185185185,0.7037037037037037,0.8148148148148148,0.07407407407407407,0.037037037037037035,0,1,0.9965760111808777,0.5526013342792635,case_024
case_024_low_heterogeneity_control,low_heterogeneity_control,humaneval,47,0.5595238095238095,late,3,1,672,206,200,27,0.578125,7.407407407407407,7.0,8.0,8,0.4913518207933925,0.06633249580710798,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0.9965760111808777,0.5526013342792635,case_024
case_024_high_heterogeneity_control,high_heterogeneity_control,humaneval,47,0.5595238095238095,late,3,1,672,206,200,27,0.578125,7.407407407407407,13.0,14.0,14,6.183965282227657,0.8348353131007337,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.0,0.0,0,1,0.9965760111808777,0.5526013342792635,case_024
case_025_real,real,humaneval,75,0.8928571428571429,middle,24,1,64,22,12,6,0.90625,2.0,2.0,2.5,3,0.5773502691896257,0.28867513459481287,0.16666666666666666,0.8333333333333334,1.0,1.0,0.0,0.0,0,0,0.49798399209976196,0.5028620845727146,case_025
case_025_low_heterogeneity_control,low_heterogeneity_control,humaneval,75,0.8928571428571429,middle,24,1,64,22,12,6,0.90625,2.0,2.0,2.0,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.49798399209976196,0.5028620845727146,case_025
case_025_high_heterogeneity_control,high_heterogeneity_control,humaneval,75,0.8928571428571429,middle,24,1,64,22,12,6,0.90625,2.0,2.0,3.0,3,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0,0,0.49798399209976196,0.5028620845727146,case_025
case_026_real,real,humaneval,12,0.14285714285714285,middle,21,3,160,81,137,19,0.703125,7.2105263157894735,4.0,13.199999999999992,33,7.729498842394029,1.0719742920108508,0.0,0.2631578947368421,0.5263157894736842,0.7368421052631579,0.10526315789473684,0.05263157894736842,1,1,0.6097599864006042,0.4549929871687927,case_026
case_026_low_heterogeneity_control,low_heterogeneity_control,humaneval,12,0.14285714285714285,middle,21,3,160,81,137,19,0.703125,7.2105263157894735,7.0,8.0,8,0.40768245749551757,0.05653990286434185,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.6097599864006042,0.4549929871687927,case_026
case_026_high_heterogeneity_control,high_heterogeneity_control,humaneval,12,0.14285714285714285,middle,21,3,160,81,137,19,0.703125,7.2105263157894735,12.0,13.0,13,5.898964649285331,0.8181045863972357,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.0,0.0,1,1,0.6097599864006042,0.4549929871687927,case_026
case_027_real,real,humaneval,57,0.6785714285714286,middle,22,2,448,172,437,33,0.484375,13.242424242424242,9.0,30.000000000000004,65,14.591467625169923,1.1018728412599712,0.09090909090909091,0.18181818181818182,0.3333333333333333,0.48484848484848486,0.21212121212121213,0.09090909090909091,1,0,0.9157760143280029,0.6623576354225275,case_027
case_027_low_heterogeneity_control,low_heterogeneity_control,humaneval,57,0.6785714285714286,middle,22,2,448,172,437,33,0.484375,13.242424242424242,13.0,14.0,14,0.4285495643554833,0.032361866415860294,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.9157760143280029,0.6623576354225275,case_027
case_027_high_heterogeneity_control,high_heterogeneity_control,humaneval,57,0.6785714285714286,middle,22,2,448,172,437,33,0.484375,13.242424242424242,24.0,25.0,25,11.880797603646238,0.8971769357444528,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.5151515151515151,0.0,1,0,0.9157760143280029,0.6623576354225275,case_027
case_028_real,real,humaneval,44,0.5238095238095238,middle,10,1,736,309,539,46,0.28125,11.717391304347826,5.0,34.0,62,14.477363204970029,1.2355449117414126,0.13043478260869565,0.2608695652173913,0.41304347826086957,0.6521739130434783,0.2391304347826087,0.10869565217391304,1,1,0.9798399806022644,0.7994169283135413,case_028
case_028_low_heterogeneity_control,low_heterogeneity_control,humaneval,44,0.5238095238095238,middle,10,1,736,309,539,46,0.28125,11.717391304347826,12.0,12.0,12,0.4502677212436517,0.038427300885358034,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.9798399806022644,0.7994169283135413,case_028
case_028_high_heterogeneity_control,high_heterogeneity_control,humaneval,44,0.5238095238095238,middle,10,1,736,309,539,46,0.28125,11.717391304347826,11.5,23.0,23,10.72312220001461,0.9151458649363118,0.5,0.5,0.5,0.5,0.5,0.0,1,1,0.9798399806022644,0.7994169283135413,case_028
case_029_real,real,humaneval,35,0.4166666666666667,middle,3,3,1024,639,864,41,0.359375,21.073170731707318,4.0,31.0,409,63.92006831855626,3.033243982709267,0.21951219512195122,0.3902439024390244,0.5609756097560976,0.6585365853658537,0.24390243902439024,0.0975609756097561,1,1,1.0957119464874268,0.7782387965811682,case_029
case_029_low_heterogeneity_control,low_heterogeneity_control,humaneval,35,0.4166666666666667,middle,3,3,1024,639,864,41,0.359375,21.073170731707318,21.0,21.0,22,0.26041654273247106,0.012357729458369575,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0957119464874268,0.7782387965811682,case_029
case_029_high_heterogeneity_control,high_heterogeneity_control,humaneval,35,0.4166666666666667,middle,3,3,1024,639,864,41,0.359375,21.073170731707318,40.0,40.0,41,19.591424510144847,0.929685653837892,0.4878048780487805,0.4878048780487805,0.4878048780487805,0.4878048780487805,0.5121951219512195,0.5121951219512195,1,1,1.0957119464874268,0.7782387965811682,case_029
