task_id,request_id,source,layer,budget,rank,interval,expert_ms,wall_ms,dispatch_ms,combine_ms,expert_cv
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(400, 479)",0.3748807907104492,0.6770877838134766,0.08822345733642578,0.08012771606445312,0.02507686201231143
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(240, 352)",0.3781118392944336,0.7084159851074219,0.09439945220947266,0.07897663116455078,0.020497118396983552
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(416, 479)",0.9074239730834961,1.3521919250488281,0.09241580963134766,0.1419200897216797,0.06333103601162696
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(16, 32)",0.418975830078125,0.8032636642456055,0.09871959686279297,0.06300926208496094,0.04644626294837836
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(272, 384)",0.38780784606933594,0.6930227279663086,0.09942436218261719,0.07119941711425781,0.01823400238634571
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(256, 272)",0.34966468811035156,0.7018241882324219,0.08348846435546875,0.08768081665039062,0.03897530065290175
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(256, 384)",0.4006080627441406,0.7069129943847656,0.09744071960449219,0.08016014099121094,0.017974806366836155
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(128, 144)",0.34531211853027344,0.6821117401123047,0.08156776428222656,0.09337615966796875,0.027526538841249434
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(16, 128)",0.3655681610107422,0.7070083618164062,0.09820747375488281,0.08998489379882812,0.02963029869195593
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(368, 384)",0.34332847595214844,0.6932144165039062,0.08028793334960938,0.08960151672363281,0.04478257806436206
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(384, 495)",0.36780738830566406,0.6879692077636719,0.09904098510742188,0.09049606323242188,0.01851435129313333
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(479, 495)",0.6656627655029297,1.0402565002441406,0.09257698059082031,0.11004829406738281,0.05789893069769612
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(224, 256)",0.39875030517578125,0.9398403167724609,0.10160064697265625,0.20832061767578125,0.10795646601505016
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(0, 240)",0.9356799125671387,3.2945599937811494,1.3875199938192964,0.21315217018127441,0.1804776503239737
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(479, 495)",0.4295358657836914,0.8179841041564941,0.10726404190063477,0.08899211883544922,0.19322414227615667
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(224, 288)",0.3698239326477051,0.737055778503418,0.09743976593017578,0.07052803039550781,0.20215563326217476
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(272, 495)",0.4216957092285156,0.7459197044372559,0.1116480827331543,0.09507179260253906,0.11881918264569258
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(0, 32)",0.3770561218261719,0.7006716728210449,0.0757761001586914,0.10124826431274414,0.21371974467399835
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(479, 511)",0.759552001953125,1.1767044067382812,0.08864021301269531,0.145599365234375,0.04802574901408345
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(16, 32)",0.40895986557006836,0.9768638610839844,0.10537576675415039,0.30848026275634766,0.1258243055147728
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(272, 288)",0.36768054962158203,0.799168586730957,0.09856033325195312,0.16550445556640625,0.08667090672618136
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(16, 272)",0.42476844787597656,0.7757759094238281,0.13887977600097656,0.07996845245361328,0.11164658417978038
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(0, 256)",0.4249277114868164,0.7209920883178711,0.09599971771240234,0.08160018920898438,0.06729457471379144
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(240, 272)",0.36284828186035156,0.6792640686035156,0.07244873046875,0.10086345672607422,0.07370342148437581
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(32, 224)",0.39644813537597656,0.7234878540039062,0.12723159790039062,0.08745574951171875,0.039182624641651564
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(495, 511)",0.33977603912353516,0.6818561553955078,0.07897663116455078,0.09046459197998047,0.10543619554206532
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(0, 16)",0.3448963165283203,0.7270727157592773,0.09884834289550781,0.09558391571044922,0.09334260875856082
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(288, 495)",0.4225597381591797,1.0403203964233398,0.12006378173828125,0.3475208282470703,0.03833096765976804
