pair_id,request_id,source,category,layer,M,wall_a_ms,wall_b_ms,wall_abs_gap_pct,expert_a_ms,expert_b_ms,expert_abs_gap_pct,dispatch_a_ms,dispatch_b_ms,dispatch_abs_gap_pct,combine_a_ms,combine_b_ms,combine_abs_gap_pct,shape_score,delta_active_experts,delta_entropy,delta_hhi,delta_max_expert_load,delta_p10_active_load,delta_median_active_load,delta_tiny_le_1,delta_tiny_le_2,delta_tiny_le_4,delta_rank_imbalance,delta_rank_cv
10,retina,short,fine_grained,47,128,0.913455992937088,2.105776071548462,130.52846418770957,0.4447680115699768,0.986111968755722,121.71377956676046,0.20225600292906165,0.21433600084856153,5.972627632583423,0.12076801061630249,0.15988796949386597,32.39264990615211,,15.0,0.14051956856918757,-0.001743316650390625,3.0,-2.0,-3.0,0.08316430020283976,0.11561866125760649,0.07369844489519944,0.03515625,0.033586861494838444
11,long_10img_chart_mixed,long,multi_image,24,128,2.118048071861267,2.0832959413528442,1.6681322042923783,0.9939999878406525,0.9634400010108948,3.171965747497764,0.21731199976056814,0.21371199563145638,1.6845119612845356,0.16008007526397705,0.1547519564628601,3.4430057770517895,,27.0,1.0357452808235683,-0.023983001708984375,-69.0,1.0,2.0,-0.10038610038610038,-0.12934362934362936,-0.15797940797940802,-0.20703125,-0.33662404786952466
12,long_12img_broad,long,multi_image,0,128,2.1127519607543945,0.9151359796524048,130.86754402956367,1.0055840015411377,0.42742401361465454,135.2661454458488,0.21236799750477076,0.21519999811425805,1.3335345451113345,0.16870403289794922,0.11276799440383911,49.602760774298034,,-23.0,-0.37494131737598657,0.0045166015625,-2.0,0.0,1.0,0.04335414808206958,0.021498661909009786,0.028902765388046425,-0.06640625,-0.03783117784751895
13,long_6img_natural_fine,long,multi_image,0,128,2.968656063079834,3.5902719497680664,20.939302953247356,1.3626559376716614,0.8951840996742249,52.22074857758965,0.30012799706310034,0.942543966230005,214.04733162292757,0.16787198185920715,1.25791996717453,649.332886431005,,-23.0,-0.37494131737598657,0.0045166015625,-2.0,0.0,1.0,0.04335414808206958,0.021498661909009786,0.028902765388046425,-0.06640625,-0.03783117784751895
14,long_6img_natural_fine,long,multi_image,47,128,2.114799976348877,2.1378560066223145,1.090222741218433,0.9790720045566559,1.0490880012512207,7.151261231932529,0.21657599974423647,0.22065600380301476,1.8838671245181973,0.18376004695892334,0.15696001052856445,17.074435928049116,,-6.0,-0.5755867392434091,0.012533187866210938,38.0,0.0,-5.0,0.033396226415094335,0.02679245283018869,0.1741509433962264,0.14453125,0.1129634197054421
15,long_8img_mixed,long,multi_image,47,128,2.0802719593048096,2.1004639863967896,0.9706436219391142,0.9610079824924469,0.9549600481987,0.6333180435301882,0.4150559976696968,0.38438400300219655,7.979519029912643,0.33820801973342896,0.3779679536819458,11.75605888348097,,-8.0,0.10668227971732946,-0.00311279296875,6.0,1.0,3.0,-0.04246794871794872,-0.051282051282051294,-0.12580128205128205,0.02734375,0.03510125835329042
16,model_card,short,chart_document,0,256,2.1183360815048218,2.0950080156326294,1.113507237114222,0.9644640386104584,0.9701120257377625,0.5856088875476743,0.23382400255650282,0.22779199574142694,2.6480328228578207,0.17479991912841797,0.15833604335784912,10.39805935617545,,-3.0,-0.026746238598843064,0.0003266334533691406,18.0,0.3999999999999986,0.0,-0.023050546101092202,-0.014033528067056128,0.0028575057150114352,0.13671875,0.09524083262118128
17,model_card,short,chart_document,12,256,2.1207040548324585,2.083631992340088,1.7792039394987245,0.9432159960269928,0.9451040029525757,0.20016697485364265,0.23248000536113977,0.23833599593490362,2.5189222465248213,0.16763198375701904,0.13070398569107056,28.253153773926066,,-4.0,-0.15925823123075222,0.003962993621826172,52.0,1.0,0.0,-0.01431173562321103,-0.012750455373406189,-0.04957064793130367,0.01953125,-0.021940716233707788
18,model_card,short,chart_document,24,256,2.0794399976730347,2.104032039642334,1.1826281112616215,0.956464022397995,0.9646239876747131,0.8531387575101795,0.22120000096037984,0.22332800226286054,0.9620259011037952,0.1841120719909668,0.15774399042129517,16.71574397176654,,-2.0,-0.18356135248358996,0.0046482086181640625,58.0,-0.8999999999999986,0.5,0.008857747223691169,0.050105764145954516,0.027630883130618705,-0.201171875,-0.13974183376736693
19,model_card,short,chart_document,47,256,0.920384019613266,2.123535990715027,130.72282280686605,0.47711998224258423,1.0060799717903137,110.86519308235303,0.22641600109636784,0.23876800760626793,5.4554476936649,0.10820800065994263,0.18296003341674805,69.08179829671114,,-3.0,-0.25132832027731933,0.003455638885498047,14.0,0.0,-2.5,0.00995732574679943,0.01137980085348507,0.11190137505926978,-0.072265625,-0.049426894807043834
20,retina,short,fine_grained,0,256,0.9131359755992889,2.1137280464172363,131.480097477268,0.4692160040140152,0.9605280160903931,104.70913350638881,0.21753599913790822,0.229135999456048,5.3324508881796175,0.099263995885849,0.1659359335899353,67.1662843200039,,10.0,0.1920704181898154,-0.003918170928955078,-29.0,1.0,1.0,-0.026829080255955595,-0.00015419011641354397,0.06776655616374988,0.0546875,0.05049589616361838
21,retina,short,fine_grained,24,256,2.149456024169922,2.1221280097961426,1.287764651690569,1.0297920405864716,0.9509600102901459,8.289731370751685,0.41368000023067,0.4364319988526404,5.499902970722247,0.3754879832267761,0.3891679644584656,3.643254070111592,,14.0,0.19155789250730226,-0.0019235610961914062,2.0,-1.0,-1.0,0.05136325017378544,0.044875260678149384,-0.010504363945315509,-0.22265625,-0.1254799111148306
22,retina,short,fine_grained,36,256,2.088320016860962,2.1236159801483154,1.6901606555688866,0.9634880125522614,0.9679680168628693,0.4649776906658615,0.23356799548491836,0.23219200409948826,0.5926092893537027,0.17776000499725342,0.1571040153503418,13.147970534584227,,7.0,0.18993855768315182,-0.0026874542236328125,-37.0,1.0,0.0,-0.037776193870277974,-0.07405559515324306,0.00491803278688524,-0.146484375,-0.05230015759759807
23,retina,short,fine_grained,47,256,2.1450560092926025,2.0996960401535034,2.1603112198936647,0.9550560116767883,0.9715840220451355,1.7305802137540605,0.24168000416830182,0.22628800012171268,6.801953280028236,0.1666080355644226,0.168224036693573,0.9699418900629968,,1.0,-0.0793198729265745,0.0026426315307617188,47.0,1.0,-2.0,-0.03808852054311409,-0.047875154293775354,0.026538529359901253,0.109375,0.09225220593017638
24,long_10img_chart_mixed,long,multi_image,24,256,2.1558719873428345,2.199855923652649,2.0401923939846607,0.9940639436244965,0.9718080163002014,2.2901567954775914,0.21291200490668416,0.24748800555244088,16.239573086031864,0.213856041431427,0.2017919421195984,5.978484167954756,,21.0,0.9334830920867043,-0.021242618560791016,-143.0,0.0,4.5,-0.025239409186820327,-0.12286966401558187,-0.1153221879565006,-0.287109375,-0.37818255047947047
25,long_10img_chart_mixed,long,multi_image,47,256,2.041200041770935,2.0676320791244507,1.2949263576627854,1.0310239791870117,0.9325119853019714,10.564153108781714,0.21244800183922052,0.21275200322270393,0.14309448940521288,0.1325121521949768,0.18921595811843872,42.791400625678925,,8.0,0.3734231707111926,-0.006651878356933594,-68.0,1.0,4.0,-0.040117994100294985,-0.03261694058154235,-0.03868520859671301,-0.03515625,-0.19579452277853604
26,long_12img_broad,long,multi_image,24,256,0.8951040208339691,2.074687957763672,131.78177166835687,0.4689600020647049,1.0191039443016052,117.31148494855944,0.2168639968149364,0.2192479968070984,1.0993064903237053,0.09036800265312195,0.17316806316375732,91.62541837785642,,-8.0,-0.4462634713612328,0.010706424713134766,117.0,0.0,-1.0,0.005952380952380959,0.0630952380952381,0.06904761904761902,-0.060546875,-0.04507994804031387
27,long_12img_broad,long,multi_image,47,256,2.0768799781799316,2.0935360193252563,0.8019741785907718,0.9317280054092407,1.0197120308876038,9.443101953312869,0.21801599580794573,0.2196000050753355,0.726556444411151,0.16812807321548462,0.18201613426208496,8.260405761505657,,6.0,0.5256261578221961,-0.011075973510742188,-64.0,0.6000000000000014,4.5,-0.012466307277628035,-0.02341644204851752,-0.04531671159029649,-0.251953125,-0.16660993272507896
28,long_6img_natural_fine,long,multi_image,0,256,2.070591926574707,2.068015933036804,0.12456352471714673,1.0343680381774902,0.9408959448337555,9.93437094260727,0.2091200016438961,0.20534399943426251,1.8388665946103837,0.14936012029647827,0.1544319987297058,3.39573804785368,,-22.0,-0.7588970942480158,0.011330604553222656,63.0,-2.700000000000001,-3.0,0.06928066037735849,0.16686320754716982,0.21919221698113206,0.015625,0.021207326152340444
29,long_6img_natural_fine,long,multi_image,47,256,2.081920027732849,2.073199987411499,0.4206077741799301,0.9531199932098389,1.0398400127887726,9.09854165233542,0.21711999829858541,0.2212160020135343,1.8865160957287916,0.15500801801681519,0.18108803033828735,16.824944061050456,,-5.0,-0.5513248253941709,0.011028766632080078,58.0,-2.0,-7.0,0.04672897196261682,0.04798064085447262,0.07001001335113484,0.134765625,0.09275801037568965
30,long_8img_mixed,long,multi_image,0,256,2.067583918571472,2.06660795211792,0.0472255249261016,1.0135200321674347,0.9444960057735443,7.30802734706745,0.2158720064908266,0.21723199682310224,0.6299984673248596,0.15305602550506592,0.15849602222442627,3.5542519161914967,,15.0,0.6451221498787838,-0.009483814239501953,-49.0,2.0,3.0,-0.09223509223509224,-0.13256113256113256,-0.21643071643071646,-0.12109375,-0.12144557416447233
31,long_8img_mixed,long,multi_image,47,256,2.0745439529418945,2.043951988220215,1.4967066202136112,0.9942559897899628,0.9111840128898621,9.116926518128222,0.21263999957591295,0.2780160130932927,30.744927411477153,0.17566388845443726,0.20239996910095215,15.220020962617795,,-9.0,-0.04993223037922423,-0.0006365776062011719,-1.0,0.0,4.0,-0.005034446210916803,-0.002649708532061479,-0.002119766825649183,0.03515625,0.01821132470020126
32,retina,short,fine_grained,0,512,2.1263840198516846,2.1294400691986084,0.14372048126739534,0.9375199675559998,0.9794719815254211,4.474786182825009,0.25542398914694786,0.25092800753191113,1.7917416470399228,0.1701120138168335,0.17854398488998413,4.956716979571872,,6.0,-0.019344727392141436,-0.0004342794418334961,-28.0,-1.0,-3.5,0.021622385528547193,0.05313736574335781,0.11659129451667608,0.0771484375,0.05221027408893171
33,retina,short,fine_grained,24,512,2.2302240133285522,2.19760000705719,1.4845288572349966,0.9513120055198669,0.9698720574378967,1.950995237139597,0.2847040048800409,0.25111999921500683,13.373688184938116,0.21324807405471802,0.1834239959716797,16.259638181496772,,6.0,0.12078508813710265,-0.0012874603271484375,-27.0,0.40000000000000036,4.0,-0.04363025210084033,-0.004033613445378156,0.017142857142857154,-0.0478515625,-0.0260983285406175
34,retina,short,fine_grained,47,512,2.088736057281494,2.096255898475647,0.36001873802762624,0.9011360108852386,1.0246880054473877,13.710693288217024,0.24692799942567945,0.2480639973655343,0.4600522996569993,0.1834239959716797,0.1729760766029358,6.040095008471577,,0.0,-0.09426031080314079,0.0022569894790649414,57.0,0.0,-3.0,-0.01801801801801802,-0.03603603603603604,-0.018018018018018,0.111328125,0.0934591711481019
35,long_10img_chart_mixed,long,multi_image,24,512,2.095552086830139,2.0922240018844604,0.15906924605974856,1.0212959945201874,0.9395039975643158,8.705870030134953,0.24129600543528795,0.24308799859136343,0.7426534694773734,0.1692960262298584,0.1989281177520752,17.503122891959908,,9.0,0.7739194091405306,-0.016811609268188477,-229.0,3.0,12.5,-0.0030525030525030555,-0.047619047619047616,-0.1691086691086691,-0.224609375,-0.33556253642661277
36,long_12img_broad,long,multi_image,24,512,2.087791919708252,2.1002399921417236,0.5962314690446342,0.9319679737091064,1.0121280252933502,8.601159465299823,0.24691200954839587,0.24478400545194745,0.8693395193527713,0.20019203424453735,0.147599995136261,35.631463984619096,,-5.0,-0.5240146688751954,0.010297656059265137,218.0,-4.0,-8.0,0.052080364776289544,0.10451695639783415,0.12353946993445425,0.03125,0.055338242314393216
37,long_6img_natural_fine,long,multi_image,0,512,2.0950560569763184,2.0973119735717773,0.1076781018792799,1.0274560153484344,0.9439359903335571,8.848060236093337,0.24071999127045274,0.248288010712713,3.1439098191713852,0.19430404901504517,0.1555999517440796,24.874106217348633,,-9.0,-0.7891464398172081,0.011896371841430664,144.0,-10.0,-9.5,0.06781775210084033,0.13563550420168066,0.18664653361344538,0.0322265625,0.01547350126481127
38,long_6img_natural_fine,long,multi_image,47,512,2.061087965965271,2.111840009689331,2.4623909586649453,1.0511199533939362,0.956384003162384,9.90563935807142,0.23623999720439315,0.2579679940827191,9.197425133529372,0.1188960075378418,0.21158403158187866,77.9572215783078,,-1.0,-0.4875899493159457,0.00955510139465332,93.0,-7.0,-11.0,0.017857142857142856,0.05357142857142857,0.09837231352718079,0.2119140625,0.06709701158237799
39,long_8img_mixed,long,multi_image,47,512,2.0858880281448364,2.094096064567566,0.3935032135943376,1.0281440019607544,0.9255199730396271,11.088256538007027,0.24544000020250678,0.2497760052792728,1.766625274278226,0.1728159785270691,0.17167997360229492,0.6616991492588303,,4.0,0.2061990627415744,-0.0043413639068603516,-81.0,-3.5,8.5,0.017241379310344827,0.033866995073891626,0.041564039408867,-0.0693359375,0.014809393330908721
