rank,case_id,condition,wall_ms,dispatch_ms,expert_ms,combine_ms,iterations
0,B_after_A_33,alternating,0.8827199935913086,0.20457600010558963,0.4643680155277252,0.07331198453903198,2
0,B_steady_34,steady,0.8659039735794067,0.17737600347027183,0.46487997472286224,0.08390399813652039,2
0,B_after_A_35,alternating,0.9035039842128754,0.20158400479704142,0.4668320268392563,0.1122719943523407,2
0,B_after_D_36,disjoint,0.8730399906635284,0.18448000214993954,0.45179200172424316,0.10311999917030334,2
0,B_after_S_37,similar,0.8757120072841644,0.20243200240656734,0.44204799830913544,0.10180801153182983,2
0,B_steady_38,steady,0.9177440106868744,0.2486719978041947,0.4660000056028366,0.07014399766921997,2
0,B_steady_39,steady,0.8868319988250732,0.1785760037600994,0.45417600870132446,0.11966398358345032,2
0,B_after_S_40,similar,0.8652639985084534,0.18639999674633145,0.4469919949769974,0.095551997423172,2
0,B_after_S_41,similar,0.8876320123672485,0.20590400462970138,0.46134398877620697,0.08323201537132263,2
0,B_after_D_42,disjoint,0.9085600078105927,0.17897599516436458,0.44998399913311005,0.14724799990653992,2
0,B_after_A_43,alternating,0.8583999872207642,0.18795199925079942,0.46486397087574005,0.07678401470184326,2
0,B_after_S_44,similar,0.8755839765071869,0.18892800202593207,0.44203199446201324,0.1157279908657074,2
0,B_after_S_45,similar,0.9380479753017426,0.23070399835705757,0.45182402431964874,0.11601600050926208,2
0,B_after_A_46,alternating,0.8874879777431488,0.21198400296270847,0.4612640142440796,0.08697602152824402,2
0,B_after_D_47,disjoint,0.9172640144824982,0.20355199789628386,0.4521920084953308,0.13887998461723328,2
0,B_steady_48,steady,0.9130080044269562,0.2093920041806996,0.4763360023498535,0.08207997679710388,2
0,B_after_D_49,disjoint,0.8983840048313141,0.20523200137540698,0.4535040110349655,0.11140799522399902,2
0,B_steady_50,steady,0.8647519946098328,0.19159999955445528,0.4535999745130539,0.0745440125465393,2
0,B_after_S_51,similar,0.8653440177440643,0.1857280028052628,0.4678239971399307,0.07651197910308838,2
0,B_after_D_52,disjoint,0.8942240178585052,0.1994720008224249,0.4678559899330139,0.08556798100471497,2
0,B_steady_53,steady,0.878031998872757,0.1980960015207529,0.44889599084854126,0.09286397695541382,2
0,B_after_A_54,alternating,0.9896479845046997,0.2586560030467808,0.47999998927116394,0.12697601318359375,2
0,B_after_A_55,alternating,0.8626880049705505,0.19881600374355912,0.4484959989786148,0.09115198254585266,2
0,B_after_S_56,similar,0.8929280042648315,0.2059839959256351,0.44463999569416046,0.11110398173332214,2
0,B_after_A_57,alternating,0.8974559903144836,0.22894400171935558,0.45340801775455475,0.09521597623825073,2
0,B_after_D_58,disjoint,0.8798239827156067,0.1989119932986796,0.45907197892665863,0.09888002276420593,2
0,B_after_S_59,similar,0.8659200072288513,0.1935359942726791,0.44999998807907104,0.09040001034736633,2
0,B_after_D_60,disjoint,0.8774079978466034,0.19107200298458338,0.44921599328517914,0.10308796167373657,2
0,B_after_A_61,alternating,0.8824000060558319,0.20403199922293425,0.45180797576904297,0.10257598757743835,2
0,B_after_S_62,similar,0.8648639917373657,0.18745600385591388,0.45505599677562714,0.09305599331855774,2
0,B_after_S_63,similar,0.8665279746055603,0.1961119994521141,0.4443199932575226,0.09310400485992432,2
0,B_after_A_64,alternating,0.8674559891223907,0.20084799826145172,0.4435040205717087,0.09750398993492126,2
0,B_after_A_65,alternating,0.8703039884567261,0.1990719996392727,0.45292800664901733,0.08664000034332275,2
0,B_after_D_66,disjoint,0.8449440002441406,0.17721599666401744,0.4622719883918762,0.07718396186828613,2
0,B_after_D_67,disjoint,0.8674240112304688,0.19169599376618862,0.46505600214004517,0.08091199398040771,2
0,B_after_S_68,similar,0.8991360068321228,0.19351999647915363,0.45235203206539154,0.11607998609542847,2
0,B_steady_69,steady,0.8596000075340271,0.194368002936244,0.4522880017757416,0.07663998007774353,2
0,B_steady_70,steady,0.9880959689617157,0.2377599966712296,0.4577599912881851,0.17374396324157715,2
0,B_steady_71,steady,0.8598079979419708,0.18201600154861808,0.45612800121307373,0.07736000418663025,2
0,B_after_A_72,alternating,0.8584000170230865,0.1844319966621697,0.462784007191658,0.08508798480033875,2
