scope,layer,samples,critical_rank_mode,t_layer_ms_median,t_layer_ms_p90,t_layer_ms_mean,t_layer_ms_stdev,t_attention_ms_median,t_attention_ms_p90,t_attention_ms_mean,t_attention_ms_stdev,t_norm_router_ms_median,t_norm_router_ms_p90,t_norm_router_ms_mean,t_norm_router_ms_stdev,t_dispatch_ms_median,t_dispatch_ms_p90,t_dispatch_ms_mean,t_dispatch_ms_stdev,t_expert_max_ms_median,t_expert_max_ms_p90,t_expert_max_ms_mean,t_expert_max_ms_stdev,t_combine_ms_median,t_combine_ms_p90,t_combine_ms_mean,t_combine_ms_stdev,t_moe_max_ms_median,t_moe_max_ms_p90,t_moe_max_ms_mean,t_moe_max_ms_stdev,expert_fraction_median,expert_fraction_p90,expert_fraction_mean,expert_fraction_stdev,exposed_nonexpert_fraction_median,exposed_nonexpert_fraction_p90,exposed_nonexpert_fraction_mean,exposed_nonexpert_fraction_stdev,t_optimistic_ms_median,t_optimistic_ms_p90,t_optimistic_ms_mean,t_optimistic_ms_stdev,oracle_speedup_median,oracle_speedup_p90,oracle_speedup_mean,oracle_speedup_stdev
layer,12,20,2,2.027776002883911,3.1138688087463384,2.3204240262508393,0.5139335922422772,0.8983039855957031,1.3706815600395204,0.991795203089714,0.20578545679947854,0.20956799946725368,0.33594880327582355,0.22947520008310676,0.0508723026166815,0.0,0.0,0.0,0.0,0.4527200013399124,0.6666559875011445,0.5560784012079238,0.2320044075878219,0.8357920050621033,1.5344288110733038,1.016899198293686,0.3799320343078209,1.0950559973716736,1.7911872148513799,1.2885952174663544,0.39527917748145625,0.2236765960395387,0.27533488462224287,0.23766065892431293,0.060776750378176356,0.5546996632271183,0.5717402118962739,0.5338229704360016,0.07052746376956308,1.9488799907267094,3.174255957081914,2.2561056023463606,0.5670592774980056,1.0362172819064241,1.0541791971572805,1.035790405706753,0.058202570051991476
layer,13,20,1,2.020303964614868,3.1275679349899295,2.366200017929077,0.9695889714924032,0.9253759980201721,1.4491615772247315,1.1122559875249862,0.569447286833152,0.21094400063157082,0.3459584027528763,0.2505455997772515,0.09547445742168151,0.0,0.0,0.0,0.0,0.4418720006942749,0.5820319950580597,0.4876768052577972,0.11809237383089627,0.8128799796104431,1.4082912206649782,0.979377594590187,0.4062836563136331,1.058463990688324,1.6459680080413819,1.2215872049331664,0.4050366959491916,0.21833392793141865,0.22873570985159422,0.2131698669600562,0.0201160484857977,0.5637358752419861,0.575311226503237,0.5680452108678077,0.021531732921075963,1.9447039738297462,3.203411200642586,2.342179181892425,1.065080077826886,1.0314731859564845,1.0387916644629744,1.0207136268485344,0.02789539550622556
layer,14,20,3,2.013216018676758,3.1556447744369507,2.287436783313751,0.6039812844305918,0.9174720048904419,1.4285695552825928,1.0403824031352997,0.2972441680236304,0.2133279973641038,0.34780159778892994,0.24057920007035136,0.06793083985067065,0.0,0.0,0.0,0.0,0.45444799959659576,0.6267616152763367,0.4897488012909889,0.0844642349447642,0.8241919875144958,1.4477216482162478,0.9665839970111847,0.3095047127831949,1.0692800283432007,1.6945408105850222,1.2134144067764283,0.30906807786819496,0.22327430301828496,0.23167467188011898,0.21776162841842422,0.016399933659587067,0.5599697132901146,0.568424796371179,0.558375616492033,0.01331359431830159,1.9390880092978477,3.221948800981045,2.247545600216836,0.6708520701434625,1.0361284961618709,1.042239081745879,1.0248130342615696,0.0260379877104396
layer,15,20,2,2.0317760705947876,3.148217654228211,2.2845439970493318,0.49440607612349147,0.9281280040740967,1.453974449634552,1.043017601966858,0.24009095602096206,0.21318399719893932,0.35027520470321183,0.24125919938087464,0.05847333121501228,0.0,0.0,0.0,0.0,0.44065599143505096,0.6007744252681733,0.4865312024950981,0.08567176552651398,0.8200159966945648,1.4132927894592289,0.9661184012889862,0.26963857728578355,1.0653759837150574,1.652406406402588,1.209150391817093,0.26864814992670283,0.21706032542915588,0.23005187040197908,0.21492325861403097,0.016892686882543462,0.5626020913930173,0.5784722018955519,0.561330586257996,0.024067735153840683,1.964543979614973,3.2252672892063856,2.2503952026367187,0.5522253855597815,1.0324192773461078,1.037430964011664,1.0205785818502573,0.023805056867606665
layer,16,20,2,1.9824640154838562,3.043436813354492,2.2407408177852632,0.44325907030511624,0.9144319891929626,1.3790847539901734,1.0161551922559737,0.20668927760897235,0.21319999918341637,0.3389567989856005,0.2408832000568509,0.0524508719814491,0.0,0.0,0.0,0.0,0.4513760060071945,0.5928096055984498,0.4808831974864006,0.06427462232147378,0.8138239979743958,1.3851359605789186,0.9439599990844727,0.24027827674771512,1.0632960200309753,1.6314079523086549,1.1919391930103302,0.23971787477311576,0.22225326110236346,0.23044215806894164,0.21697972611439673,0.015063368255078816,0.5591494039749899,0.5749261931906998,0.5604679602045535,0.01153072595320571,1.9152159951627254,3.105455993488431,2.2009983913972975,0.49487178054676173,1.0349268398993576,1.0411278306714205,1.0229352997210701,0.023632437772628724
layer,17,20,1,1.9936800003051758,3.0726560831069945,2.1882575869560243,0.4279061999930069,0.8995519876480103,1.3948896288871766,0.9823487937450409,0.19699656534554943,0.21369600016623735,0.3369600046426058,0.23700960008427502,0.05229927301242818,0.0,0.0,0.0,0.0,0.4523039907217026,0.5897888243198395,0.4804032012820244,0.0636498965970614,0.8204479813575745,1.3992192149162292,0.931649598479271,0.2343212463785124,1.062384009361267,1.6378656387329102,1.173635196685791,0.23386224194416536,0.22357492767043036,0.2357908038026332,0.22175014725234354,0.014742509412106749,0.5576875157244141,0.5686681517832417,0.556699826180176,0.010799711698906662,1.928031967021525,3.1439103741198777,2.1510079923085867,0.479906682461512,1.032486565394498,1.040538176668397,1.0220021985855101,0.02279014895245362
layer,18,20,2,1.9857920408248901,3.1205471992492675,2.228671985864639,0.49016532561271725,0.9071359932422638,1.4194015860557556,1.012212797999382,0.24894502598401524,0.21337599866092205,0.319401603192091,0.23288799915462732,0.04782990104382542,0.0,0.0,0.0,0.0,0.44966399669647217,0.6333664059638977,0.4869727998971939,0.08404955867962056,0.8106879889965057,1.4177152156829835,0.9356783956289292,0.2520109269540685,1.0564160346984863,1.6566624164581298,1.1837456047534942,0.2479853779638778,0.21996992907602,0.23637943922917584,0.2204767406017972,0.016410576068771603,0.5604931743098429,0.5707918807539399,0.5576616731300289,0.017443137698142257,1.9189760144799948,3.2012063324451447,2.1807791927829383,0.5402000954068822,1.0358632673289876,1.0451580658018174,1.026998173368962,0.022520205482633632
layer,19,20,1,1.994975984096527,3.0352320671081543,2.187059211730957,0.4272400521547104,0.8988160192966461,1.3922592163085938,0.9958735942840576,0.20814470017570874,0.2210879996418953,0.3309119910001755,0.23779999893158674,0.04803164368618315,0.0,0.0,0.0,0.0,0.4485599994659424,0.5994592130184173,0.47543520033359526,0.05918007589969444,0.8055199980735779,1.3651295542716981,0.9127296060323715,0.22269231681602933,1.055408000946045,1.60928635597229,1.1593151926994323,0.22198918366138357,0.22156187794155563,0.23217562523928964,0.21982124095666564,0.014895815485093201,0.5613729080000911,0.572380704146281,0.5631634901106815,0.011474164956790782,1.9323999900370836,3.090627156570554,2.1464031992480157,0.47483747303150886,1.0303498471908437,1.0414258498434295,1.0233257700815788,0.02159160740877893
layer,20,20,2,1.9995680451393127,3.0239519357681273,2.204104018211365,0.4115786629241674,0.914112001657486,1.3648576259613037,0.9883136034011841,0.1875141697082731,0.21452799811959267,0.3182367976754904,0.23587999846786262,0.04754193801039286,0.0,0.0,0.0,0.0,0.4552160054445267,0.5971360146999359,0.48357120007276533,0.062301222600667734,0.8165279924869537,1.3332287669181826,0.9375375956296921,0.2332569529739754,1.061743974685669,1.5798336267471313,1.183230397105217,0.2329276608719708,0.22454133271769466,0.23304201144978934,0.2213362641373605,0.01353707932627466,0.5619150372901964,0.5676719573977798,0.5555341689358996,0.01700108778763126,1.930895977653563,3.06354234777391,2.1617311974987388,0.4585969739965536,1.0341357135224913,1.0409774427460838,1.0237637895827754,0.021169433272260327
layer,21,20,2,2.0115199089050293,3.0907264709472653,2.2289215862751006,0.43089772583977975,0.9279839992523193,1.3988448023796083,1.0235504031181335,0.2113135151808323,0.21179200429469347,0.34287680499255657,0.23335840031504632,0.050846612063313236,0.0,0.0,0.0,0.0,0.45107200741767883,0.5888383984565735,0.48451360017061235,0.07548747585245899,0.8237920105457306,1.4164127945899965,0.9301200032234191,0.23310192535263022,1.0708160400390625,1.6556032180786133,1.1730768024921416,0.23124969557385128,0.2209369788928546,0.2309013815301676,0.2190953837077685,0.015455403201018946,0.5597964791184687,0.5765499872936165,0.563013119421535,0.018303239873949315,1.9480000156909227,3.1668896440416576,2.187028806656599,0.48139703693275826,1.0333100095141714,1.038520338500127,1.0236749372957843,0.022155710848963294
