step,device_id,request_step_ms_profiled,kernel_union_ms,compute_union_ms,nccl_union_ms,compute_nccl_overlap_ms,nccl_overlap_fraction,uncovered_by_kernels_ms,reported_graph_node_stream_count,kernel_count,graph_kernel_count
27,1,9.10412,6.195391,5.312031,0.88336,0.0,0.0,2.908729,1,702,700
27,2,9.10412,6.006511,5.190732,0.815779,0.0,0.0,3.097609,1,702,700
27,3,9.10412,6.077692,5.382268,0.695424,0.0,0.0,3.026428,1,702,700
28,0,9.265236,5.940681,5.380104,0.560577,0.0,0.0,3.324555,1,702,700
28,1,9.265236,6.023003,5.420794,0.602209,0.0,0.0,3.242233,1,702,700
28,2,9.265236,6.244973,5.376298,0.868675,0.0,0.0,3.020263,1,702,700
28,3,9.265236,5.865053,5.464062,0.400991,0.0,0.0,3.400183,1,702,700
29,0,9.23941,5.943271,5.392869,0.550402,0.0,0.0,3.296139,1,702,700
29,1,9.23941,5.912767,5.287518,0.625249,0.0,0.0,3.326643,1,702,700
29,2,9.23941,6.239312,5.353901,0.885411,0.0,0.0,3.000098,1,702,700
29,3,9.23941,6.131582,5.486206,0.645376,0.0,0.0,3.107828,1,702,700
30,0,9.373948,5.965447,5.359397,0.60605,0.0,0.0,3.408501,1,702,700
30,1,9.373948,5.875773,5.338588,0.537185,0.0,0.0,3.498175,1,702,700
30,2,9.373948,5.946191,5.320139,0.626052,0.0,0.0,3.427757,1,702,700
30,3,9.373948,5.978142,5.374942,0.6032,0.0,0.0,3.395806,1,702,700
31,0,9.259185,6.135433,5.514247,0.621186,0.0,0.0,3.123752,1,702,700
31,1,9.259185,5.973663,5.434398,0.539265,0.0,0.0,3.285522,1,702,700
31,2,9.259185,6.026993,5.398926,0.628067,0.0,0.0,3.232192,1,702,700
31,3,9.259185,6.046845,5.498717,0.548128,0.0,0.0,3.21234,1,702,700
