total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,operation,repetition,latency_ms
128,2,62,high_variance,64.0,1,127,0.984375,torch_grouped_full64_cpu_list_offsets,0,0.13846400380134583
128,2,62,high_variance,64.0,1,127,0.984375,torch_grouped_full64_cpu_list_offsets,1,0.10857599973678589
128,2,62,high_variance,64.0,1,127,0.984375,torch_grouped_active_prebuilt_oracle,0,0.0724480003118515
128,2,62,high_variance,64.0,1,127,0.984375,torch_grouped_active_prebuilt_oracle,1,0.07356800138950348
128,2,62,high_variance,64.0,1,127,0.984375,torch_grouped_full64_gpu_cumsum,0,0.08764799684286118
128,2,62,high_variance,64.0,1,127,0.984375,torch_grouped_full64_gpu_cumsum,1,0.08780799806118011
128,2,62,high_variance,64.0,1,127,0.984375,vllm_fused,0,0.3795520067214966
128,2,62,high_variance,64.0,1,127,0.984375,vllm_fused,1,0.28937599062919617
128,4,60,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,0,0.11856000125408173
128,4,60,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,1,0.09084799885749817
128,4,60,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,0,0.09484799951314926
128,4,60,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,1,0.08963199704885483
128,4,60,uniform,32.0,32,32,0.0,torch_grouped_full64_gpu_cumsum,0,0.11020799726247787
128,4,60,uniform,32.0,32,32,0.0,torch_grouped_full64_gpu_cumsum,1,0.10857599973678589
128,4,60,uniform,32.0,32,32,0.0,vllm_fused,0,0.3698880076408386
128,4,60,uniform,32.0,32,32,0.0,vllm_fused,1,0.26998400688171387
128,4,60,uniform,32.0,32,32,0.0,torch_grouped_full64_cpu_list_offsets,0,0.15411199629306793
128,4,60,uniform,32.0,32,32,0.0,torch_grouped_full64_cpu_list_offsets,1,0.133760005235672
128,4,60,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,0,0.0950080007314682
128,4,60,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,1,0.09286399930715561
128,4,60,high_variance,32.0,1,63,0.96875,torch_grouped_full64_cpu_list_offsets,0,0.13833600282669067
128,4,60,high_variance,32.0,1,63,0.96875,torch_grouped_full64_cpu_list_offsets,1,0.12451200187206268
128,4,60,high_variance,32.0,1,63,0.96875,torch_grouped_full64_gpu_cumsum,0,0.10320000350475311
128,4,60,high_variance,32.0,1,63,0.96875,torch_grouped_full64_gpu_cumsum,1,0.10268799960613251
128,4,60,high_variance,32.0,1,63,0.96875,vllm_fused,0,0.3352639973163605
128,4,60,high_variance,32.0,1,63,0.96875,vllm_fused,1,0.3009600043296814
128,4,60,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,0,0.09699200093746185
128,4,60,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,1,0.08956799656152725
128,8,56,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,0,0.14057600498199463
128,8,56,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,1,0.1342719942331314
128,8,56,uniform,16.0,16,16,0.0,torch_grouped_full64_cpu_list_offsets,0,0.19222399592399597
128,8,56,uniform,16.0,16,16,0.0,torch_grouped_full64_cpu_list_offsets,1,0.16908800601959229
128,8,56,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,0,0.13046400249004364
128,8,56,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,1,0.1324159950017929
128,8,56,uniform,16.0,16,16,0.0,vllm_fused,0,0.3574399948120117
128,8,56,uniform,16.0,16,16,0.0,vllm_fused,1,0.2777920067310333
