total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
256,8,56,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4152703897707397e-08,0.002802799455821514,0.9999961256980896
256,8,56,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4022321082052258e-08,0.0028352278750389814,0.9999960660934448
256,8,56,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4022321082052258e-08,0.0028352278750389814,0.9999960660934448
256,16,48,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.5509261430679544e-08,0.0028335319366306067,0.9999960064888
256,16,48,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.5509261430679544e-08,0.0028335319366306067,0.9999960064888
256,16,48,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4687173255367725e-08,0.0028427669312804937,0.9999960660934448
256,16,48,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4687173255367725e-08,0.0028427669312804937,0.9999960660934448
256,32,32,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.3836480405871043e-08,0.0028121566865593195,0.9999959468841553
256,32,32,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.3836480405871043e-08,0.0028121566865593195,0.9999959468841553
256,32,32,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.459095511080477e-08,0.0028209781739860773,0.9999960660934448
256,32,32,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.459095511080477e-08,0.0028209781739860773,0.9999960660934448
256,64,0,uniform,4.0,4,4,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4213071608537575e-08,0.002801531692966819,0.9999960660934448
256,64,0,uniform,4.0,4,4,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4213071608537575e-08,0.002801531692966819,0.9999960660934448
256,64,0,high_variance,4.0,1,7,0.75,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.3697302847504034e-08,0.002818188164383173,0.9999960064888
256,64,0,high_variance,4.0,1,7,0.75,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.3697302847504034e-08,0.002818188164383173,0.9999960064888
512,1,63,uniform,512.0,512,512,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.479994438113863e-08,0.0028141122311353683,0.9999960660934448
512,1,63,uniform,512.0,512,512,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.479994438113863e-08,0.0028141122311353683,0.9999960660934448
512,2,62,uniform,256.0,256,256,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4368040979206853e-08,0.002817666158080101,0.9999960064888
512,2,62,uniform,256.0,256,256,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4368040979206853e-08,0.002817666158080101,0.9999960064888
512,2,62,high_variance,256.0,1,511,0.99609375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5366698136176637e-08,0.002821130445227027,0.9999959468841553
512,2,62,high_variance,256.0,1,511,0.99609375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5366698136176637e-08,0.002821130445227027,0.9999959468841553
512,4,60,uniform,128.0,128,128,0.0,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4959773864120507e-08,0.0028196428902447224,0.9999960660934448
512,4,60,uniform,128.0,128,128,0.0,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4959773864120507e-08,0.0028196428902447224,0.9999960660934448
512,4,60,high_variance,128.0,1,255,0.9921875,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4470741049876779e-08,0.002830431330949068,0.9999960660934448
512,4,60,high_variance,128.0,1,255,0.9921875,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4470741049876779e-08,0.002830431330949068,0.9999960660934448
512,8,56,uniform,64.0,64,64,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5338532222131107e-08,0.002814617706462741,0.9999960660934448
512,8,56,uniform,64.0,64,64,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5338532222131107e-08,0.002814617706462741,0.9999960660934448
512,8,56,high_variance,64.0,1,127,0.984375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4935405800997614e-08,0.002815990475937724,0.9999960660934448
512,8,56,high_variance,64.0,1,127,0.984375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4935405800997614e-08,0.002815990475937724,0.9999960660934448
512,16,48,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4380391988311203e-08,0.0028188375290483236,0.9999960064888
512,16,48,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4380391988311203e-08,0.0028188375290483236,0.9999960064888
512,16,48,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.467708976576887e-08,0.0028168216813355684,0.9999960660934448
