total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,operation,repetition,latency_ms
64,32,32,high_variance,2.0,1,3,0.5,swiglu,1,0.03542400151491165
64,64,0,uniform,1.0,1,1,0.0,swiglu,0,0.033215999603271484
64,64,0,uniform,1.0,1,1,0.0,swiglu,1,0.023296000435948372
64,64,0,uniform,1.0,1,1,0.0,gate_up_full64_prebuilt,0,0.40806400775909424
64,64,0,uniform,1.0,1,1,0.0,gate_up_full64_prebuilt,1,0.4087679982185364
64,64,0,uniform,1.0,1,1,0.0,route_weight,0,0.022752000018954277
64,64,0,uniform,1.0,1,1,0.0,route_weight,1,0.02473600022494793
64,64,0,uniform,1.0,1,1,0.0,down_active_prebuilt,0,0.2879680097103119
64,64,0,uniform,1.0,1,1,0.0,down_active_prebuilt,1,0.28486400842666626
64,64,0,uniform,1.0,1,1,0.0,down_full64_prebuilt,0,0.27961599826812744
64,64,0,uniform,1.0,1,1,0.0,down_full64_prebuilt,1,0.2834239900112152
64,64,0,uniform,1.0,1,1,0.0,gate_up_active_prebuilt,0,0.4223040044307709
64,64,0,uniform,1.0,1,1,0.0,gate_up_active_prebuilt,1,0.41839998960494995
64,64,0,high_variance,1.0,1,1,0.0,swiglu,0,0.03859199956059456
64,64,0,high_variance,1.0,1,1,0.0,swiglu,1,0.02672000043094158
64,64,0,high_variance,1.0,1,1,0.0,down_full64_prebuilt,0,0.28883200883865356
64,64,0,high_variance,1.0,1,1,0.0,down_full64_prebuilt,1,0.2712000012397766
64,64,0,high_variance,1.0,1,1,0.0,route_weight,0,0.016607999801635742
64,64,0,high_variance,1.0,1,1,0.0,route_weight,1,0.014592000283300877
64,64,0,high_variance,1.0,1,1,0.0,down_active_prebuilt,0,0.27081599831581116
64,64,0,high_variance,1.0,1,1,0.0,down_active_prebuilt,1,0.2762559950351715
64,64,0,high_variance,1.0,1,1,0.0,gate_up_full64_prebuilt,0,0.4118399918079376
64,64,0,high_variance,1.0,1,1,0.0,gate_up_full64_prebuilt,1,0.4100480079650879
64,64,0,high_variance,1.0,1,1,0.0,gate_up_active_prebuilt,0,0.4185599982738495
64,64,0,high_variance,1.0,1,1,0.0,gate_up_active_prebuilt,1,0.4169920086860657
128,1,63,uniform,128.0,128,128,0.0,gate_up_full64_prebuilt,0,0.053727999329566956
128,1,63,uniform,128.0,128,128,0.0,gate_up_full64_prebuilt,1,0.042208001017570496
128,1,63,uniform,128.0,128,128,0.0,gate_up_active_prebuilt,0,0.03372799977660179
128,1,63,uniform,128.0,128,128,0.0,gate_up_active_prebuilt,1,0.03219199925661087
128,1,63,uniform,128.0,128,128,0.0,down_active_prebuilt,0,0.027648000046610832
128,1,63,uniform,128.0,128,128,0.0,down_active_prebuilt,1,0.027103999629616737
128,1,63,uniform,128.0,128,128,0.0,route_weight,0,0.015072000212967396
128,1,63,uniform,128.0,128,128,0.0,route_weight,1,0.014655999839305878
128,1,63,uniform,128.0,128,128,0.0,down_full64_prebuilt,0,0.027871999889612198
128,1,63,uniform,128.0,128,128,0.0,down_full64_prebuilt,1,0.027295999228954315
128,1,63,uniform,128.0,128,128,0.0,swiglu,0,0.02304000034928322
128,1,63,uniform,128.0,128,128,0.0,swiglu,1,0.02393599972128868
128,2,62,uniform,64.0,64,64,0.0,swiglu,0,0.03049599938094616
128,2,62,uniform,64.0,64,64,0.0,swiglu,1,0.023231999948620796
128,2,62,uniform,64.0,64,64,0.0,gate_up_active_prebuilt,0,0.03968000039458275
128,2,62,uniform,64.0,64,64,0.0,gate_up_active_prebuilt,1,0.037696000188589096
128,2,62,uniform,64.0,64,64,0.0,down_active_prebuilt,0,0.030592000111937523
128,2,62,uniform,64.0,64,64,0.0,down_active_prebuilt,1,0.029888000339269638
128,2,62,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,0,0.03996799886226654
128,2,62,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,1,0.05158400163054466
128,2,62,uniform,64.0,64,64,0.0,route_weight,0,0.023072000592947006
128,2,62,uniform,64.0,64,64,0.0,route_weight,1,0.023455999791622162
128,2,62,uniform,64.0,64,64,0.0,down_full64_prebuilt,0,0.03548799827694893
128,2,62,uniform,64.0,64,64,0.0,down_full64_prebuilt,1,0.03465599939227104
128,2,62,high_variance,64.0,1,127,0.984375,gate_up_active_prebuilt,0,0.04131200164556503
128,2,62,high_variance,64.0,1,127,0.984375,gate_up_active_prebuilt,1,0.05475199967622757
128,2,62,high_variance,64.0,1,127,0.984375,down_active_prebuilt,0,0.02940800040960312
128,2,62,high_variance,64.0,1,127,0.984375,down_active_prebuilt,1,0.02828799933195114
128,2,62,high_variance,64.0,1,127,0.984375,gate_up_full64_prebuilt,0,0.04265600070357323
128,2,62,high_variance,64.0,1,127,0.984375,gate_up_full64_prebuilt,1,0.042688000947237015
128,2,62,high_variance,64.0,1,127,0.984375,down_full64_prebuilt,0,0.03167999908328056
128,2,62,high_variance,64.0,1,127,0.984375,down_full64_prebuilt,1,0.028960000723600388
128,2,62,high_variance,64.0,1,127,0.984375,route_weight,0,0.01414399966597557
128,2,62,high_variance,64.0,1,127,0.984375,route_weight,1,0.015359999611973763
128,2,62,high_variance,64.0,1,127,0.984375,swiglu,0,0.03014400042593479
128,2,62,high_variance,64.0,1,127,0.984375,swiglu,1,0.024480000138282776
128,4,60,uniform,32.0,32,32,0.0,down_active_prebuilt,0,0.036159999668598175
128,4,60,uniform,32.0,32,32,0.0,down_active_prebuilt,1,0.03702399879693985
128,4,60,uniform,32.0,32,32,0.0,swiglu,0,0.023072000592947006
128,4,60,uniform,32.0,32,32,0.0,swiglu,1,0.02582399919629097
128,4,60,uniform,32.0,32,32,0.0,down_full64_prebuilt,0,0.03686400130391121
128,4,60,uniform,32.0,32,32,0.0,down_full64_prebuilt,1,0.03657599911093712
128,4,60,uniform,32.0,32,32,0.0,gate_up_active_prebuilt,0,0.04979199916124344
128,4,60,uniform,32.0,32,32,0.0,gate_up_active_prebuilt,1,0.04636799916625023
128,4,60,uniform,32.0,32,32,0.0,route_weight,0,0.014495999552309513
128,4,60,uniform,32.0,32,32,0.0,route_weight,1,0.015135999768972397
128,4,60,uniform,32.0,32,32,0.0,gate_up_full64_prebuilt,0,0.04864000156521797
128,4,60,uniform,32.0,32,32,0.0,gate_up_full64_prebuilt,1,0.04710400104522705
128,4,60,high_variance,32.0,1,63,0.96875,down_full64_prebuilt,0,0.036639999598264694
128,4,60,high_variance,32.0,1,63,0.96875,down_full64_prebuilt,1,0.035840000957250595
128,4,60,high_variance,32.0,1,63,0.96875,route_weight,0,0.014399999752640724
128,4,60,high_variance,32.0,1,63,0.96875,route_weight,1,0.022304000332951546
128,4,60,high_variance,32.0,1,63,0.96875,gate_up_active_prebuilt,0,0.049855999648571014
128,4,60,high_variance,32.0,1,63,0.96875,gate_up_active_prebuilt,1,0.04851200059056282
128,4,60,high_variance,32.0,1,63,0.96875,down_active_prebuilt,0,0.03731200098991394
128,4,60,high_variance,32.0,1,63,0.96875,down_active_prebuilt,1,0.04022400081157684
128,4,60,high_variance,32.0,1,63,0.96875,gate_up_full64_prebuilt,0,0.04950400069355965
128,4,60,high_variance,32.0,1,63,0.96875,gate_up_full64_prebuilt,1,0.04742399975657463
128,4,60,high_variance,32.0,1,63,0.96875,swiglu,0,0.02598400041460991
128,4,60,high_variance,32.0,1,63,0.96875,swiglu,1,0.024032000452280045
128,8,56,uniform,16.0,16,16,0.0,swiglu,0,0.022943999618291855
128,8,56,uniform,16.0,16,16,0.0,swiglu,1,0.024159999564290047
128,8,56,uniform,16.0,16,16,0.0,down_full64_prebuilt,0,0.05337600037455559
128,8,56,uniform,16.0,16,16,0.0,down_full64_prebuilt,1,0.04995200037956238
128,8,56,uniform,16.0,16,16,0.0,route_weight,0,0.01648000068962574
128,8,56,uniform,16.0,16,16,0.0,route_weight,1,0.014303999952971935
128,8,56,uniform,16.0,16,16,0.0,gate_up_full64_prebuilt,0,0.07494399696588516
128,8,56,uniform,16.0,16,16,0.0,gate_up_full64_prebuilt,1,0.0735040009021759
128,8,56,uniform,16.0,16,16,0.0,gate_up_active_prebuilt,0,0.07539200037717819
128,8,56,uniform,16.0,16,16,0.0,gate_up_active_prebuilt,1,0.0745600014925003
128,8,56,uniform,16.0,16,16,0.0,down_active_prebuilt,0,0.05673599988222122
128,8,56,uniform,16.0,16,16,0.0,down_active_prebuilt,1,0.05113599821925163
128,8,56,high_variance,16.0,1,31,0.9375,down_full64_prebuilt,0,0.06345599889755249
128,8,56,high_variance,16.0,1,31,0.9375,down_full64_prebuilt,1,0.05913599953055382
128,8,56,high_variance,16.0,1,31,0.9375,gate_up_full64_prebuilt,0,0.0764480009675026
128,8,56,high_variance,16.0,1,31,0.9375,gate_up_full64_prebuilt,1,0.07331199944019318
128,8,56,high_variance,16.0,1,31,0.9375,swiglu,0,0.029600000008940697
128,8,56,high_variance,16.0,1,31,0.9375,swiglu,1,0.022207999601960182
128,8,56,high_variance,16.0,1,31,0.9375,route_weight,0,0.015231999568641186
128,8,56,high_variance,16.0,1,31,0.9375,route_weight,1,0.014911999925971031
128,8,56,high_variance,16.0,1,31,0.9375,down_active_prebuilt,0,0.06239999830722809
128,8,56,high_variance,16.0,1,31,0.9375,down_active_prebuilt,1,0.05993599817156792
128,8,56,high_variance,16.0,1,31,0.9375,gate_up_active_prebuilt,0,0.08160000294446945
128,8,56,high_variance,16.0,1,31,0.9375,gate_up_active_prebuilt,1,0.07833600044250488
128,16,48,uniform,8.0,8,8,0.0,swiglu,0,0.04787199944257736
128,16,48,uniform,8.0,8,8,0.0,swiglu,1,0.037376001477241516
128,16,48,uniform,8.0,8,8,0.0,gate_up_full64_prebuilt,0,0.13020800054073334
128,16,48,uniform,8.0,8,8,0.0,gate_up_full64_prebuilt,1,0.1276800036430359
128,16,48,uniform,8.0,8,8,0.0,down_active_prebuilt,0,0.07887999713420868
128,16,48,uniform,8.0,8,8,0.0,down_active_prebuilt,1,0.07849600166082382
128,16,48,uniform,8.0,8,8,0.0,gate_up_active_prebuilt,0,0.13049599528312683
128,16,48,uniform,8.0,8,8,0.0,gate_up_active_prebuilt,1,0.1260800063610077
128,16,48,uniform,8.0,8,8,0.0,route_weight,0,0.01664000004529953
128,16,48,uniform,8.0,8,8,0.0,route_weight,1,0.016063999384641647
128,16,48,uniform,8.0,8,8,0.0,down_full64_prebuilt,0,0.08211199939250946
128,16,48,uniform,8.0,8,8,0.0,down_full64_prebuilt,1,0.077504001557827
128,16,48,high_variance,8.0,1,15,0.875,route_weight,0,0.021568000316619873
128,16,48,high_variance,8.0,1,15,0.875,route_weight,1,0.018303999677300453
128,16,48,high_variance,8.0,1,15,0.875,swiglu,0,0.02412799932062626
128,16,48,high_variance,8.0,1,15,0.875,swiglu,1,0.03379200026392937
128,16,48,high_variance,8.0,1,15,0.875,gate_up_active_prebuilt,0,0.12268800288438797
128,16,48,high_variance,8.0,1,15,0.875,gate_up_active_prebuilt,1,0.13523200154304504
128,16,48,high_variance,8.0,1,15,0.875,down_full64_prebuilt,0,0.08761599659919739
128,16,48,high_variance,8.0,1,15,0.875,down_full64_prebuilt,1,0.08454400300979614
128,16,48,high_variance,8.0,1,15,0.875,gate_up_full64_prebuilt,0,0.12294399738311768
128,16,48,high_variance,8.0,1,15,0.875,gate_up_full64_prebuilt,1,0.12006399780511856
128,16,48,high_variance,8.0,1,15,0.875,down_active_prebuilt,0,0.08700799942016602
128,16,48,high_variance,8.0,1,15,0.875,down_active_prebuilt,1,0.08761599659919739
128,32,32,uniform,4.0,4,4,0.0,down_active_prebuilt,0,0.14812800288200378
128,32,32,uniform,4.0,4,4,0.0,down_active_prebuilt,1,0.13920000195503235
128,32,32,uniform,4.0,4,4,0.0,route_weight,0,0.02038400061428547
128,32,32,uniform,4.0,4,4,0.0,route_weight,1,0.016767999157309532
128,32,32,uniform,4.0,4,4,0.0,gate_up_active_prebuilt,0,0.21676799654960632
128,32,32,uniform,4.0,4,4,0.0,gate_up_active_prebuilt,1,0.2170879989862442
128,32,32,uniform,4.0,4,4,0.0,gate_up_full64_prebuilt,0,0.21449600160121918
128,32,32,uniform,4.0,4,4,0.0,gate_up_full64_prebuilt,1,0.21264000236988068
128,32,32,uniform,4.0,4,4,0.0,swiglu,0,0.02304000034928322
128,32,32,uniform,4.0,4,4,0.0,swiglu,1,0.02364799939095974
128,32,32,uniform,4.0,4,4,0.0,down_full64_prebuilt,0,0.1435839980840683
128,32,32,uniform,4.0,4,4,0.0,down_full64_prebuilt,1,0.138047993183136
128,32,32,high_variance,4.0,1,7,0.75,gate_up_active_prebuilt,0,0.21510399878025055
128,32,32,high_variance,4.0,1,7,0.75,gate_up_active_prebuilt,1,0.2181439995765686
128,32,32,high_variance,4.0,1,7,0.75,swiglu,0,0.025696000084280968
128,32,32,high_variance,4.0,1,7,0.75,swiglu,1,0.025567999109625816
128,32,32,high_variance,4.0,1,7,0.75,down_active_prebuilt,0,0.14403200149536133
128,32,32,high_variance,4.0,1,7,0.75,down_active_prebuilt,1,0.14236800372600555
128,32,32,high_variance,4.0,1,7,0.75,gate_up_full64_prebuilt,0,0.21542400121688843
128,32,32,high_variance,4.0,1,7,0.75,gate_up_full64_prebuilt,1,0.2134079933166504
128,32,32,high_variance,4.0,1,7,0.75,down_full64_prebuilt,0,0.14608000218868256
128,32,32,high_variance,4.0,1,7,0.75,down_full64_prebuilt,1,0.14575999975204468
128,32,32,high_variance,4.0,1,7,0.75,route_weight,0,0.015744000673294067
128,32,32,high_variance,4.0,1,7,0.75,route_weight,1,0.015104000456631184
128,64,0,uniform,2.0,2,2,0.0,down_full64_prebuilt,0,0.25942400097846985
128,64,0,uniform,2.0,2,2,0.0,down_full64_prebuilt,1,0.26150399446487427
128,64,0,uniform,2.0,2,2,0.0,down_active_prebuilt,0,0.2550719976425171
128,64,0,uniform,2.0,2,2,0.0,down_active_prebuilt,1,0.25673601031303406
128,64,0,uniform,2.0,2,2,0.0,gate_up_active_prebuilt,0,0.3989120125770569
128,64,0,uniform,2.0,2,2,0.0,gate_up_active_prebuilt,1,0.4034560024738312
128,64,0,uniform,2.0,2,2,0.0,gate_up_full64_prebuilt,0,0.399616003036499
128,64,0,uniform,2.0,2,2,0.0,gate_up_full64_prebuilt,1,0.40067198872566223
128,64,0,uniform,2.0,2,2,0.0,swiglu,0,0.026176000013947487
128,64,0,uniform,2.0,2,2,0.0,swiglu,1,0.02723200060427189
128,64,0,uniform,2.0,2,2,0.0,route_weight,0,0.017664000391960144
128,64,0,uniform,2.0,2,2,0.0,route_weight,1,0.014495999552309513
128,64,0,high_variance,2.0,1,3,0.5,swiglu,0,0.06716799736022949
128,64,0,high_variance,2.0,1,3,0.5,swiglu,1,0.036928001791238785
128,64,0,high_variance,2.0,1,3,0.5,gate_up_active_prebuilt,0,0.434143990278244
128,64,0,high_variance,2.0,1,3,0.5,gate_up_active_prebuilt,1,0.4208639860153198
128,64,0,high_variance,2.0,1,3,0.5,down_full64_prebuilt,0,0.28016000986099243
128,64,0,high_variance,2.0,1,3,0.5,down_full64_prebuilt,1,0.2770879864692688
128,64,0,high_variance,2.0,1,3,0.5,route_weight,0,0.020735999569296837
128,64,0,high_variance,2.0,1,3,0.5,route_weight,1,0.015776000916957855
128,64,0,high_variance,2.0,1,3,0.5,down_active_prebuilt,0,0.27142399549484253
128,64,0,high_variance,2.0,1,3,0.5,down_active_prebuilt,1,0.26396799087524414
128,64,0,high_variance,2.0,1,3,0.5,gate_up_full64_prebuilt,0,0.41945600509643555
128,64,0,high_variance,2.0,1,3,0.5,gate_up_full64_prebuilt,1,0.4116800129413605
256,1,63,uniform,256.0,256,256,0.0,gate_up_active_prebuilt,0,0.0682239979505539
256,1,63,uniform,256.0,256,256,0.0,gate_up_active_prebuilt,1,0.062111999839544296
256,1,63,uniform,256.0,256,256,0.0,down_active_prebuilt,0,0.03545600175857544
256,1,63,uniform,256.0,256,256,0.0,down_active_prebuilt,1,0.03328000009059906
256,1,63,uniform,256.0,256,256,0.0,swiglu,0,0.04310400038957596
256,1,63,uniform,256.0,256,256,0.0,swiglu,1,0.02473600022494793
256,1,63,uniform,256.0,256,256,0.0,gate_up_full64_prebuilt,0,0.03731200098991394
