task,plan,repeat,schedule_barrier,policy,block_schedule,dynamic_seconds,dynamic_accuracy,dynamic_nfe,global_fastest_seconds,latency_only_gain_vs_global_fixed_percent,quality_safe_fixed_available,quality_matched_fixed_block,quality_matched_fixed_mini,quality_matched_fixed_threshold,quality_matched_fixed_seconds,quality_matched_fixed_accuracy,quality_matched_gain_vs_global_fixed_percent,evidence
gsm8k,dynamic_core,5,True,64_32,"[64,32]",17.83448600769043,0.4375,198,8.416436672210693,-111.90067367317285,True,64,16,0.85,11.136208057403564,0.4375,-60.14864230049763,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,1,False,16_32,"[16,32]",22.16739583015442,0.53125,260,13.613204002380371,-62.837461528368216,True,64,16,0.85,13.613204002380371,0.5625,-62.837461528368216,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,1,False,16_64_32,"[16,64,32]",36.61797118186951,0.5625,426,13.613204002380371,-168.98863173920392,True,64,16,0.85,13.613204002380371,0.5625,-168.98863173920392,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,1,False,32_16,"[32,16]",27.17788076400757,0.5625,314,13.613204002380371,-99.64352814558066,True,64,16,0.85,13.613204002380371,0.5625,-99.64352814558066,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,1,False,32_64,"[32,64]",27.696933269500732,0.5625,332,13.613204002380371,-103.45638884613582,True,64,16,0.85,13.613204002380371,0.5625,-103.45638884613582,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,1,False,64_16_32,"[64,16,32]",29.475584983825684,0.5625,355,13.613204002380371,-116.52202507706235,True,64,16,0.85,13.613204002380371,0.5625,-116.52202507706235,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,1,False,64_32,"[64,32]",23.276455879211426,0.5625,276,13.613204002380371,-70.984405105083,True,64,16,0.85,13.613204002380371,0.5625,-70.984405105083,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,5,True,16_32,"[16,32]",20.53912353515625,0.5625,251,13.613204002380371,-50.876483828236395,True,64,16,0.85,13.613204002380371,0.5625,-50.876483828236395,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,5,True,16_64_32,"[16,64,32]",25.78338646888733,0.5625,308,13.613204002380371,-89.3998390414109,True,64,16,0.85,13.613204002380371,0.5625,-89.3998390414109,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,5,True,32_16,"[32,16]",24.15687656402588,0.5625,282,13.613204002380371,-77.45180752306267,True,64,16,0.85,13.613204002380371,0.5625,-77.45180752306267,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,5,True,32_64,"[32,64]",24.003387689590454,0.5625,286,13.613204002380371,-76.32430752814166,True,64,16,0.85,13.613204002380371,0.5625,-76.32430752814166,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,5,True,64_16_32,"[64,16,32]",25.46691608428955,0.5625,301,13.613204002380371,-87.07510796015742,True,64,16,0.85,13.613204002380371,0.5625,-87.07510796015742,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core,5,True,64_32,"[64,32]",23.384865760803223,0.5625,289,13.613204002380371,-71.78076341700456,True,64,16,0.85,13.613204002380371,0.5625,-71.78076341700456,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core_reversed,2,False,16_32,"[16,32]",20.449013233184814,0.4375,230,8.416436672210693,-142.96521235290896,True,64,16,0.85,11.136208057403564,0.4375,-83.6263576234993,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core_reversed,2,False,16_64_32,"[16,64,32]",35.979002714157104,0.40625,424,8.416436672210693,-327.4849810603603,True,32,32,0.9,8.416436672210693,0.40625,-327.4849810603603,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core_reversed,2,False,32_16,"[32,16]",22.069111108779907,0.40625,243,8.416436672210693,-162.21442598917756,True,32,32,0.9,8.416436672210693,0.40625,-162.21442598917756,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core_reversed,2,False,32_64,"[32,64]",23.302674531936646,0.34375,244,8.416436672210693,-176.87102558351307,True,32,32,0.9,8.416436672210693,0.40625,-176.87102558351307,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core_reversed,2,False,64_16_32,"[64,16,32]",24.018231868743896,0.34375,276,8.416436672210693,-185.37292923556421,True,32,32,0.9,8.416436672210693,0.40625,-185.37292923556421,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core_reversed,2,False,64_32,"[64,32]",20.36397933959961,0.4375,226,8.416436672210693,-141.9548810583604,True,64,16,0.85,11.136208057403564,0.4375,-82.86277729932718,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core_reversed,2,False,16_32,"[16,32]",23.648675203323364,0.53125,260,13.613204002380371,-73.71865726237714,True,64,16,0.85,13.613204002380371,0.5625,-73.71865726237714,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core_reversed,2,False,16_64_32,"[16,64,32]",37.05172514915466,0.5625,426,13.613204002380371,-172.174905648045,True,64,16,0.85,13.613204002380371,0.5625,-172.174905648045,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core_reversed,2,False,32_16,"[32,16]",27.761997938156128,0.5625,314,13.613204002380371,-103.93434149155286,True,64,16,0.85,13.613204002380371,0.5625,-103.93434149155286,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core_reversed,2,False,32_64,"[32,64]",28.711384057998657,0.5625,332,13.613204002380371,-110.90835084068567,True,64,16,0.85,13.613204002380371,0.5625,-110.90835084068567,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core_reversed,2,False,64_16_32,"[64,16,32]",32.44976878166199,0.5625,355,13.613204002380371,-138.36981195600904,True,64,16,0.85,13.613204002380371,0.5625,-138.36981195600904,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_core_reversed,2,False,64_32,"[64,32]",23.55337119102478,0.5625,276,13.613204002380371,-73.01857216645175,True,64,16,0.85,13.613204002380371,0.5625,-73.01857216645175,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,1,False,128_32_64,"[128,32,64]",32.6030638217926,0.375,378,8.416436672210693,-287.373719919275,True,32,32,0.9,8.416436672210693,0.40625,-287.373719919275,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,1,False,128_64,"[128,64]",24.816716194152832,0.34375,297,8.416436672210693,-194.8601309636466,True,32,32,0.9,8.416436672210693,0.40625,-194.8601309636466,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,1,False,32_128_64,"[32,128,64]",20.475977182388306,0.3125,236,8.416436672210693,-143.28558486034456,True,32,32,0.9,8.416436672210693,0.40625,-143.28558486034456,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,1,False,32_64,"[32,64]",20.98011612892151,0.34375,245,8.416436672210693,-149.27551820348683,True,32,32,0.9,8.416436672210693,0.40625,-149.27551820348683,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,1,False,64_128,"[64,128]",17.34229826927185,0.28125,207,8.416436672210693,-106.05273876214714,True,32,32,0.9,8.416436672210693,0.40625,-106.05273876214714,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,1,False,64_32,"[64,32]",18.24557065963745,0.40625,214,8.416436672210693,-116.7849812246612,True,32,32,0.9,8.416436672210693,0.40625,-116.7849812246612,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,7,False,128_32_64,"[128,32,64]",24.059309720993042,0.375,263,13.75614070892334,-74.89868873895887,True,128,8,0.9,13.75614070892334,0.625,-74.89868873895887,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,7,False,128_64,"[128,64]",21.647664546966553,0.25,219,13.75614070892334,-57.367280584184016,True,128,8,0.9,13.75614070892334,0.625,-57.367280584184016,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,7,False,32_128_64,"[32,128,64]",33.869057416915894,0.625,340,13.75614070892334,-146.2104607213395,True,128,8,0.9,13.75614070892334,0.625,-146.2104607213395,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,7,False,32_64,"[32,64]",29.869286060333252,0.875,300,13.75614070892334,-117.13419986288473,False,,,,,,,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,7,False,64_128,"[64,128]",27.897440910339355,0.5,289,13.75614070892334,-102.79990951417668,True,128,8,0.9,13.75614070892334,0.625,-102.79990951417668,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_wide,7,False,64_32,"[64,32]",29.337408542633057,0.75,306,13.75614070892334,-113.26772648961385,True,32,8,0.9,14.128215312957764,0.75,-107.6511993395663,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,1,False,128_32_64,"[128,32,64]",36.35377383232117,0.53125,431,13.613204002380371,-167.04788840279215,True,64,16,0.85,13.613204002380371,0.5625,-167.04788840279215,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,1,False,128_64,"[128,64]",26.333266496658325,0.53125,295,13.613204002380371,-93.43915284053449,True,64,16,0.85,13.613204002380371,0.5625,-93.43915284053449,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,1,False,32_128_64,"[32,128,64]",39.25541353225708,0.53125,457,13.613204002380371,-188.3627801757248,True,64,16,0.85,13.613204002380371,0.5625,-188.3627801757248,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,1,False,32_64,"[32,64]",32.86108469963074,0.5625,379,13.613204002380371,-141.39126023443657,True,64,16,0.85,13.613204002380371,0.5625,-141.39126023443657,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,1,False,64_128,"[64,128]",31.94541883468628,0.5625,374,13.613204002380371,-134.66495344593662,True,64,16,0.85,13.613204002380371,0.5625,-134.66495344593662,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,1,False,64_32,"[64,32]",27.08838391304016,0.5625,316,13.613204002380371,-98.98610134912805,True,64,16,0.85,13.613204002380371,0.5625,-98.98610134912805,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,7,False,128_32_64,"[128,32,64]",26.46384859085083,0.75,325,10.524931907653809,-151.43961807112618,True,32,8,0.9,10.524931907653809,0.75,-151.43961807112618,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,7,False,128_64,"[128,64]",26.539164066314697,0.625,289,10.524931907653809,-152.15520916591603,True,32,8,0.9,10.524931907653809,0.75,-152.15520916591603,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,7,False,32_128_64,"[32,128,64]",19.131335973739624,0.875,224,10.524931907653809,-81.77158903828322,True,128,8,0.9,10.876491785049438,0.875,-75.89620211948392,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,7,False,32_64,"[32,64]",20.65434193611145,0.75,228,10.524931907653809,-96.2420480943108,True,32,8,0.9,10.524931907653809,0.75,-96.2420480943108,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,7,False,64_128,"[64,128]",19.55952000617981,0.75,233,10.524931907653809,-85.83987219865985,True,32,8,0.9,10.524931907653809,0.75,-85.83987219865985,clean actual trajectory versus all measured fixed-B/mini/threshold points
humaneval,dynamic_wide,7,False,64_32,"[64,32]",19.55946946144104,0.625,206,10.524931907653809,-85.83939196050521,True,32,8,0.9,10.524931907653809,0.75,-85.83939196050521,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_16_16_16_16_32,"[16,16,16,16,16,16,32]",17.945213317871094,0.625,182,8.199750185012817,-118.8507321926789,True,32,8,0.9,8.199750185012817,0.625,-118.8507321926789,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_16_16_16_32_16,"[16,16,16,16,16,32,16]",19.523437023162842,0.625,221,8.199750185012817,-138.09794911614523,True,32,8,0.9,8.199750185012817,0.625,-138.09794911614523,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_16_16_32_16_16,"[16,16,16,16,32,16,16]",22.475842475891113,0.625,232,8.199750185012817,-174.10399059439126,True,32,8,0.9,8.199750185012817,0.625,-174.10399059439126,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_16_16_32_32,"[16,16,16,16,32,32]",21.419264554977417,0.625,246,8.199750185012817,-161.21850143833296,True,32,8,0.9,8.199750185012817,0.625,-161.21850143833296,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_16_16_64,"[16,16,16,16,64]",20.79598307609558,0.625,219,8.199750185012817,-153.6172762202642,True,32,8,0.9,8.199750185012817,0.625,-153.6172762202642,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_16_32_16_16_16,"[16,16,16,32,16,16,16]",20.02516484260559,0.5,229,8.199750185012817,-144.21676747185302,True,32,8,0.9,8.199750185012817,0.625,-144.21676747185302,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_16_32_16_32,"[16,16,16,32,16,32]",19.8612539768219,0.5,221,8.199750185012817,-142.21779357526674,True,32,8,0.9,8.199750185012817,0.625,-142.21779357526674,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_16_32_32_16,"[16,16,16,32,32,16]",15.63907790184021,0.5,190,8.199750185012817,-90.72627273968303,True,32,8,0.9,8.199750185012817,0.625,-90.72627273968303,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_16_64_16,"[16,16,16,64,16]",16.08296298980713,0.625,197,8.199750185012817,-96.13967044024024,True,32,8,0.9,8.199750185012817,0.625,-96.13967044024024,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_32_16_16_16_16,"[16,16,32,16,16,16,16]",20.38937497138977,0.5,206,8.199750185012817,-148.65848972639034,True,32,8,0.9,8.199750185012817,0.625,-148.65848972639034,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_32_16_16_32,"[16,16,32,16,16,32]",20.078011989593506,0.5,208,8.199750185012817,-144.8612645089031,True,32,8,0.9,8.199750185012817,0.625,-144.8612645089031,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_32_16_32_16,"[16,16,32,16,32,16]",19.235435485839844,0.625,232,8.199750185012817,-134.58562824264598,True,32,8,0.9,8.199750185012817,0.625,-134.58562824264598,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_32_32_16_16,"[16,16,32,32,16,16]",20.646903038024902,0.625,215,8.199750185012817,-151.79917158650156,True,32,8,0.9,8.199750185012817,0.625,-151.79917158650156,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_32_32_32,"[16,16,32,32,32]",19.056157112121582,0.625,203,8.199750185012817,-132.3992400030879,True,32,8,0.9,8.199750185012817,0.625,-132.3992400030879,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_32_64,"[16,16,32,64]",16.706454277038574,0.625,200,8.199750185012817,-103.7434543746708,True,32,8,0.9,8.199750185012817,0.625,-103.7434543746708,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_64_16_16,"[16,16,64,16,16]",18.722968339920044,0.5,202,8.199750185012817,-128.33583850080157,True,32,8,0.9,8.199750185012817,0.625,-128.33583850080157,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_16_64_32,"[16,16,64,32]",22.292272090911865,0.5,265,8.199750185012817,-171.8652591594413,True,32,8,0.9,8.199750185012817,0.625,-171.8652591594413,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_32_16_16_16_16_16,"[16,32,16,16,16,16,16]",18.6052303314209,0.75,202,8.199750185012817,-126.8999653846383,False,,,,,,,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_32_16_16_16_32,"[16,32,16,16,16,32]",18.12456440925598,0.625,204,8.199750185012817,-121.03800726006692,True,32,8,0.9,8.199750185012817,0.625,-121.03800726006692,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_32_16_16_32_16,"[16,32,16,16,32,16]",22.537713766098022,0.625,223,8.199750185012817,-174.85854151132037,True,32,8,0.9,8.199750185012817,0.625,-174.85854151132037,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_32_16_32_16_16,"[16,32,16,32,16,16]",20.481935501098633,0.75,218,8.199750185012817,-149.78731106387502,False,,,,,,,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_32_16_32_32,"[16,32,16,32,32]",16.517507076263428,0.75,185,8.199750185012817,-101.43915001768568,False,,,,,,,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_32_16_64,"[16,32,16,64]",21.761608839035034,0.75,249,8.199750185012817,-165.3935589258567,False,,,,,,,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_32_32_16_16_16,"[16,32,32,16,16,16]",17.081347942352295,0.625,209,8.199750185012817,-108.31546762940309,True,32,8,0.9,8.199750185012817,0.625,-108.31546762940309,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_32_32_16_32,"[16,32,32,16,32]",14.019164085388184,0.625,184,8.199750185012817,-70.97062433696898,True,32,8,0.9,8.199750185012817,0.625,-70.97062433696898,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_32_32_32_16,"[16,32,32,32,16]",12.943543434143066,0.625,164,8.199750185012817,-57.852899687124236,True,32,8,0.9,8.199750185012817,0.625,-57.852899687124236,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_32_64_16,"[16,32,64,16]",21.0044367313385,0.625,221,8.199750185012817,-156.15947141572178,True,32,8,0.9,8.199750185012817,0.625,-156.15947141572178,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_64_16_16_16,"[16,64,16,16,16]",18.666011333465576,0.625,240,8.199750185012817,-127.64121969938282,True,32,8,0.9,8.199750185012817,0.625,-127.64121969938282,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_64_16_32,"[16,64,16,32]",25.934037923812866,0.625,308,8.199750185012817,-216.27839066626794,True,32,8,0.9,8.199750185012817,0.625,-216.27839066626794,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,16_64_32_16,"[16,64,32,16]",26.51562809944153,0.625,331,8.199750185012817,-223.37116986692786,True,32,8,0.9,8.199750185012817,0.625,-223.37116986692786,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_16_16_16_16_16_16,"[32,16,16,16,16,16,16]",20.427093744277954,0.625,232,8.199750185012817,-149.1184887755946,True,32,8,0.9,8.199750185012817,0.625,-149.1184887755946,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_16_16_16_16_32,"[32,16,16,16,16,32]",19.966302394866943,0.625,244,8.199750185012817,-143.4989108736577,True,32,8,0.9,8.199750185012817,0.625,-143.4989108736577,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_16_16_16_32_16,"[32,16,16,16,32,16]",18.89214253425598,0.625,222,8.199750185012817,-130.39900128648188,True,32,8,0.9,8.199750185012817,0.625,-130.39900128648188,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_16_16_32_16_16,"[32,16,16,32,16,16]",16.433839559555054,0.5,211,8.199750185012817,-100.41878336235392,True,32,8,0.9,8.199750185012817,0.625,-100.41878336235392,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_16_16_32_32,"[32,16,16,32,32]",13.086243867874146,0.5,170,8.199750185012817,-59.59320189769525,True,32,8,0.9,8.199750185012817,0.625,-59.59320189769525,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_16_16_64,"[32,16,16,64]",20.777936458587646,0.625,219,8.199750185012817,-153.39718881393173,True,32,8,0.9,8.199750185012817,0.625,-153.39718881393173,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_16_32_16_16_16,"[32,16,32,16,16,16]",21.86151671409607,0.5,218,8.199750185012817,-166.61198476575169,True,32,8,0.9,8.199750185012817,0.625,-166.61198476575169,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_16_32_16_32,"[32,16,32,16,32]",19.132805347442627,0.625,225,8.199750185012817,-133.3340030579568,True,32,8,0.9,8.199750185012817,0.625,-133.3340030579568,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_16_32_32_16,"[32,16,32,32,16]",16.668628454208374,0.625,201,8.199750185012817,-103.28214979859558,True,32,8,0.9,8.199750185012817,0.625,-103.28214979859558,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_16_64_16,"[32,16,64,16]",19.816293716430664,0.5,231,8.199750185012817,-141.66948101236196,True,32,8,0.9,8.199750185012817,0.625,-141.66948101236196,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_32_16_16_16_16,"[32,32,16,16,16,16]",14.759315013885498,0.625,189,8.199750185012817,-79.99713016698968,True,32,8,0.9,8.199750185012817,0.625,-79.99713016698968,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_32_16_16_32,"[32,32,16,16,32]",21.50958561897278,0.625,235,8.199750185012817,-162.3200113862878,True,32,8,0.9,8.199750185012817,0.625,-162.3200113862878,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_32_16_32_16,"[32,32,16,32,16]",14.990501642227173,0.5,182,8.199750185012817,-82.81656518787884,True,32,8,0.9,8.199750185012817,0.625,-82.81656518787884,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_32_32_16_16,"[32,32,32,16,16]",10.595595836639404,0.625,138,8.199750185012817,-29.21852004717924,True,32,8,0.9,8.199750185012817,0.625,-29.21852004717924,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_32_64,"[32,32,64]",14.336739778518677,0.625,167,8.199750185012817,-74.84361663508736,True,32,8,0.9,8.199750185012817,0.625,-74.84361663508736,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_64_16_16,"[32,64,16,16]",25.109697818756104,0.5,260,8.199750185012817,-206.22515628159778,True,32,8,0.9,8.199750185012817,0.625,-206.22515628159778,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,32_64_32,"[32,64,32]",22.77336621284485,0.5,243,8.199750185012817,-177.73243939149654,True,32,8,0.9,8.199750185012817,0.625,-177.73243939149654,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,64_16_16_16_16,"[64,16,16,16,16]",20.3987557888031,0.625,246,8.199750185012817,-148.7728934240844,True,32,8,0.9,8.199750185012817,0.625,-148.7728934240844,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,exhaustive_128,9,False,64_16_16_32,"[64,16,16,32]",21.386982679367065,0.375,220,8.199750185012817,-160.82480803448567,True,32,8,0.9,8.199750185012817,0.625,-160.82480803448567,clean actual trajectory versus all measured fixed-B/mini/threshold points
