timestamp,stage,task,sample_count,block_length,mini_batch_size,gen_length,threshold,regime,repeat,status,notes
2026-09-14T04:36:19+09:00,schedule,gsm8k,32,mixed,plan,128,0.9,dynamic_core,5,ok,actual trajectories; barrier=1
2026-09-14T04:40:09+09:00,schedule,humaneval,32,mixed,plan,128,0.9,dynamic_core,5,ok,actual trajectories; barrier=1
2026-09-14T04:45:56+09:00,static,gsm8k,32,32,32,128,0.85,qualitycal,1,ok,
2026-09-14T04:47:29+09:00,static,gsm8k,32,64,32,128,0.85,qualitycal,1,ok,
2026-09-14T04:48:49+09:00,static,gsm8k,32,64,16,128,0.85,qualitycal,1,ok,
2026-09-14T04:50:09+09:00,static,gsm8k,32,128,16,128,0.85,qualitycal,1,ok,
2026-09-14T04:51:31+09:00,static,gsm8k,32,32,32,128,0.95,qualitycal,1,ok,
2026-09-14T04:53:03+09:00,static,gsm8k,32,64,32,128,0.95,qualitycal,1,ok,
2026-09-14T04:54:31+09:00,static,gsm8k,32,64,16,128,0.95,qualitycal,1,ok,
2026-09-14T04:56:00+09:00,static,gsm8k,32,128,16,128,0.95,qualitycal,1,ok,
2026-09-14T04:57:32+09:00,static,humaneval,32,8,16,128,0.85,qualitycal,1,ok,
2026-09-14T04:59:18+09:00,static,humaneval,32,32,16,128,0.85,qualitycal,1,ok,
2026-09-14T05:00:51+09:00,static,humaneval,32,64,16,128,0.85,qualitycal,1,ok,
2026-09-14T05:02:16+09:00,static,humaneval,32,128,8,128,0.85,qualitycal,1,ok,
2026-09-14T05:03:53+09:00,static,humaneval,32,8,16,128,0.95,qualitycal,1,ok,
2026-09-14T05:05:39+09:00,static,humaneval,32,32,16,128,0.95,qualitycal,1,ok,
2026-09-14T05:07:17+09:00,static,humaneval,32,64,16,128,0.95,qualitycal,1,ok,
2026-09-14T05:08:48+09:00,static,humaneval,32,128,8,128,0.95,qualitycal,1,ok,
2026-09-14T05:32:41+09:00,schedule,gsm8k,8,mixed,plan,128,0.9,request_tournament,6,ok,actual trajectories; barrier=0
2026-09-14T05:42:44+09:00,schedule,humaneval,8,mixed,plan,128,0.9,request_tournament,6,ok,actual trajectories; barrier=0
2026-09-14T05:52:03+09:00,schedule,gsm8k,8,mixed,plan,256,0.9,dynamic_wide,7,ok,actual trajectories; barrier=0
2026-09-14T05:56:53+09:00,schedule,humaneval,8,mixed,plan,256,0.9,dynamic_wide,7,ok,actual trajectories; barrier=0
2026-09-14T06:01:17+09:00,static,humaneval,32,32,16,128,0.85,qualitycal,2,ok,
2026-09-14T06:02:50+09:00,static,humaneval,32,8,16,128,0.85,qualitycal,2,ok,
2026-09-14T06:04:29+09:00,static,humaneval,32,32,16,128,0.85,qualitycal,3,ok,
2026-09-14T06:05:53+09:00,static,humaneval,32,8,16,128,0.85,qualitycal,3,ok,
2026-09-14T06:08:56+09:00,schedule,gsm8k,8,mixed,plan,256,0.9,long_16_control,8,ok,actual trajectories; barrier=0
2026-09-14T06:11:48+09:00,schedule,humaneval,8,mixed,plan,256,0.9,long_16_control,8,ok,actual trajectories; barrier=0
2026-09-14T06:16:28+09:00,schedule,gsm8k,8,mixed,plan,128,0.9,exhaustive_128,9,ok,actual trajectories; barrier=0
2026-09-14T06:35:33+09:00,schedule,humaneval,8,mixed,plan,128,0.9,exhaustive_128,9,ok,actual trajectories; barrier=0
