plan,task,n,mini,target,threshold,repeat,barrier,schedule_barrier,policy,block_schedule,fixed,model_seconds,elapsed_seconds,nfe,generated_tokens,correct,total,accuracy,passing_ids,evidence,result_dir
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_64_16_32,"[16,64,16,32]",False,25.934037923812866,25.93524956703186,308,1239,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_64_32_16,"[16,64,32,16]",False,26.51562809944153,26.517012119293213,331,1242,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,32_16_16_16_16_16_16,"[32,16,16,16,16,16,16]",False,20.427093744277954,20.428813695907593,232,1262,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,32_16_16_16_16_32,"[32,16,16,16,16,32]",False,19.966302394866943,19.96779751777649,244,1260,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,32_16_16_16_32_16,"[32,16,16,16,32,16]",False,18.89214253425598,18.893616676330566,222,1260,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,32_16_16_32_16_16,"[32,16,16,32,16,16]",False,16.433839559555054,16.435202836990356,211,1265,4,8,0.5,"[0,1,3,4]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,32_16_16_32_32,"[32,16,16,32,32]",False,13.086243867874146,13.087469816207886,170,1268,4,8,0.5,"[0,1,3,4]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,32_16_16_64,"[32,16,16,64]",False,20.777936458587646,20.77961778640747,219,1247,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,32_16_32_16_16_16,"[32,16,32,16,16,16]",False,21.86151671409607,21.8628249168396,218,1246,4,8,0.5,"[1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,32_16_32_16_32,"[32,16,32,16,32]",False,19.132805347442627,19.134032249450684,225,1246,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
