task,block_length,mini_batch_size,phase,waves,physical_rows_median,physical_rows_mean,live_ratio_median,live_ratio_mean,model_forward_ms_median,model_forward_ms_mean,active_experts_median,active_experts_mean,rows_per_active_expert_mean_median,rows_per_active_expert_mean_mean,tiny_expert_fraction_le4_median,tiny_expert_fraction_le4_mean,rank_load_cv_median,rank_load_cv_mean,rank_fanout_mean_median,rank_fanout_mean_mean,remote_fraction_median,remote_fraction_mean,dispatch_bytes_bf16_median,dispatch_bytes_bf16_mean,attention_critical_ms_median,attention_critical_ms_mean,dispatch_critical_ms_median,dispatch_critical_ms_mean,expert_critical_ms_median,expert_critical_ms_mean,combine_critical_ms_median,combine_critical_ms_mean
gsm8k,64,8,middle,58,384.0,388.41379310344826,0.4796875,0.4851126334154352,143.16139221191406,142.4640612108954,179.5,177.4344827586207,16.911753721187395,17.661092910930932,0.37297310202154355,0.37838345276686686,0.31905575280029286,0.3372637631377864,3.0428125739097593,3.0478593285741478,0.7550130208333333,0.7555052869073274,18966118.4,19257838.344827585,0.6221856117248534,0.6464155591767411,5.20765438079834,5.184962654935903,0.8866400122642517,0.8806639463737094,0.1743648022413254,0.1764643314840465
gsm8k,128,2,early,299,256.0,256.0,0.8515625,0.8454614339464883,173.34620666503906,176.02278637327876,118.4,113.53444816053512,17.469960646365475,19.3707145751429,0.5479907586480965,0.5422008820083664,0.4682970125001151,0.4667132541031653,3.06640625,3.0679661371237463,0.74892578125,0.7484306411998328,12564889.6,12556582.528428094,0.996121597290039,1.0012977874797324,5.013113594055175,5.039265309209409,0.8048767924308777,0.8008734823868028,0.2906880021095276,0.29852879224812306
gsm8k,128,2,late,478,256.0,255.73221757322176,0.15625,0.15653602248953974,172.3691635131836,186.47549269289152,172.8,172.0794979079498,11.97323229515333,12.075346521769184,0.417597654565076,0.4215045999027775,0.288539059070017,0.2936834847228201,3.05390625,3.0478278634937235,0.74580078125,0.7459838356433054,12512460.8,12502513.861087864,0.9854272067546844,0.9980770273438059,4.99138879776001,5.042666977319757,0.9273311972618103,0.9273468778223173,0.26721599996089934,0.27319649187029654
gsm8k,128,2,middle,337,256.0,256.0,0.484375,0.4879682863501484,172.764892578125,175.3531712382059,153.4,153.67715133531158,13.531801950261206,13.563885238830455,0.46674622596855897,0.46725409218101005,0.3708842141042104,0.37068298595487725,3.0484375,3.049649944362018,0.74228515625,0.7436708897440654,12453478.4,12476727.15014837,0.9895999789237976,1.004207801323616,5.0032001495361325,5.063405557343797,0.8836479902267456,0.8871616946483577,0.26179840266704557,0.2689334127068166
gsm8k,128,8,early,1,1024.0,1024.0,0.802734375,0.802734375,215.2291259765625,215.2291259765625,186.6,186.6,44.345623838447636,44.345623838447636,0.32755009188198453,0.32755009188198453,0.41801637249102874,0.41801637249102874,3.04765625,3.04765625,0.750244140625,0.750244140625,50348032.0,50348032.0,0.48975359797477724,0.48975359797477724,11.9407808303833,11.9407808303833,1.0457279801368713,1.0457279801368713,0.25258239507675173,0.25258239507675173
gsm8k,128,8,late,36,384.0,423.1111111111111,0.15299479166666669,0.17834924768518517,142.06200408935547,159.67323769463434,178.3,171.55555555555554,17.231848316362417,18.29373071569408,0.33503329431601464,0.3664743917881713,0.2921589035458727,0.2895562346186548,3.064453125,3.0676269696818457,0.756396484375,0.7586636013454862,18988236.799999997,20981896.53333333,0.6570080012083054,0.7105761774712138,5.1653631210327156,5.936901691224841,0.8804064035415649,0.8851301338937547,0.18712000325322153,0.19284817746116054
gsm8k,128,8,middle,65,1024.0,850.7076923076924,0.4755859375,0.4816112923534799,218.57945251464844,216.08436560997598,200.2,199.41230769230768,38.45057092455731,34.1404269433746,0.26690602083415843,0.2530347127326356,0.3273839885545166,0.32666570960592023,3.0775390625,3.0751999748670134,0.753759765625,0.7549317300538003,50000691.2,42114366.227692306,0.6334400057792664,0.6658455635034121,11.908499145507813,10.949635441119854,1.0724800109863282,1.0531347694763773,0.22076160013675689,0.23055409149481698
humaneval,8,8,early,30,8.0,28.266666666666666,0.875,0.8665178571428572,102.02072143554688,107.02150166829428,31.5,61.41333333333332,2.5345420964731313,3.1666198167973687,0.8408086022211797,0.7998215769076149,0.49956796119779684,0.44128673862018336,3.046875,3.016661715110143,0.75,0.7536638144841271,417792.0,1409460.9066666665,0.6991935968399048,0.7643970119953155,1.5301727950572968,1.4227714081605278,0.5585919976234436,0.5844947201013565,0.1500671997666359,0.19149909342328705
humaneval,8,8,late,46,16.0,28.347826086956523,0.125,0.13772968426501037,99.39867401123047,113.43066721377166,63.4,77.0608695652174,2.072215804667061,2.5296474469564263,0.9153283685272864,0.8682254803718026,0.3469825183274342,0.3697737855030568,3.025000041723251,3.0195523002873297,0.7603515625,0.7597866524327123,806912.0,1406886.956521739,0.6829312026500702,0.7746710287488028,1.2398847877979278,1.4017675140629644,0.5745344042778016,0.5838335996088775,0.1469279982149601,0.17470900869887807
humaneval,8,8,middle,89,64.0,48.359550561797754,0.5,0.5024026886035313,99.87586975097656,108.08452160438794,119.6,103.52359550561798,3.872682181393993,3.5424051382556963,0.7306206340488227,0.7659648041001167,0.2823273778389209,0.3123665220007779,3.0500000357627868,3.04994585621223,0.75546875,0.753862652153558,3075276.8,2384847.6764044943,0.6680575966835022,0.7201165673438084,1.6467584133148194,1.611565515834294,0.581715202331543,0.5861520534820771,0.13790079802274705,0.16005177532186668
humaneval,16,8,early,20,24.0,40.0,0.8203125,0.8395833333333332,92.16926574707031,97.61839714050294,56.7,69.13,3.5499362305957542,4.1768383527418935,0.7495392489510138,0.7405181698825417,0.42008542852383,0.42019444756747043,3.04375,3.038515629768372,0.7447265624999999,0.7510904947916667,1169817.6,1969274.8799999997,0.6038367927074433,0.6359628802537919,1.1281600058078767,1.2797948795557024,0.5047808051109315,0.5447123223543168,0.0945440001785755,0.12059840004891156
humaneval,16,8,late,43,32.0,39.81395348837209,0.1875,0.17442725636766335,91.76815795898438,96.90314572356468,86.2,89.54883720930232,3.0117606701118573,3.240092682441439,0.8106824210796815,0.7968507067367491,0.356519335968785,0.35338833784875007,3.03125,3.017736037387405,0.75625,0.7554877837763012,1585971.2,1971376.2232558134,0.6016575932502747,0.6756331169328025,1.1762367963790894,1.2722010820410972,0.5167104005813599,0.7312891548456146,0.09461119920015335,0.2924168926165548
humaneval,16,8,middle,80,112.0,88.4,0.5,0.49460751488095245,100.18462371826172,99.37038164138794,139.1,123.99250000000002,6.25634069997499,5.353977535619049,0.5910379605388765,0.6547397745978982,0.2649178705527079,0.30052734886111276,3.05625,3.046257277280092,0.7541015625,0.7550025809151786,5444403.2,4381634.5600000005,0.6022208034992218,0.6658331207931042,2.0246528029441833,1.8131905600428582,0.7194655954837799,0.6590941589325666,0.14386240020394325,0.15146048031747342
humaneval,32,8,early,7,64.0,109.71428571428571,0.7410714285714286,0.8067602040816327,92.77011108398438,109.01321084158761,94.0,103.14285714285714,5.576421500194869,8.229487011686418,0.6525550953291817,0.6018738057173881,0.26362849857006776,0.2798469635677904,3.07890625,3.085570812225342,0.75390625,0.7546257174744897,3162112.0,5479277.714285715,0.6009407997131347,0.723499882221222,1.5367168188095093,2.0924507447651455,0.5284863889217377,0.5953892588615418,0.11522560119628907,0.14296319889170786
humaneval,32,8,late,30,64.0,88.53333333333333,0.21875,0.19557291666666668,93.15403366088867,97.88000717163087,115.2,117.67999999999999,4.320089243899272,5.3600351405830695,0.688147791195515,0.6648129943696215,0.3459016711651481,0.35725466665755423,3.0511718749999996,3.0104774459203085,0.74541015625,0.7460876736111112,3160473.6,4342743.04,0.5917216122150422,0.5961636273066201,1.4957568049430847,1.7869672481218974,0.5556607961654663,0.6159662938117981,0.11270399987697602,0.1253521069387595
