task,sample_count,regime,decoder_control,block_length,mini_batch_size,generation,threshold,threshold_requested,threshold_effective,target_total_length,repeat,quality_correct,quality_total,accuracy,nfe,bct_s,run_dir
humaneval,32,frontier,serving_native,32,16,128,0.9,0.9,0.9,384,5,17,32,0.53125,200,16.602699518203735,poc_ep_dynamic_block/results/clean/frontier_humaneval_n32_B32_m16_g128_t0.9_L384_r5
humaneval,32,frontier,serving_native,64,16,128,0.9,0.9,0.9,384,5,17,32,0.53125,166,15.246544361114502,poc_ep_dynamic_block/results/clean/frontier_humaneval_n32_B64_m16_g128_t0.9_L384_r5
humaneval,32,frontier,serving_native,8,16,128,0.9,0.9,0.9,384,5,18,32,0.5625,270,25.122729301452637,poc_ep_dynamic_block/results/clean/frontier_humaneval_n32_B8_m16_g128_t0.9_L384_r5
gsm8k,32,matched,serving_native,128,8,128,0.9,0.9,0.9,256,1,9,32,0.28125,276,22.78949284553528,poc_ep_dynamic_block/results/clean/matched_gsm8k_n32_B128_m8_g128_t0.9_L256_r1
gsm8k,32,matched,serving_native,16,8,128,0.9,0.9,0.9,256,1,13,32,0.40625,287,23.865532875061035,poc_ep_dynamic_block/results/clean/matched_gsm8k_n32_B16_m8_g128_t0.9_L256_r1
gsm8k,32,matched,serving_native,32,8,128,0.9,0.9,0.9,256,1,13,32,0.40625,260,21.666595697402954,poc_ep_dynamic_block/results/clean/matched_gsm8k_n32_B32_m8_g128_t0.9_L256_r1
gsm8k,32,matched,serving_native,64,8,128,0.9,0.9,0.9,256,1,15,32,0.46875,250,19.81702971458435,poc_ep_dynamic_block/results/clean/matched_gsm8k_n32_B64_m8_g128_t0.9_L256_r1
gsm8k,32,matched,serving_native,8,8,128,0.9,0.9,0.9,256,1,13,32,0.40625,354,29.594178676605225,poc_ep_dynamic_block/results/clean/matched_gsm8k_n32_B8_m8_g128_t0.9_L256_r1
humaneval,32,matched,serving_native,128,8,128,0.9,0.9,0.9,384,1,18,32,0.5625,252,22.377134561538696,poc_ep_dynamic_block/results/clean/matched_humaneval_n32_B128_m8_g128_t0.9_L384_r1
humaneval,32,matched,serving_native,16,8,128,0.9,0.9,0.9,384,1,17,32,0.53125,321,26.59312915802002,poc_ep_dynamic_block/results/clean/matched_humaneval_n32_B16_m8_g128_t0.9_L384_r1
humaneval,32,matched,serving_native,32,8,128,0.9,0.9,0.9,384,1,18,32,0.5625,286,26.031211853027344,poc_ep_dynamic_block/results/clean/matched_humaneval_n32_B32_m8_g128_t0.9_L384_r1
humaneval,32,matched,serving_native,64,8,128,0.9,0.9,0.9,384,1,18,32,0.5625,263,23.17611265182495,poc_ep_dynamic_block/results/clean/matched_humaneval_n32_B64_m8_g128_t0.9_L384_r1
humaneval,32,matched,serving_native,8,8,128,0.9,0.9,0.9,384,1,18,32,0.5625,438,36.29531645774841,poc_ep_dynamic_block/results/clean/matched_humaneval_n32_B8_m8_g128_t0.9_L384_r1
