task,plan,repeat,mini_batch_size,oracle,baseline_policy,baseline_schedule,baseline_seconds,baseline_correct,candidate_policy,candidate_schedule,candidate_seconds,candidate_correct,gain_percent,actual_trajectory
gsm8k,long_16_control,8,8,O0_latency_only,fixed32,[32],14.599624395370483,6,32_16,"[32,16]",22.641188621520996,6,-55.0806240515371,True
gsm8k,long_16_control,8,8,O1_dataset_score_preserving,fixed32,[32],14.599624395370483,6,32_16,"[32,16]",22.641188621520996,6,-55.0806240515371,True
gsm8k,long_16_control,8,8,O2_per_request_safe,fixed32,[32],14.599624395370483,6,32_16,"[32,16]",22.641188621520996,6,-55.0806240515371,True
gsm8k,long_16_control,8,8,O3_one_sample_epsilon,fixed32,[32],14.599624395370483,6,32_16,"[32,16]",22.641188621520996,6,-55.0806240515371,True
gsm8k,request_tournament,6,1,O0_latency_only,fixed32,[32],43.71077632904053,4,64_128,"[64,128]",40.86848473548889,4,6.502496254369375,True
gsm8k,request_tournament,6,1,O1_dataset_score_preserving,fixed32,[32],43.71077632904053,4,64_128,"[64,128]",40.86848473548889,4,6.502496254369375,True
gsm8k,request_tournament,6,1,O2_per_request_safe,fixed32,[32],43.71077632904053,4,64_128,"[64,128]",40.86848473548889,4,6.502496254369375,True
gsm8k,request_tournament,6,1,O3_one_sample_epsilon,fixed32,[32],43.71077632904053,4,64_128,"[64,128]",40.86848473548889,4,6.502496254369375,True
gsm8k,schedule_smoke,1,8,O0_latency_only,fixed64_schedule,[64],8.54930567741394,5,mixed_16_64_32_16,"[16,64,32,16]",27.932579040527344,5,-226.72336321207086,True
gsm8k,schedule_smoke,1,8,O1_dataset_score_preserving,fixed64_schedule,[64],8.54930567741394,5,mixed_16_64_32_16,"[16,64,32,16]",27.932579040527344,5,-226.72336321207086,True
gsm8k,schedule_smoke,1,8,O2_per_request_safe,fixed64_schedule,[64],8.54930567741394,5,mixed_16_64_32_16,"[16,64,32,16]",27.932579040527344,5,-226.72336321207086,True
gsm8k,schedule_smoke,1,8,O3_one_sample_epsilon,fixed64_schedule,[64],8.54930567741394,5,mixed_16_64_32_16,"[16,64,32,16]",27.932579040527344,5,-226.72336321207086,True
gsm8k,schedule_smoke,4,8,O0_latency_only,fixed32_schedule,[32],14.26711916923523,5,mixed_16_64_32_16,"[16,64,32,16]",14.002992391586304,5,1.8512971996370025,True
gsm8k,schedule_smoke,4,8,O1_dataset_score_preserving,fixed32_schedule,[32],14.26711916923523,5,mixed_16_64_32_16,"[16,64,32,16]",14.002992391586304,5,1.8512971996370025,True
gsm8k,schedule_smoke,4,8,O2_per_request_safe,fixed32_schedule,[32],14.26711916923523,5,mixed_16_64_32_16,"[16,64,32,16]",14.002992391586304,5,1.8512971996370025,True
gsm8k,schedule_smoke,4,8,O3_one_sample_epsilon,fixed32_schedule,[32],14.26711916923523,5,mixed_16_64_32_16,"[16,64,32,16]",14.002992391586304,5,1.8512971996370025,True
humaneval,dynamic_core,1,16,O0_latency_only,fixed64,[64],15.194578886032104,17,16_32,"[16,32]",22.16739583015442,17,-45.89016251402798,True
humaneval,dynamic_core,1,16,O1_dataset_score_preserving,fixed64,[64],15.194578886032104,17,16_32,"[16,32]",22.16739583015442,17,-45.89016251402798,True
humaneval,dynamic_core,1,16,O2_per_request_safe,fixed64,[64],15.194578886032104,17,64_32,"[64,32]",23.276455879211426,18,-53.18921342801237,True
humaneval,dynamic_core,1,16,O3_one_sample_epsilon,fixed64,[64],15.194578886032104,17,16_32,"[16,32]",22.16739583015442,17,-45.89016251402798,True
humaneval,dynamic_core,5,16,O0_latency_only,fixed32,[32],21.90788769721985,18,16_32,"[16,32]",20.53912353515625,18,6.24781439899976,True
humaneval,dynamic_core,5,16,O1_dataset_score_preserving,fixed64,[64],24.39492440223694,19,NONE,[],,,,True
humaneval,dynamic_core,5,16,O2_per_request_safe,fixed64,[64],24.39492440223694,19,NONE,[],,,,True
humaneval,dynamic_core,5,16,O3_one_sample_epsilon,fixed64,[64],24.39492440223694,19,16_32,"[16,32]",20.53912353515625,18,15.805750423752588,True
humaneval,dynamic_core_reversed,2,16,O0_latency_only,fixed64,[64],15.684846639633179,17,64_32,"[64,32]",23.55337119102478,18,-50.166410499093175,True
humaneval,dynamic_core_reversed,2,16,O1_dataset_score_preserving,fixed64,[64],15.684846639633179,17,64_32,"[64,32]",23.55337119102478,18,-50.166410499093175,True
humaneval,dynamic_core_reversed,2,16,O2_per_request_safe,fixed64,[64],15.684846639633179,17,64_32,"[64,32]",23.55337119102478,18,-50.166410499093175,True
humaneval,dynamic_core_reversed,2,16,O3_one_sample_epsilon,fixed64,[64],15.684846639633179,17,64_32,"[64,32]",23.55337119102478,18,-50.166410499093175,True
humaneval,dynamic_wide,1,8,O0_latency_only,fixed64,[64],21.928520679473877,18,128_64,"[128,64]",26.333266496658325,17,-20.086835229644546,True
humaneval,dynamic_wide,1,8,O1_dataset_score_preserving,fixed64,[64],21.928520679473877,18,64_32,"[64,32]",27.08838391304016,18,-23.530375390968157,True
humaneval,dynamic_wide,1,8,O2_per_request_safe,fixed64,[64],21.928520679473877,18,64_32,"[64,32]",27.08838391304016,18,-23.530375390968157,True
humaneval,dynamic_wide,1,8,O3_one_sample_epsilon,fixed64,[64],21.928520679473877,18,128_64,"[128,64]",26.333266496658325,17,-20.086835229644546,True
humaneval,dynamic_wide,7,8,O0_latency_only,fixed128,[128],10.876491785049438,7,32_128_64,"[32,128,64]",19.131335973739624,7,-75.89620211948392,True
humaneval,dynamic_wide,7,8,O1_dataset_score_preserving,fixed128,[128],10.876491785049438,7,32_128_64,"[32,128,64]",19.131335973739624,7,-75.89620211948392,True
humaneval,dynamic_wide,7,8,O2_per_request_safe,fixed128,[128],10.876491785049438,7,NONE,[],,,,True
humaneval,dynamic_wide,7,8,O3_one_sample_epsilon,fixed128,[128],10.876491785049438,7,32_128_64,"[32,128,64]",19.131335973739624,7,-75.89620211948392,True
humaneval,exhaustive_128,9,8,O0_latency_only,128,[128],7.575987100601196,3,32_32_16_32_16,"[32,32,16,32,16]",11.447385787963867,3,-51.10091445450659,True
humaneval,exhaustive_128,9,8,O1_dataset_score_preserving,128,[128],7.575987100601196,3,32_32_16_32_16,"[32,32,16,32,16]",11.447385787963867,3,-51.10091445450659,True
humaneval,exhaustive_128,9,8,O2_per_request_safe,128,[128],7.575987100601196,3,32_32_16_32_16,"[32,32,16,32,16]",11.447385787963867,3,-51.10091445450659,True
humaneval,exhaustive_128,9,8,O3_one_sample_epsilon,128,[128],7.575987100601196,3,32_32_16_32_16,"[32,32,16,32,16]",11.447385787963867,3,-51.10091445450659,True
humaneval,long_16_control,8,8,O0_latency_only,fixed32,[32],10.524931907653809,6,32_16,"[32,16]",19.739760875701904,6,-87.55238560115532,True
humaneval,long_16_control,8,8,O1_dataset_score_preserving,fixed16,[16],11.819125890731812,7,NONE,[],,,,True
humaneval,long_16_control,8,8,O2_per_request_safe,fixed16,[16],11.819125890731812,7,NONE,[],,,,True
humaneval,long_16_control,8,8,O3_one_sample_epsilon,fixed16,[16],11.819125890731812,7,32_16,"[32,16]",19.739760875701904,6,-67.01540416945052,True
humaneval,request_tournament,6,1,O0_latency_only,fixed32,[32],36.176488637924194,3,64_128,"[64,128]",35.968385219573975,3,0.5752449344463539,True
humaneval,request_tournament,6,1,O1_dataset_score_preserving,fixed32,[32],36.176488637924194,3,64_128,"[64,128]",35.968385219573975,3,0.5752449344463539,True
humaneval,request_tournament,6,1,O2_per_request_safe,fixed32,[32],36.176488637924194,3,64_128,"[64,128]",35.968385219573975,3,0.5752449344463539,True
humaneval,request_tournament,6,1,O3_one_sample_epsilon,fixed32,[32],36.176488637924194,3,64_128,"[64,128]",35.968385219573975,3,0.5752449344463539,True
