dataset,wave,pair,samples,rank_critical_serial_median_ms,rank_critical_concurrent_median_ms,real_saving_median_ms,real_saving_p10_ms,real_saving_p90_ms,eta_median,compute_slowdown_median,min_compute_cosine,max_compute_rel_l2
humaneval,0,combine__attention,30,0.8484319895505905,0.7947520017623901,0.054048024117946625,0.002732808887958529,0.1076575964689255,0.13836777657009586,1.0135347794070269,0.9999999403953552,0.0
humaneval,0,combine__shared,30,0.3728960007429123,0.2890080064535141,0.087567999958992,0.03259839117527008,0.10995841473340989,0.34558282490521003,0.9832705152665799,0.9999998807907104,0.0
humaneval,0,dispatch__attention,30,0.7890400066971779,0.859472006559372,-0.07492801547050476,-0.1311904013156891,-0.014134399592876427,-0.4687589286945417,0.9926790761745958,0.9999999403953552,0.0
humaneval,0,dispatch__shared,30,0.31273600459098816,0.36772799491882324,-0.058256007730960846,-0.1403231918811798,-0.0011007845401763809,-0.40664068187864866,0.9764231205774623,0.9999998807907104,0.0
humaneval,0,dispatch_next__expert_current,30,0.9928160011768341,0.9686239957809448,0.025376014411449432,0.0066240087151527415,0.054118387401103994,0.19648608812777582,1.0,0.9999998807907104,0.0
humaneval,0,dispatch_next__expert_current__combine_previous,30,1.1405600011348724,1.0216479897499084,0.11494402587413788,0.09206717908382415,0.13896005153656008,0.5207304013295067,1.0,0.9999998807907104,0.0
humaneval,0,expert_current__combine_previous,30,0.9601759985089302,0.9120640158653259,0.04548799619078636,0.023036796599626545,0.06660798341035842,0.49207895088358566,1.0,0.9999998807907104,0.0
humaneval,0,remote_dispatch__local_expert,30,0.94422397762537,0.9819200038909912,-0.03419199585914612,-0.06811521798372269,0.012627193331718444,-0.21016307151241126,1.0136483326835775,0.9999998807907104,0.0
humaneval,40,combine__attention,30,0.8395519852638245,0.779807984828949,0.05748799443244934,0.007244755327701572,0.0940320208668709,0.0942662026136365,1.015191521828997,1.0,0.0
humaneval,40,combine__shared,30,0.37270400673151016,0.2789279967546463,0.09915200620889664,0.05962879434227944,0.14155520349740983,0.27242275045716946,0.9933266021474594,1.0,0.0
humaneval,40,dispatch__attention,30,0.7786239981651306,0.8408960103988647,-0.06057599186897278,-0.10939840972423553,-0.01701441556215286,-0.3541332552898224,0.9903265434436912,1.0,0.0
humaneval,40,dispatch__shared,30,0.30209600180387497,0.3529440015554428,-0.04038400948047638,-0.11225280314683915,-0.0014208003878593235,-0.27381260085889625,0.988838748956387,1.0,0.0
humaneval,40,dispatch_next__expert_current,30,1.0726080015301704,1.0471999645233154,0.02500799298286438,0.0136192262172699,0.058883185684680955,0.21285854807286933,1.0,1.0,0.0
humaneval,40,dispatch_next__expert_current__combine_previous,30,1.2227839976549149,1.0964800119400024,0.12648002058267593,0.10324161648750305,0.1520831733942032,0.5255511325491944,1.0,1.0,0.0
humaneval,40,expert_current__combine_previous,30,1.0400319918990135,0.9947200119495392,0.04787199944257736,0.02683838084340096,0.06941760778427124,0.4895893462323928,1.0,1.0,0.0
humaneval,40,remote_dispatch__local_expert,30,0.9894080087542534,1.0078719854354858,-0.020063966512680054,-0.04796798080205917,0.01796804070472718,-0.14726366921832207,1.0071028643322955,1.0,0.0
humaneval,80,combine__attention,30,1.2026720270514488,1.2502560019493103,-0.04248005151748657,-0.08203511089086532,0.0025407984852790872,0.2379510533124182,1.0114232567144177,1.0,0.0
humaneval,80,combine__shared,30,0.6277760118246078,0.4803199917078018,0.14630401134490967,0.11319680511951447,0.17544959336519242,-0.009454353107579395,0.988995225708416,0.9999998807907104,0.0
humaneval,80,dispatch__attention,30,1.2491040229797363,1.3852319717407227,-0.1295199915766716,-0.1708160623908043,-0.08145914971828457,-0.41620721112901915,1.003600111911466,1.0,0.0
humaneval,80,dispatch__shared,30,0.48264000564813614,0.6181280016899109,-0.13236800581216812,-0.1616512209177017,-0.11124801933765412,-0.5680851690737991,1.0232736599482295,0.9999998807907104,0.0
humaneval,80,dispatch_next__expert_current,30,0.9348000064492226,0.8999840021133423,0.040128014981746674,-0.0070047989487648,0.06806718409061432,0.20062120548627194,1.0,0.9999999403953552,0.0
humaneval,80,dispatch_next__expert_current__combine_previous,30,1.2010239735245705,1.0125280022621155,0.18558397144079208,0.15332479476928712,0.24405125081539156,0.6062442477006018,1.0,0.9999999403953552,0.0
humaneval,80,expert_current__combine_previous,30,0.8972800076007843,0.8293759822845459,0.06950397789478302,0.042758417129516606,0.1017696261405945,0.6716323337996821,1.0,0.9999999403953552,0.0
humaneval,80,remote_dispatch__local_expert,30,1.1473120003938675,1.2394399642944336,-0.0918559730052948,-0.11783679872751235,-0.06092799752950666,-0.37887552260283597,1.0052413517380787,0.9999998807907104,0.0
