backend,active_positions,batch_size,local_m,restarts,dispatch_ms,dispatch_restart_cv_pct,expert_ms,expert_restart_cv_pct,combine_ms,combine_restart_cv_pct,moe_ms,moe_restart_cv_pct,dispatch_fraction,expert_fraction,combine_fraction
naive,48,2,96,3,0.26631999015808105,1.8355669411483317,0.5277439951896667,0.41100211664721564,0.04529600031673908,17.79396984021925,0.9982880055904388,0.28690134242871257,0.2667767103948782,0.5286490393897219,0.04537367980290287
naive,48,4,192,3,0.2632320076227188,0.7401091924922732,0.5464000105857849,0.4531957936404323,0.041120000183582306,13.898756905869558,1.0066239833831787,0.3772052600114996,0.2614998370474128,0.5428044827119858,0.04084941434176984
naive,64,1,64,3,0.2595359981060028,0.9660153535506582,0.4684000015258789,0.37386692197616456,0.09727999940514565,3.571584372921898,0.9819839894771576,0.8974986067600619,0.2642975862001465,0.4769935218345783,0.09906475100163384
naive,64,2,128,3,0.263248011469841,7.87649925446055,0.5266240239143372,0.7383679652080322,0.04422399960458279,38.986651734288216,0.9956800043582916,2.4364635637114707,0.26439017587734165,0.528908908092156,0.044415875995305165
naive,64,4,256,3,0.2672639936208725,5.952961605625089,0.5742560029029846,0.5396886548844204,0.07649599760770798,16.477452359380223,1.0536960363388062,1.4789648193622247,0.2536443000673263,0.5449920879443623,0.0725977843415854
naive,96,1,96,3,0.26449599862098694,0.9565401647599692,0.5296799838542938,0.2884917946702407,0.048928000032901764,15.585021497919374,0.9934560060501099,0.5875109719630733,0.26623826018486596,0.5331690388185915,0.049250293656621
naive,96,2,192,3,0.26684799790382385,1.5045730953220935,0.5469760000705719,0.054123897490776084,0.04689599946141243,7.522193343499279,1.0107040405273438,0.7148401696891566,0.26402189682015476,0.5411831536610682,0.04639933905571806
naive,128,1,128,3,0.2598399966955185,1.6417702918045594,0.5225600004196167,0.6660177883696229,0.04001599922776222,12.251354961272703,0.9886719882488251,0.20405030132791738,0.26281719294561723,0.5285473914813705,0.04047449478025583
naive,128,2,256,3,0.260127991437912,1.0976232300945168,0.568479984998703,0.5706433889569755,0.06180800125002861,14.34123647064443,1.0526080131530762,0.35192340346985074,0.24712712442564572,0.5400680765253033,0.05871891575752249
naive,256,1,256,3,0.2619840055704117,1.3243060690180206,0.572735995054245,0.0952776698611698,0.06566400080919266,6.87408096462328,1.053983986377716,0.7447804311554308,0.24856545161638208,0.5434010406767164,0.06230075756166248
