index, timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%]
1, 2026/09/06 18:37:16.815, 30, 1980 MHz, 119.42 W, 1 %
2, 2026/09/06 18:37:16.815, 30, 1980 MHz, 116.37 W, 2 %
3, 2026/09/06 18:37:16.815, 32, 1980 MHz, 119.73 W, 2 %
4, 2026/09/06 18:37:16.815, 35, 1980 MHz, 118.74 W, 2 %
5, 2026/09/06 18:37:16.815, 33, 1980 MHz, 122.54 W, 11 %
6, 2026/09/06 18:37:16.815, 34, 1980 MHz, 123.65 W, 16 %
7, 2026/09/06 18:37:16.815, 29, 345 MHz, 71.14 W, 0 %
0, 2026/09/06 18:37:21.816, 35, 1980 MHz, 131.55 W, 17 %
1, 2026/09/06 18:37:21.816, 30, 1980 MHz, 119.56 W, 2 %
2, 2026/09/06 18:37:21.816, 30, 1980 MHz, 116.43 W, 2 %
3, 2026/09/06 18:37:21.816, 33, 1980 MHz, 119.90 W, 1 %
4, 2026/09/06 18:37:21.816, 36, 1980 MHz, 118.79 W, 2 %
5, 2026/09/06 18:37:21.816, 33, 1980 MHz, 122.49 W, 19 %
6, 2026/09/06 18:37:21.816, 34, 1980 MHz, 124.34 W, 18 %
7, 2026/09/06 18:37:21.816, 29, 345 MHz, 71.15 W, 0 %
0, 2026/09/06 18:37:26.816, 35, 1980 MHz, 131.02 W, 17 %
1, 2026/09/06 18:37:26.816, 31, 1980 MHz, 119.63 W, 1 %
2, 2026/09/06 18:37:26.816, 30, 1980 MHz, 116.47 W, 1 %
3, 2026/09/06 18:37:26.816, 33, 1980 MHz, 119.49 W, 1 %
4, 2026/09/06 18:37:26.816, 36, 1980 MHz, 118.92 W, 1 %
5, 2026/09/06 18:37:26.816, 33, 1980 MHz, 123.07 W, 18 %
6, 2026/09/06 18:37:26.816, 34, 1980 MHz, 124.02 W, 17 %
7, 2026/09/06 18:37:26.816, 29, 345 MHz, 71.13 W, 0 %
0, 2026/09/06 18:37:31.817, 35, 1980 MHz, 133.61 W, 23 %
1, 2026/09/06 18:37:31.817, 31, 1980 MHz, 119.71 W, 2 %
2, 2026/09/06 18:37:31.817, 30, 1980 MHz, 116.41 W, 2 %
3, 2026/09/06 18:37:31.817, 33, 1980 MHz, 119.68 W, 2 %
4, 2026/09/06 18:37:31.817, 36, 1980 MHz, 119.08 W, 2 %
5, 2026/09/06 18:37:31.817, 33, 1980 MHz, 124.52 W, 23 %
6, 2026/09/06 18:37:31.817, 34, 1980 MHz, 125.69 W, 24 %
7, 2026/09/06 18:37:31.817, 29, 345 MHz, 71.14 W, 0 %
0, 2026/09/06 18:37:36.818, 35, 1980 MHz, 134.75 W, 23 %
1, 2026/09/06 18:37:36.818, 31, 1980 MHz, 119.74 W, 2 %
2, 2026/09/06 18:37:36.818, 31, 1980 MHz, 116.59 W, 6 %
3, 2026/09/06 18:37:36.818, 33, 1980 MHz, 119.64 W, 1 %
4, 2026/09/06 18:37:36.818, 36, 1980 MHz, 119.12 W, 2 %
5, 2026/09/06 18:37:36.818, 33, 1980 MHz, 124.89 W, 23 %
6, 2026/09/06 18:37:36.818, 34, 1980 MHz, 124.97 W, 23 %
7, 2026/09/06 18:37:36.818, 29, 345 MHz, 71.16 W, 0 %
0, 2026/09/06 18:37:41.818, 35, 1980 MHz, 135.21 W, 23 %
1, 2026/09/06 18:37:41.818, 32, 1980 MHz, 139.83 W, 38 %
2, 2026/09/06 18:37:41.819, 32, 1980 MHz, 127.46 W, 23 %
3, 2026/09/06 18:37:41.819, 34, 1980 MHz, 129.09 W, 17 %
4, 2026/09/06 18:37:41.819, 37, 1980 MHz, 129.09 W, 17 %
5, 2026/09/06 18:37:41.819, 33, 1980 MHz, 124.77 W, 23 %
6, 2026/09/06 18:37:41.819, 34, 1980 MHz, 124.97 W, 24 %
7, 2026/09/06 18:37:41.819, 29, 345 MHz, 71.17 W, 0 %
0, 2026/09/06 18:37:46.819, 35, 1980 MHz, 146.24 W, 29 %
1, 2026/09/06 18:37:46.819, 31, 1980 MHz, 120.00 W, 0 %
2, 2026/09/06 18:37:46.820, 31, 1980 MHz, 116.70 W, 0 %
3, 2026/09/06 18:37:46.820, 33, 1980 MHz, 119.99 W, 0 %
4, 2026/09/06 18:37:46.820, 36, 1980 MHz, 119.36 W, 0 %
5, 2026/09/06 18:37:46.820, 33, 1980 MHz, 124.71 W, 23 %
6, 2026/09/06 18:37:46.820, 34, 1980 MHz, 125.29 W, 23 %
7, 2026/09/06 18:37:46.820, 29, 345 MHz, 71.19 W, 0 %
0, 2026/09/06 18:37:51.820, 35, 1980 MHz, 133.54 W, 22 %
1, 2026/09/06 18:37:51.820, 32, 1980 MHz, 153.17 W, 13 %
2, 2026/09/06 18:37:51.820, 32, 1980 MHz, 148.41 W, 12 %
3, 2026/09/06 18:37:51.820, 35, 1980 MHz, 151.40 W, 20 %
4, 2026/09/06 18:37:51.820, 37, 1980 MHz, 150.76 W, 10 %
5, 2026/09/06 18:37:51.821, 33, 1980 MHz, 125.02 W, 23 %
6, 2026/09/06 18:37:51.821, 34, 1980 MHz, 125.40 W, 23 %
7, 2026/09/06 18:37:51.821, 29, 345 MHz, 71.19 W, 0 %
0, 2026/09/06 18:37:56.821, 35, 1980 MHz, 133.55 W, 22 %
1, 2026/09/06 18:37:56.821, 33, 1980 MHz, 153.51 W, 8 %
2, 2026/09/06 18:37:56.821, 32, 1980 MHz, 148.63 W, 8 %
3, 2026/09/06 18:37:56.821, 35, 1980 MHz, 151.66 W, 9 %
4, 2026/09/06 18:37:56.821, 38, 1980 MHz, 151.04 W, 11 %
5, 2026/09/06 18:37:56.822, 33, 1980 MHz, 125.06 W, 20 %
6, 2026/09/06 18:37:56.822, 34, 1980 MHz, 125.18 W, 23 %
7, 2026/09/06 18:37:56.822, 29, 345 MHz, 71.20 W, 0 %
0, 2026/09/06 18:38:01.822, 35, 1980 MHz, 133.49 W, 22 %
1, 2026/09/06 18:38:01.822, 33, 1980 MHz, 154.31 W, 8 %
2, 2026/09/06 18:38:01.822, 32, 1980 MHz, 148.51 W, 25 %
3, 2026/09/06 18:38:01.822, 35, 1980 MHz, 151.78 W, 10 %
4, 2026/09/06 18:38:01.822, 38, 1980 MHz, 151.18 W, 26 %
5, 2026/09/06 18:38:01.822, 33, 1980 MHz, 124.33 W, 24 %
6, 2026/09/06 18:38:01.822, 34, 1980 MHz, 125.41 W, 21 %
7, 2026/09/06 18:38:01.823, 32, 1980 MHz, 191.66 W, 12 %
0, 2026/09/06 18:38:06.823, 35, 1980 MHz, 133.68 W, 22 %
1, 2026/09/06 18:38:06.823, 33, 1980 MHz, 154.70 W, 8 %
2, 2026/09/06 18:38:06.823, 33, 1980 MHz, 150.35 W, 26 %
3, 2026/09/06 18:38:06.823, 35, 1980 MHz, 152.84 W, 9 %
4, 2026/09/06 18:38:06.823, 38, 1980 MHz, 152.58 W, 26 %
5, 2026/09/06 18:38:06.823, 33, 1980 MHz, 125.89 W, 24 %
6, 2026/09/06 18:38:06.823, 34, 1980 MHz, 126.68 W, 21 %
7, 2026/09/06 18:38:06.823, 32, 1980 MHz, 186.50 W, 10 %
0, 2026/09/06 18:38:11.824, 35, 1980 MHz, 134.03 W, 22 %
1, 2026/09/06 18:38:11.824, 33, 1980 MHz, 160.42 W, 11 %
2, 2026/09/06 18:38:11.824, 33, 1980 MHz, 155.46 W, 11 %
3, 2026/09/06 18:38:11.824, 36, 1980 MHz, 159.49 W, 12 %
4, 2026/09/06 18:38:11.824, 38, 1980 MHz, 155.98 W, 13 %
5, 2026/09/06 18:38:11.824, 33, 1980 MHz, 124.56 W, 23 %
6, 2026/09/06 18:38:11.824, 34, 1980 MHz, 125.95 W, 23 %
7, 2026/09/06 18:38:11.824, 33, 1980 MHz, 185.28 W, 24 %
0, 2026/09/06 18:38:16.825, 36, 1980 MHz, 134.68 W, 22 %
1, 2026/09/06 18:38:16.825, 33, 1980 MHz, 140.60 W, 20 %
2, 2026/09/06 18:38:16.825, 32, 1980 MHz, 135.41 W, 10 %
3, 2026/09/06 18:38:16.825, 35, 1980 MHz, 138.87 W, 10 %
4, 2026/09/06 18:38:16.825, 38, 1980 MHz, 138.69 W, 13 %
5, 2026/09/06 18:38:16.825, 33, 1980 MHz, 122.71 W, 23 %
6, 2026/09/06 18:38:16.825, 34, 1980 MHz, 126.09 W, 23 %
7, 2026/09/06 18:38:16.825, 32, 1980 MHz, 143.96 W, 0 %
0, 2026/09/06 18:38:21.826, 36, 1980 MHz, 133.31 W, 22 %
1, 2026/09/06 18:38:21.826, 33, 1980 MHz, 153.63 W, 8 %
2, 2026/09/06 18:38:21.826, 33, 1980 MHz, 148.83 W, 10 %
3, 2026/09/06 18:38:21.826, 36, 1980 MHz, 152.22 W, 12 %
4, 2026/09/06 18:38:21.826, 38, 1980 MHz, 151.52 W, 12 %
5, 2026/09/06 18:38:21.826, 33, 1980 MHz, 125.55 W, 24 %
6, 2026/09/06 18:38:21.826, 34, 1980 MHz, 125.38 W, 24 %
7, 2026/09/06 18:38:21.826, 32, 1980 MHz, 135.30 W, 13 %
0, 2026/09/06 18:38:26.827, 36, 1980 MHz, 133.41 W, 22 %
1, 2026/09/06 18:38:26.827, 33, 1980 MHz, 153.82 W, 8 %
2, 2026/09/06 18:38:26.827, 33, 1980 MHz, 148.73 W, 8 %
3, 2026/09/06 18:38:26.827, 36, 1980 MHz, 152.22 W, 11 %
4, 2026/09/06 18:38:26.827, 38, 1980 MHz, 151.34 W, 10 %
5, 2026/09/06 18:38:26.827, 33, 1980 MHz, 125.08 W, 24 %
6, 2026/09/06 18:38:26.827, 34, 1980 MHz, 126.64 W, 24 %
7, 2026/09/06 18:38:26.827, 32, 1980 MHz, 129.21 W, 14 %
0, 2026/09/06 18:38:31.828, 36, 1980 MHz, 134.12 W, 22 %
1, 2026/09/06 18:38:33.270, 32, 1980 MHz, 120.50 W, 0 %
2, 2026/09/06 18:38:33.270, 32, 1980 MHz, 119.47 W, 100 %
3, 2026/09/06 18:38:33.270, 35, 1980 MHz, 122.87 W, 100 %
4, 2026/09/06 18:38:33.270, 37, 1980 MHz, 120.05 W, 0 %
5, 2026/09/06 18:38:33.271, 33, 1980 MHz, 116.46 W, 0 %
6, 2026/09/06 18:38:33.271, 34, 1980 MHz, 117.74 W, 0 %
7, 2026/09/06 18:38:33.271, 32, 1980 MHz, 119.38 W, 0 %
0, 2026/09/06 18:38:38.271, 36, 1980 MHz, 131.79 W, 19 %
1, 2026/09/06 18:38:38.271, 33, 1980 MHz, 157.28 W, 33 %
2, 2026/09/06 18:38:38.271, 33, 1980 MHz, 152.36 W, 36 %
3, 2026/09/06 18:38:38.271, 36, 1980 MHz, 155.88 W, 5 %
4, 2026/09/06 18:38:38.271, 38, 1980 MHz, 156.63 W, 41 %
5, 2026/09/06 18:38:38.271, 33, 1980 MHz, 123.57 W, 20 %
6, 2026/09/06 18:38:38.271, 34, 1980 MHz, 125.26 W, 20 %
7, 2026/09/06 18:38:38.271, 32, 1980 MHz, 126.90 W, 12 %
0, 2026/09/06 18:38:43.272, 36, 1980 MHz, 131.85 W, 19 %
1, 2026/09/06 18:38:43.272, 33, 1980 MHz, 152.50 W, 46 %
2, 2026/09/06 18:38:43.272, 33, 1980 MHz, 148.12 W, 25 %
3, 2026/09/06 18:38:43.272, 36, 1980 MHz, 151.92 W, 55 %
4, 2026/09/06 18:38:43.272, 38, 1980 MHz, 150.95 W, 14 %
5, 2026/09/06 18:38:43.272, 33, 1980 MHz, 123.08 W, 21 %
6, 2026/09/06 18:38:43.272, 35, 1980 MHz, 123.93 W, 20 %
7, 2026/09/06 18:38:43.272, 32, 1980 MHz, 127.13 W, 12 %
0, 2026/09/06 18:38:48.272, 36, 1980 MHz, 130.64 W, 19 %
1, 2026/09/06 18:38:48.272, 33, 1980 MHz, 153.74 W, 17 %
2, 2026/09/06 18:38:48.272, 33, 1980 MHz, 148.90 W, 8 %
3, 2026/09/06 18:38:48.272, 36, 1980 MHz, 152.42 W, 14 %
4, 2026/09/06 18:38:48.272, 38, 1980 MHz, 151.46 W, 12 %
5, 2026/09/06 18:38:48.272, 33, 1980 MHz, 126.15 W, 20 %
6, 2026/09/06 18:38:48.272, 35, 1980 MHz, 124.62 W, 20 %
7, 2026/09/06 18:38:48.272, 32, 1980 MHz, 127.33 W, 12 %
0, 2026/09/06 18:38:53.273, 36, 1980 MHz, 130.75 W, 19 %
1, 2026/09/06 18:38:53.273, 33, 1980 MHz, 154.31 W, 30 %
2, 2026/09/06 18:38:53.273, 33, 1980 MHz, 149.08 W, 19 %
3, 2026/09/06 18:38:53.273, 36, 1980 MHz, 152.63 W, 28 %
4, 2026/09/06 18:38:53.273, 38, 1980 MHz, 151.41 W, 40 %
5, 2026/09/06 18:38:53.273, 33, 1980 MHz, 120.62 W, 0 %
6, 2026/09/06 18:38:53.273, 35, 1980 MHz, 126.46 W, 19 %
7, 2026/09/06 18:38:53.273, 32, 1980 MHz, 127.85 W, 12 %
0, 2026/09/06 18:38:58.273, 36, 1980 MHz, 132.79 W, 15 %
1, 2026/09/06 18:38:58.273, 33, 1980 MHz, 152.71 W, 24 %
2, 2026/09/06 18:38:58.273, 33, 1980 MHz, 148.59 W, 61 %
3, 2026/09/06 18:38:58.273, 36, 1980 MHz, 152.23 W, 50 %
4, 2026/09/06 18:38:58.273, 38, 1980 MHz, 151.28 W, 40 %
5, 2026/09/06 18:38:58.273, 32, 345 MHz, 70.00 W, 0 %
6, 2026/09/06 18:38:58.273, 35, 1980 MHz, 125.69 W, 20 %
7, 2026/09/06 18:38:58.273, 32, 1980 MHz, 127.90 W, 12 %
0, 2026/09/06 18:39:03.274, 36, 1980 MHz, 129.01 W, 18 %
1, 2026/09/06 18:39:03.274, 32, 1980 MHz, 122.76 W, 100 %
2, 2026/09/06 18:39:03.274, 32, 1980 MHz, 120.93 W, 39 %
3, 2026/09/06 18:39:03.274, 36, 1980 MHz, 124.83 W, 97 %
4, 2026/09/06 18:39:03.274, 38, 1980 MHz, 121.87 W, 0 %
5, 2026/09/06 18:39:03.274, 31, 345 MHz, 69.92 W, 0 %
6, 2026/09/06 18:39:03.274, 35, 1980 MHz, 125.19 W, 20 %
7, 2026/09/06 18:39:03.274, 32, 1980 MHz, 127.96 W, 12 %
0, 2026/09/06 18:39:08.274, 36, 1980 MHz, 132.29 W, 19 %
1, 2026/09/06 18:39:08.274, 33, 1980 MHz, 153.55 W, 32 %
2, 2026/09/06 18:39:08.274, 33, 1980 MHz, 148.52 W, 30 %
3, 2026/09/06 18:39:08.274, 37, 1980 MHz, 152.29 W, 5 %
4, 2026/09/06 18:39:08.274, 38, 1980 MHz, 151.51 W, 49 %
5, 2026/09/06 18:39:08.274, 31, 345 MHz, 69.96 W, 0 %
6, 2026/09/06 18:39:08.274, 35, 1980 MHz, 124.66 W, 20 %
7, 2026/09/06 18:39:08.274, 32, 1980 MHz, 129.08 W, 9 %
0, 2026/09/06 18:39:13.275, 36, 1980 MHz, 132.80 W, 19 %
1, 2026/09/06 18:39:13.275, 33, 1980 MHz, 151.63 W, 53 %
2, 2026/09/06 18:39:13.275, 33, 1980 MHz, 147.73 W, 46 %
3, 2026/09/06 18:39:13.275, 37, 1980 MHz, 151.56 W, 87 %
4, 2026/09/06 18:39:13.275, 38, 1980 MHz, 150.98 W, 50 %
5, 2026/09/06 18:39:13.275, 31, 345 MHz, 69.87 W, 0 %
6, 2026/09/06 18:39:13.275, 35, 1980 MHz, 124.78 W, 20 %
7, 2026/09/06 18:39:13.275, 32, 1980 MHz, 128.15 W, 15 %
0, 2026/09/06 18:39:18.275, 36, 1980 MHz, 131.93 W, 19 %
1, 2026/09/06 18:39:18.275, 33, 1980 MHz, 150.45 W, 65 %
2, 2026/09/06 18:39:18.275, 33, 1980 MHz, 147.90 W, 49 %
3, 2026/09/06 18:39:18.275, 37, 1980 MHz, 151.70 W, 21 %
4, 2026/09/06 18:39:18.275, 38, 1980 MHz, 150.66 W, 40 %
5, 2026/09/06 18:39:18.275, 31, 345 MHz, 69.84 W, 0 %
6, 2026/09/06 18:39:18.275, 35, 1980 MHz, 123.51 W, 20 %
7, 2026/09/06 18:39:18.275, 32, 1980 MHz, 126.27 W, 11 %
0, 2026/09/06 18:39:23.276, 36, 1980 MHz, 133.85 W, 19 %
1, 2026/09/06 18:39:23.276, 32, 1980 MHz, 122.94 W, 0 %
2, 2026/09/06 18:39:23.276, 32, 1980 MHz, 120.69 W, 6 %
3, 2026/09/06 18:39:23.276, 36, 1980 MHz, 122.84 W, 1 %
4, 2026/09/06 18:39:23.276, 37, 1980 MHz, 121.73 W, 0 %
5, 2026/09/06 18:39:23.276, 31, 345 MHz, 69.74 W, 0 %
6, 2026/09/06 18:39:23.276, 35, 1980 MHz, 124.63 W, 20 %
7, 2026/09/06 18:39:23.276, 32, 1980 MHz, 126.55 W, 10 %
0, 2026/09/06 18:39:28.276, 36, 1980 MHz, 136.21 W, 24 %
1, 2026/09/06 18:39:28.276, 31, 345 MHz, 73.17 W, 0 %
2, 2026/09/06 18:39:28.276, 30, 345 MHz, 70.95 W, 0 %
3, 2026/09/06 18:39:28.277, 34, 345 MHz, 71.56 W, 0 %
4, 2026/09/06 18:39:28.277, 36, 345 MHz, 72.34 W, 0 %
5, 2026/09/06 18:39:28.277, 30, 345 MHz, 69.84 W, 0 %
6, 2026/09/06 18:39:28.277, 35, 1980 MHz, 126.94 W, 24 %
7, 2026/09/06 18:39:28.277, 32, 1980 MHz, 129.04 W, 14 %
0, 2026/09/06 18:39:33.277, 36, 1980 MHz, 135.07 W, 22 %
1, 2026/09/06 18:39:33.278, 30, 345 MHz, 73.03 W, 0 %
2, 2026/09/06 18:39:33.278, 30, 345 MHz, 70.86 W, 0 %
3, 2026/09/06 18:39:33.278, 34, 345 MHz, 71.42 W, 0 %
4, 2026/09/06 18:39:33.278, 35, 345 MHz, 72.30 W, 0 %
5, 2026/09/06 18:39:33.278, 30, 345 MHz, 69.74 W, 0 %
6, 2026/09/06 18:39:33.278, 35, 1980 MHz, 126.93 W, 24 %
7, 2026/09/06 18:39:33.278, 32, 1980 MHz, 129.05 W, 14 %
0, 2026/09/06 18:39:38.278, 36, 1980 MHz, 133.45 W, 22 %
1, 2026/09/06 18:39:38.279, 30, 345 MHz, 72.98 W, 0 %
2, 2026/09/06 18:39:38.279, 30, 345 MHz, 70.76 W, 0 %
3, 2026/09/06 18:39:38.279, 33, 345 MHz, 71.38 W, 0 %
4, 2026/09/06 18:39:38.279, 35, 345 MHz, 72.09 W, 0 %
5, 2026/09/06 18:39:38.279, 30, 345 MHz, 69.75 W, 0 %
6, 2026/09/06 18:39:38.279, 35, 1980 MHz, 126.05 W, 0 %
7, 2026/09/06 18:39:38.279, 32, 1980 MHz, 129.16 W, 15 %
0, 2026/09/06 18:39:43.279, 36, 1980 MHz, 131.22 W, 17 %
1, 2026/09/06 18:39:43.279, 30, 345 MHz, 72.84 W, 0 %
2, 2026/09/06 18:39:43.279, 29, 345 MHz, 70.73 W, 0 %
3, 2026/09/06 18:39:43.279, 33, 345 MHz, 71.21 W, 0 %
4, 2026/09/06 18:39:43.279, 35, 345 MHz, 72.01 W, 0 %
5, 2026/09/06 18:39:43.279, 30, 345 MHz, 69.65 W, 0 %
6, 2026/09/06 18:39:43.279, 33, 345 MHz, 69.55 W, 0 %
7, 2026/09/06 18:39:43.279, 32, 1980 MHz, 127.20 W, 12 %
0, 2026/09/06 18:39:48.280, 36, 1980 MHz, 131.85 W, 18 %
1, 2026/09/06 18:39:48.280, 30, 345 MHz, 72.81 W, 0 %
2, 2026/09/06 18:39:48.280, 29, 345 MHz, 70.68 W, 0 %
3, 2026/09/06 18:39:48.280, 33, 345 MHz, 71.12 W, 0 %
4, 2026/09/06 18:39:48.280, 35, 345 MHz, 71.86 W, 0 %
5, 2026/09/06 18:39:48.280, 30, 345 MHz, 69.67 W, 0 %
6, 2026/09/06 18:39:48.280, 33, 345 MHz, 69.49 W, 0 %
7, 2026/09/06 18:39:48.280, 32, 1980 MHz, 127.93 W, 12 %
