trace,phase,M,n,tmoe_p50_ms,tmoe_p90_ms,tmoe_p99_ms,dispatch_p50_ms,expert_p50_ms,combine_p50_ms,wait_p50_ms,active_p50,rank_cv_p50,expert_cv_p50
live_mixed_c2,prefill,137,576,1.6360160112380981,1.9864799976348877,2.04145610332489,0.4286720007658005,0.6444959938526154,0.06616000086069107,0.2380799981765449,113.0,0.14437985726169694,0.9002525774875293
live_mixed_c2,prefill,193,576,1.179311990737915,1.9854400157928467,2.5293359756469727,0.14236800372600555,0.5011359751224518,0.047439999878406525,0.03315200004726648,117.0,0.15266301055529624,0.9736651233613471
live_mixed_c2,prefill,284,576,1.1980000138282776,1.9827679991722107,2.0182239413261414,0.16340800374746323,0.4885440021753311,0.04769599996507168,0.03992000035941601,53.0,0.4333901314640042,1.6366618366438475
live_mixed_c4,decode,1,1392,1.2482079863548279,2.850355172157288,7.692802271842954,0.16140799969434738,0.467631995677948,0.04816000163555145,0.021504000294953585,8.0,1.3963554896743493,0.0
live_mixed_c4,prefill,114,144,1.2187359929084778,5.54055027961731,11.642263898849482,0.1801920011639595,0.455375999212265,0.04769599996507168,0.023200000170618296,42.0,0.44191700549986357,1.5570499749525855
live_mixed_c4,prefill,137,528,1.235696017742157,1.973801577091217,4.277712144851696,0.15835199505090714,0.49054400622844696,0.04787199944257736,0.02324800007045269,112.0,0.1392372836272649,0.9084897586891857
live_mixed_c4,prefill,138,48,1.8291680216789246,5.438607978820802,9.840408077239996,0.2608640044927597,0.5029439926147461,0.05011199973523617,0.029184000100940466,112.5,0.14675014228573555,0.9135891095329844
live_mixed_c4,prefill,193,384,1.2934560179710388,2.2776607990264885,7.343355064392101,0.18387199938297272,0.5176960229873657,0.04934399947524071,0.026320000179111958,117.0,0.152100403454258,0.9963017873465039
live_mixed_c4,prefill,284,288,1.2014560103416443,1.493004822731018,7.095824365615834,0.1395839974284172,0.49084798991680145,0.04801600053906441,0.030576000455766916,53.0,0.4538479608700152,1.7070067005199236
live_mixed_c4,prefill,285,48,1.6991199851036072,3.3497663259506227,8.011016273498536,0.12862399965524673,0.5158080160617828,0.0517599992454052,0.46694400534033775,58.0,0.4279240729371998,1.745465940293713
live_mixed_c4,prefill,398,48,1.9883999824523926,5.323881435394287,6.703849062919619,0.402895987033844,0.5917920172214508,0.05587200075387955,0.32835200149565935,60.0,0.41738615922755185,1.7757086458675877
live_mixed_c8,decode,1,3840,1.1505919694900513,1.781929588317871,3.9409078097343486,0.12769600003957748,0.44041600823402405,0.04495999962091446,0.017248000018298626,8.0,1.7320508075688772,0.0
live_mixed_c8,prefill,2,2304,1.1482399702072144,1.3796927928924563,2.8168827915191645,0.12347200140357018,0.43990400433540344,0.04495999962091446,0.01711999997496605,15.0,0.770551750371122,0.0
live_mixed_c8,prefill,114,768,1.154863953590393,1.427475225925446,2.934733371734622,0.1263360008597374,0.4423360079526901,0.04560000076889992,0.01820800034329295,42.0,0.4423849539963069,1.5604037184469077
live_mixed_c8,prefill,137,768,1.1559839844703674,1.348854422569275,2.6988662695884713,0.1297760009765625,0.47336000204086304,0.04566400125622749,0.01823999988846481,112.0,0.1401431340950823,0.9045096022400839
live_mixed_c8,prefill,193,768,1.156976044178009,1.5882047772407533,4.379111738204959,0.1241919994354248,0.492000013589859,0.04520000144839287,0.022943999618291855,117.0,0.15793550154283822,1.0012073572673321
live_mixed_c8,prefill,284,1536,1.1575679779052734,1.2495200037956238,2.043444800376896,0.1271039992570877,0.4789600074291229,0.04585599899291992,0.02652799990028143,52.0,0.43611717159912233,1.693319135127578
live_mixed_c8,prefill,411,768,1.1805439591407776,1.8236543893814092,5.7473454856872594,0.13496000319719315,0.5393279790878296,0.015087999869138002,0.06467200024053454,120.5,0.13085354045253694,0.9167715039254428
live_mixed_c8,prefill,444,768,1.181391954421997,1.298163175582886,1.8017456150054962,0.12964800000190735,0.5532959997653961,0.0033439999679103494,0.07272000005468726,123.0,0.18716914103271,1.0577380553551285
live_mixed_c8,prefill,535,768,1.2320319414138794,1.9589471817016604,4.7625375080108645,0.14007999747991562,0.5843360126018524,0.0031679999083280563,0.10646400041878223,122.0,0.2426156344022869,1.5630855789775608
live_mixed_c8_mbt4096,decode,1,1440,1.9430559873580933,2.357132840156555,2.6748950123786885,0.7243199944496155,0.46380800008773804,0.053647998720407486,0.27519999211654067,8.0,0.6123724356957945,0.0
live_mixed_c8_mbt4096,prefill,2,864,1.8816319704055786,2.3652512788772584,4.180701179504396,0.5865600109100342,0.4782239943742752,0.05486400052905083,0.2756159985437989,12.0,0.6123724356957945,0.0
live_mixed_c8_mbt4096,prefill,114,288,2.1334080696105957,2.870428729057312,3.136278488636015,0.8339360058307648,0.5643680095672607,0.05571199953556061,0.27280001156032085,42.5,0.44541843683435534,1.5751225298842528
live_mixed_c8_mbt4096,prefill,137,288,2.016495943069458,2.93121919631958,3.019889268875122,0.5640479922294617,0.5746240019798279,0.05511999875307083,0.2709759874269366,111.0,0.13916549947844814,0.9200522533473894
live_mixed_c8_mbt4096,prefill,193,288,2.1875839233398438,3.23079686164856,3.7270972514152487,0.6079840064048767,0.5933440029621124,0.056912001222372055,0.2823519944213331,114.0,0.1614241199966257,1.028581015513106
live_mixed_c8_mbt4096,prefill,284,576,2.0815680027008057,3.677824020385742,3.800175964832306,0.6202239990234375,0.5721759796142578,0.05716799944639206,0.2879359917715192,53.0,0.4538479608700152,1.7185856624706088
live_mixed_c8_mbt4096,prefill,411,288,2.3651840686798096,4.266163015365601,4.905514407157896,0.7765440046787262,0.612527996301651,0.05470399931073189,0.29977599112316966,120.5,0.13437178853025866,0.9198990232767652
live_mixed_c8_mbt4096,prefill,444,288,2.291823983192444,4.436025667190552,4.566126794815063,0.8952479958534241,0.6213279962539673,0.04339199885725975,0.29473600210621953,124.0,0.15244977924532627,0.9563879310537151
live_mixed_c8_mbt4096,prefill,535,288,2.7344160079956055,5.030534410476685,6.037435336112975,0.8602400124073029,0.6350559890270233,0.029008000157773495,0.2922080075368285,122.0,0.2426156344022869,1.5630855789775608
live_text_c16,prefill,114,1536,1.2735199928283691,1.9988000392913818,3.2069087982177784,0.20601599663496017,0.4684320092201233,0.05353599973022938,0.04910400090739131,42.0,0.44541843683435534,1.5604037184469077
live_text_c16,prefill,798,1536,1.4338080286979675,2.040336012840271,4.21800971031189,0.21985600143671036,0.6831360161304474,0.02687999978661537,0.2260159980505705,56.0,0.4381744747342131,1.8273687604513356
live_text_c2,prefill,114,1536,1.1737599968910217,1.2713279724121094,2.399987196922309,0.12748799473047256,0.442111998796463,0.045632001012563705,0.019135999958962202,42.0,0.4580656903433661,1.5619393571709026
live_text_c4,prefill,114,1440,1.1679840087890625,1.3531008243560791,5.818356256484976,0.12398399785161018,0.4410559982061386,0.04552000015974045,0.02020800020545721,42.0,0.4580656903433661,1.557520921842141
live_text_c4,prefill,228,48,1.6128639578819275,5.3729664325714115,9.82850732803345,0.19792000204324722,0.5095359981060028,0.054127998650074005,0.04913599928840995,56.0,0.4400865443590003,1.8290078129201643
live_text_c8,prefill,114,1920,1.1621599793434143,1.2949280261993408,2.9053375649452207,0.11214399710297585,0.44489601254463196,0.04566400125622749,0.018976000137627125,42.0,0.4580656903433661,1.557520921842141
live_text_c8,prefill,342,1920,1.1721919775009155,1.2613279461860658,3.7176550364494316,0.12025599926710129,0.49116799235343933,0.04556800052523613,0.026991999708116055,56.0,0.43695721922860753,1.8251297683688323
live_text_c8_rep2,prefill,114,1008,2.073423981666565,3.4008095502853393,6.489607949256864,0.5959360003471375,0.47519999742507935,0.04952000081539154,0.4345120037905872,42.0,0.44541843683435534,1.5572854483973633
live_text_c8_rep2,prefill,342,1008,2.0547679662704468,4.242652702331543,5.084357938766474,0.5695360004901886,0.5129279792308807,0.04950400069355965,0.4529279973357916,56.0,0.43695721922860753,1.8271356744982183
live_text_c8_rep2,prefill,456,144,1.7222560048103333,5.30663986206055,14.304732227325431,0.3506399989128113,0.5960800051689148,0.05307199992239475,0.12375999707728624,56.0,0.4400865443590003,1.8290078129201643
live_text_c8_telemetry,decode,1,3840,2.071071982383728,2.889983892440796,3.9707075548172006,0.635455995798111,0.4535360038280487,0.048928000032901764,0.4474080135114491,8.0,1.7320508075688772,0.0
live_text_c8_telemetry,prefill,2,3792,2.0754880905151367,2.8847935676574705,2.965131106376648,0.6369440257549286,0.45020800828933716,0.0490880012512207,0.45148800127208233,15.0,0.82915619758885,0.0
live_text_c8_telemetry,prefill,114,3840,2.0285120010375977,3.2984641075134276,3.3679900455474856,0.5790559947490692,0.45820799469947815,0.0493599995970726,0.45092798583209515,42.0,0.4580656903433661,1.5568862682489801
live_text_c8_telemetry,prefill,115,48,2.064239978790283,4.953100919723511,6.610646057128906,0.6187680065631866,0.6840960085391998,0.07379200309515,0.46235200855880976,43.5,0.4631576921750509,1.6553191155745708
live_text_c8_telemetry,prefill,229,48,2.076367974281311,2.1051071643829347,6.091987786293031,0.6192319989204407,0.6787520051002502,0.07500799745321274,0.4736800012178719,60.5,0.4423755289340614,1.9168497020010888
live_text_c8_telemetry,prefill,342,3792,2.0364959239959717,4.164403057098388,4.269556188583374,0.5733920037746429,0.5095999836921692,0.049056001007556915,0.4631199911236763,56.0,0.43695721922860753,1.825459549663222
live_text_c8_warmup_text,decode,1,768,1.1608960032463074,1.2494943737983704,1.9906115090847025,0.1315999999642372,0.4379359930753708,0.04483199864625931,0.018592000473290682,8.0,1.7320508075688772,0.0
live_text_c8_warmup_text,prefill,2,768,1.1601600050926208,1.234118390083313,1.6236522126197817,0.1279040053486824,0.4368639886379242,0.04476799815893173,0.018847999861463904,14.0,0.770551750371122,0.0
live_text_c8_warmup_text,prefill,114,768,1.1737120151519775,1.2625823974609376,2.46656162023545,0.13276800513267517,0.4421920031309128,0.04556800052523613,0.02223999984562397,42.0,0.44541843683435534,1.5604037184469077
live_text_c8_warmup_text,prefill,342,768,1.181775987148285,1.2855295538902283,3.7683455538749797,0.1398560032248497,0.4888159930706024,0.045632001012563705,0.032767999451607466,56.0,0.43695721922860753,1.8251297683688323
live_text_to_vision_c8,decode,1,768,2.1935200691223145,2.587843227386475,2.755920629501344,0.6310080140829086,0.5992159843444824,0.05676800012588501,0.32710400642827153,8.0,0.7071067811865476,0.0
live_text_to_vision_c8,prefill,2,768,2.2369439601898193,2.596671962738037,3.4110239934921323,0.6353600025177002,0.5970399975776672,0.05719999969005585,0.3311840081587434,8.0,0.7288689868556626,0.0
live_text_to_vision_c8,prefill,193,768,2.4852160215377808,3.419721555709839,5.235001802444483,0.7974880039691925,0.627839982509613,0.06297600269317627,0.33291199477389455,115.0,0.16345897983779645,1.0169552918982647
live_text_to_vision_c8,prefill,579,768,2.454991936683655,5.071273517608643,7.408193020820621,0.6011679917573929,0.6960319876670837,0.0579840000718832,0.3551680101081729,123.0,0.1423914998641643,0.9760225882168015
live_vision_hi_c8,prefill,193,1920,1.1924960017204285,1.362239956855774,4.594035935401914,0.13552000373601913,0.4920800030231476,0.04636799916625023,0.025391999632120132,117.0,0.15631232145947227,0.992666707209655
live_vision_hi_c8,prefill,579,1920,1.2407520413398743,1.3306816458702089,3.0472757935523958,0.13203200697898865,0.5816799998283386,0.0030720001086592674,0.10003199893981218,123.0,0.1423914998641643,0.9649539408974965
live_vision_hi_c8_warmup_hi,decode,1,768,1.171184003353119,1.3178336381912232,6.472121834754944,0.1252480000257492,0.44230400025844574,0.045632001012563705,0.01881599985063076,8.0,1.7320508075688772,0.0
live_vision_hi_c8_warmup_hi,prefill,2,768,1.1656479835510254,1.231971228122711,1.3709830164909365,0.11367999762296677,0.44020800292491913,0.045423999428749084,0.018656000029295683,15.0,0.75,0.0
live_vision_hi_c8_warmup_hi,prefill,193,768,1.1947999596595764,1.2753439664840698,1.3912390863895423,0.13731199502944946,0.494719997048378,0.045712001621723175,0.019647999666631222,116.0,0.15774415469814398,1.0014988744660664
live_vision_hi_c8_warmup_hi,prefill,579,768,1.260416030883789,1.3803967595100406,2.76526747941971,0.14372800290584564,0.5852960050106049,0.003135999897494912,0.10236799949780107,123.0,0.14427749325612113,0.9649539408974965
