vision_request,text_request,layer,rank,vision_total_assignments,text_total_assignments,vision_active_experts,text_active_experts,vision_gini,text_gini,vision_top1_share,text_top1_share,vision_top4_share,text_top4_share,vision_max_expert_load,text_max_expert_load,vision_padding_amplification,text_padding_amplification,vision_effective_tiles,text_effective_tiles,vision_expert_median_ms,text_expert_median_ms,relative_assignment_error
coins,text_00_coins,47,0,312.0,316.0,29.0,26.0,0.5056089743589743,0.6564477848101266,0.10897435897435898,0.18354430379746836,0.36858974358974356,0.5253164556962024,34.0,58.0,5.948717948717949,5.265822784810126,29.0,26.0,0.39715200662612915,0.399616003036499,0.01282051282051282
clock_motion,text_00_coins,0,0,203.0,259.0,31.0,29.0,0.4204125615763547,0.4197635135135135,0.12807881773399016,0.07722007722007722,0.3448275862068966,0.28957528957528955,26.0,20.0,9.773399014778326,7.166023166023166,31.0,29.0,0.4236159920692444,0.4089919924736023,0.27586206896551724
clock_motion,text_00_coins,1,0,271.0,259.0,29.0,31.0,0.5035747232472325,0.3799469111969112,0.11439114391143912,0.09266409266409266,0.3837638376383764,0.305019305019305,31.0,24.0,6.8487084870848705,7.66023166023166,29.0,31.0,0.4012160003185272,0.39878401160240173,0.04428044280442804
clock_motion,text_01_clock_motion,2,0,287.0,292.0,31.0,28.0,0.4330357142857143,0.6301369863013698,0.14982578397212543,0.1952054794520548,0.3310104529616725,0.523972602739726,43.0,57.0,6.912891986062718,6.136986301369863,31.0,28.0,0.4074240028858185,0.3929919898509979,0.017421602787456445
clock_motion,text_01_clock_motion,3,0,316.0,341.0,28.0,30.0,0.5474683544303798,0.4753482404692082,0.1550632911392405,0.12316715542521994,0.44620253164556956,0.3519061583577713,49.0,42.0,5.670886075949367,5.6304985337243405,28.0,30.0,0.40137600898742676,0.39689600467681885,0.07911392405063292
clock_motion,text_00_coins,4,0,288.0,276.0,32.0,23.0,0.4194878472222222,0.6485507246376812,0.1076388888888889,0.2028985507246377,0.34375,0.49637681159420294,31.0,56.0,7.111111111111111,5.333333333333333,32.0,23.0,0.40374401211738586,0.3874559998512268,0.041666666666666664
clock_motion,text_02_cat,5,0,313.0,323.0,32.0,25.0,0.5538138977635783,0.7226199690402477,0.25559105431309903,0.3931888544891641,0.5111821086261981,0.6037151702786377,80.0,127.0,6.747603833865814,5.151702786377709,33.0,26.0,0.40384000539779663,0.3898879885673523,0.03194888178913738
clock_motion,text_05_coffee,6,0,398.0,418.0,28.0,28.0,0.6009736180904522,0.7541866028708134,0.14321608040201006,0.2727272727272727,0.4522613065326634,0.6244019138755981,57.0,114.0,4.50251256281407,4.5933014354066986,28.0,30.0,0.4010240137577057,0.40544000267982483,0.05025125628140704
clock_motion,text_00_coins,7,0,170.0,273.0,29.0,26.0,0.5055147058823529,0.615728021978022,0.1588235294117647,0.2271062271062271,0.40588235294117647,0.47985347985347987,27.0,62.0,5.458823529411765,6.095238095238095,29.0,26.0,0.3936319947242737,0.3906880021095276,0.6058823529411764
clock_motion,text_01_clock_motion,8,0,241.0,225.0,30.0,26.0,0.5206172199170125,0.6126388888888888,0.1037344398340249,0.19555555555555557,0.3775933609958506,0.48,25.0,44.0,7.966804979253112,7.395555555555555,30.0,26.0,0.39929598569869995,0.39350399374961853,0.06639004149377593
clock_motion,text_06_moon,9,0,375.0,375.0,28.0,28.0,0.5510833333333334,0.69125,0.18933333333333333,0.312,0.4266666666666667,0.6026666666666667,71.0,117.0,4.949333333333334,4.949333333333334,29.0,29.0,0.40143999457359314,0.41046398878097534,0.0
clock_motion,text_00_coins,10,0,229.0,233.0,27.0,24.0,0.5154203056768559,0.6390826180257511,0.09170305676855896,0.15021459227467812,0.35371179039301315,0.4892703862660944,21.0,35.0,7.545851528384279,6.592274678111588,27.0,24.0,0.3970560133457184,0.39561599493026733,0.017467248908296942
clock_motion,text_00_coins,11,0,261.0,258.0,31.0,26.0,0.43211206896551724,0.6002906976744186,0.12643678160919541,0.13953488372093023,0.35249042145593873,0.42248062015503873,33.0,36.0,7.601532567049809,6.449612403100775,31.0,26.0,0.4028480052947998,0.392192006111145,0.011494252873563218
clock_motion,text_00_coins,12,0,232.0,227.0,28.0,26.0,0.5169719827586207,0.5772301762114538,0.16379310344827586,0.09691629955947137,0.3922413793103448,0.3788546255506608,38.0,22.0,7.724137931034483,7.330396475770925,28.0,26.0,0.3944000005722046,0.3935360014438629,0.021551724137931036
clock_motion,text_04_color_wheel,13,0,294.0,284.0,28.0,27.0,0.5244472789115646,0.5415933098591549,0.17687074829931973,0.10211267605633803,0.45578231292517013,0.3485915492957746,52.0,29.0,6.095238095238095,6.084507042253521,28.0,27.0,0.3932799994945526,0.39958399534225464,0.034013605442176874
clock_motion,text_00_coins,14,0,303.0,329.0,30.0,27.0,0.4747318481848185,0.567154255319149,0.132013201320132,0.1702127659574468,0.36633663366336633,0.42857142857142855,40.0,56.0,6.336633663366337,5.2522796352583585,30.0,27.0,0.3940800130367279,0.40163201093673706,0.0858085808580858
clock_motion,text_06_moon,15,0,231.0,237.0,30.0,24.0,0.5604707792207793,0.7029272151898734,0.22510822510822512,0.22362869198312235,0.4718614718614719,0.5611814345991561,52.0,53.0,8.311688311688311,6.481012658227848,30.0,24.0,0.3986560106277466,0.3970560133457184,0.025974025974025976
clock_motion,text_02_cat,16,0,236.0,258.0,31.0,27.0,0.5042372881355932,0.6954941860465116,0.19915254237288135,0.36046511627906974,0.43644067796610175,0.624031007751938,47.0,93.0,8.40677966101695,6.945736434108527,31.0,28.0,0.4010240137577057,0.39846399426460266,0.09322033898305085
clock_motion,text_00_coins,17,0,194.0,235.0,27.0,23.0,0.5138530927835051,0.6328457446808511,0.18556701030927836,0.14042553191489363,0.4175257731958763,0.4255319148936171,36.0,33.0,8.907216494845361,6.263829787234043,27.0,23.0,0.3946560025215149,0.3890239894390106,0.211340206185567
clock_motion,text_07_camera,18,0,324.0,352.0,29.0,29.0,0.6487268518518519,0.6814630681818182,0.25,0.20454545454545456,0.558641975308642,0.6079545454545454,81.0,72.0,5.925925925925926,5.454545454545454,30.0,30.0,0.3937920033931732,0.40854400396347046,0.08641975308641975
clock_motion,text_00_coins,19,0,184.0,324.0,26.0,25.0,0.5601222826086957,0.6662808641975309,0.11956521739130435,0.18518518518518517,0.4402173913043478,0.5709876543209876,22.0,60.0,9.043478260869565,4.938271604938271,26.0,25.0,0.39577600359916687,0.3922559916973114,0.7608695652173914
clock_motion,text_04_color_wheel,20,0,350.0,345.0,29.0,26.0,0.50375,0.6792572463768116,0.11142857142857143,0.20869565217391303,0.35428571428571426,0.5072463768115942,39.0,72.0,5.3028571428571425,5.008695652173913,29.0,27.0,0.40083199739456177,0.40198400616645813,0.014285714285714285
clock_motion,text_02_cat,21,0,312.0,305.0,32.0,21.0,0.5394631410256411,0.7869877049180328,0.19230769230769232,0.25245901639344265,0.4455128205128206,0.7049180327868854,60.0,77.0,6.564102564102564,4.616393442622951,32.0,22.0,0.4121600091457367,0.38543999195098877,0.022435897435897436
clock_motion,text_00_coins,22,0,223.0,223.0,25.0,24.0,0.5646020179372198,0.6411154708520179,0.19282511210762332,0.13901345291479822,0.41704035874439466,0.4932735426008969,43.0,31.0,7.174887892376682,6.887892376681615,25.0,24.0,0.39926400780677795,0.39158400893211365,0.0
clock_motion,text_00_coins,23,0,306.0,316.0,31.0,26.0,0.5024509803921569,0.6255933544303798,0.11764705882352941,0.16455696202531644,0.37254901960784315,0.5031645569620253,36.0,52.0,6.483660130718954,5.265822784810126,31.0,26.0,0.4081279933452606,0.3875519931316376,0.032679738562091505
clock_motion,text_02_cat,24,0,282.0,287.0,30.0,28.0,0.4470301418439716,0.6316419860627178,0.09219858156028368,0.17770034843205576,0.32978723404255317,0.4912891986062718,26.0,51.0,6.808510638297872,6.2439024390243905,30.0,28.0,0.39948800206184387,0.4023680090904236,0.01773049645390071
clock_motion,text_04_color_wheel,25,0,280.0,284.0,32.0,26.0,0.44888392857142856,0.5908890845070423,0.10714285714285714,0.14788732394366197,0.32499999999999996,0.41901408450704225,30.0,42.0,7.314285714285714,5.859154929577465,32.0,26.0,0.40646401047706604,0.3983359932899475,0.014285714285714285
clock_motion,text_00_coins,26,0,314.0,306.0,29.0,24.0,0.48387738853503187,0.6115196078431373,0.1910828025477707,0.1895424836601307,0.4140127388535032,0.434640522875817,60.0,58.0,5.910828025477707,5.019607843137255,29.0,24.0,0.40086400508880615,0.3895359933376312,0.025477707006369428
clock_motion,text_05_coffee,27,0,257.0,261.0,30.0,23.0,0.5212791828793775,0.6859434865900383,0.21011673151750973,0.14942528735632185,0.4474708171206226,0.5325670498084292,54.0,39.0,7.470817120622568,5.639846743295019,30.0,23.0,0.39952000975608826,0.4069119989871979,0.01556420233463035
