modality,request_id,pair_id,token_bucket,layer,predicted_rank,actual_rank,correct,imbalance_cv
text,text_05_coffee,5,small,10,3,0,0,0.18265267586323503
text,text_05_coffee,5,small,11,1,1,1,0.1543437721451695
text,text_05_coffee,5,small,12,3,0,0,0.3027507225424904
text,text_05_coffee,5,small,13,0,0,1,0.14948467811891505
text,text_05_coffee,5,small,14,0,0,1,0.29938603841862765
text,text_05_coffee,5,small,15,1,1,1,0.3593516162931113
text,text_05_coffee,5,small,16,0,3,0,0.24350365337238453
text,text_05_coffee,5,small,17,2,0,0,0.13671888411522734
text,text_05_coffee,5,small,18,0,3,0,0.21339634486091835
text,text_05_coffee,5,small,19,3,3,1,0.2547858276142777
text,text_05_coffee,5,small,20,1,3,0,0.2863053592732098
text,text_05_coffee,5,small,21,1,3,0,0.18193912049943303
text,text_05_coffee,5,small,22,0,1,0,0.19549669921680216
text,text_05_coffee,5,small,23,0,1,0,0.0960937042682818
text,text_05_coffee,5,small,24,0,0,1,0.32528449086914674
text,text_05_coffee,5,small,25,0,1,0,0.22871170929514564
text,text_05_coffee,5,small,26,0,0,1,0.2148826747145208
text,text_05_coffee,5,small,27,1,0,0,0.3066347277504923
text,text_05_coffee,5,small,28,2,1,0,0.39846957223858387
text,text_05_coffee,5,small,29,0,3,0,0.1521837840051893
text,text_05_coffee,5,small,30,0,2,0,0.38615799875180623
text,text_05_coffee,5,small,31,3,3,1,0.27056607326122767
text,text_05_coffee,5,small,32,0,3,0,0.2871152461221184
text,text_05_coffee,5,small,33,1,1,1,0.19057806799314553
text,text_05_coffee,5,small,34,3,3,1,0.10956723068027262
text,text_05_coffee,5,small,35,0,0,1,0.1962734409766561
text,text_05_coffee,5,small,36,3,0,0,0.3085772936253648
text,text_05_coffee,5,small,37,0,0,1,0.0781194331041261
text,text_05_coffee,5,small,38,0,0,1,0.09299462350050136
text,text_05_coffee,5,small,39,2,1,0,0.26188798783419276
text,text_05_coffee,5,small,40,2,0,0,0.3274202192901349
text,text_05_coffee,5,small,41,2,3,0,0.2278302957620125
text,text_05_coffee,5,small,42,1,1,1,0.08012694969141863
text,text_05_coffee,5,small,43,2,0,0,0.35135476274950994
text,text_05_coffee,5,small,44,0,1,0,0.22386346804159565
text,text_05_coffee,5,small,45,2,3,0,0.2938196725884773
text,text_05_coffee,5,small,46,0,3,0,0.3748546384933765
text,text_05_coffee,5,small,47,3,3,1,0.26674707121166297
text,text_06_moon,6,small,0,2,1,0,0.08151272801168821
text,text_06_moon,6,small,1,3,3,1,0.22087180402195863
text,text_06_moon,6,small,2,2,3,0,0.144561991626612
text,text_06_moon,6,small,3,2,0,0,0.19717021420566644
text,text_06_moon,6,small,4,3,0,0,0.18494159262193624
text,text_06_moon,6,small,5,0,0,1,0.2526573859040415
text,text_06_moon,6,small,6,0,0,1,0.17136899798782862
text,text_06_moon,6,small,7,3,2,0,0.35276107460567185
text,text_06_moon,6,small,8,1,1,1,0.318525636858903
text,text_06_moon,6,small,9,2,1,0,0.19991211299621336
text,text_06_moon,6,small,10,1,0,0,0.16723717548357306
text,text_06_moon,6,small,11,1,3,0,0.20860983497247662
text,text_06_moon,6,small,12,3,3,1,0.2612034699811432
text,text_06_moon,6,small,13,1,1,1,0.23198650214433758
text,text_06_moon,6,small,14,0,0,1,0.33187961519415315
text,text_06_moon,6,small,15,1,1,1,0.3559038505711974
text,text_06_moon,6,small,16,0,0,1,0.32703008831947933
text,text_06_moon,6,small,17,2,1,0,0.15608581766758944
text,text_06_moon,6,small,18,0,0,1,0.17284435547751398
text,text_06_moon,6,small,19,3,2,0,0.29306923120063894
text,text_06_moon,6,small,20,1,1,1,0.24980907258280663
text,text_06_moon,6,small,21,0,0,1,0.12628409842835941
text,text_06_moon,6,small,22,1,0,0,0.21068514523538664
text,text_06_moon,6,small,23,1,1,1,0.054240859172662664
text,text_06_moon,6,small,24,0,0,1,0.287635886639233
text,text_06_moon,6,small,25,3,3,1,0.24776118289033505
text,text_06_moon,6,small,26,0,0,1,0.2609912832705127
text,text_06_moon,6,small,27,1,1,1,0.2716373411284175
text,text_06_moon,6,small,28,2,0,0,0.46972240331186665
text,text_06_moon,6,small,29,2,2,1,0.13288068729523111
text,text_06_moon,6,small,30,0,0,1,0.2995940786741383
text,text_06_moon,6,small,31,0,3,0,0.291868849997887
text,text_06_moon,6,small,32,1,1,1,0.2662319349871899
text,text_06_moon,6,small,33,1,1,1,0.16661220492781847
text,text_06_moon,6,small,34,3,0,0,0.1083388475834972
text,text_06_moon,6,small,35,0,3,0,0.18675180240652514
text,text_06_moon,6,small,36,3,0,0,0.3046557670225603
text,text_06_moon,6,small,37,0,1,0,0.12200423934646026
text,text_06_moon,6,small,38,0,0,1,0.13429724961856448
text,text_06_moon,6,small,39,1,1,1,0.15993848237278743
text,text_06_moon,6,small,40,2,3,0,0.36896167540978725
text,text_06_moon,6,small,41,2,0,0,0.23427251459941714
text,text_06_moon,6,small,42,1,0,0,0.12617518586094142
text,text_06_moon,6,small,43,2,2,1,0.33511446611310486
text,text_06_moon,6,small,44,0,0,1,0.1692034101503909
text,text_06_moon,6,small,45,2,3,0,0.2903102787846377
text,text_06_moon,6,small,46,0,3,0,0.38056465964783026
text,text_06_moon,6,small,47,3,3,1,0.3311526694313481
text,text_07_camera,7,small,0,1,1,1,0.10310230423330906
text,text_07_camera,7,small,1,0,3,0,0.18840575949485186
text,text_07_camera,7,small,2,0,0,1,0.1627926694796377
text,text_07_camera,7,small,3,2,3,0,0.06337397394167384
text,text_07_camera,7,small,4,3,3,1,0.17602090979989274
text,text_07_camera,7,small,5,0,2,0,0.20339046274166184
text,text_07_camera,7,small,6,2,2,1,0.2633863697954139
text,text_07_camera,7,small,7,0,0,1,0.28374148204439265
text,text_07_camera,7,small,8,1,3,0,0.14448503437779725
text,text_07_camera,7,small,9,1,1,1,0.22784653673936991
text,text_07_camera,7,small,10,2,1,0,0.09435502363450665
text,text_07_camera,7,small,11,1,1,1,0.21985239714853153
text,text_07_camera,7,small,12,3,3,1,0.23772646994138893
text,text_07_camera,7,small,13,0,3,0,0.19176828815475266
text,text_07_camera,7,small,14,0,0,1,0.4149126409999528
text,text_07_camera,7,small,15,1,1,1,0.2288002409067509
text,text_07_camera,7,small,16,0,0,1,0.3965450070963847
text,text_07_camera,7,small,17,3,2,0,0.1101903134621699
text,text_07_camera,7,small,18,2,0,0,0.25388461832960957
text,text_07_camera,7,small,19,3,3,1,0.24583771766626628
text,text_07_camera,7,small,20,1,1,1,0.16264137121083222
text,text_07_camera,7,small,21,1,1,1,0.23520479972979363
text,text_07_camera,7,small,22,1,1,1,0.07233122933541324
text,text_07_camera,7,small,23,2,2,1,0.12607394380042575
text,text_07_camera,7,small,24,3,3,1,0.19578747601847815
text,text_07_camera,7,small,25,3,3,1,0.26467758345667997
