accepted_set_change_fraction,aligned_rows,baseline_live_ratio,baseline_wave,benchmark_correct,benchmark_delta_vs_baseline,benchmark_total,confidence_logit_margin_abs_change_mean,elapsed_seconds_observer,final_sequence_exact,final_sequence_total,layers,live_aligned_rows,live_top1_flip_fraction,mode,nfe,per_sample_score_flips,phase,policy,policy_live_ratio,policy_wave,sampled_js_mean,sampled_kl_mean,sampled_logits_rows,task,top1_flip_fraction,dataset,layer,top1_flip,accepted_change,final_sequence_divergence,benchmark_score_flip_fraction,nfe_relative_change,decision_sensitivity_score,clean_request_median_ms,whole_layer_normalized_optimistic_e2e_percent,routed_moe_request_e2e_upper_percent,shared_sum_ms,shared_request_e2e_upper_percent,physical_cost_e2e_upper_percent,live_ratio_median,relative_l2_update_median,output_cosine_median,attention_update_norm_median,moe_update_norm_median,routed_output_norm_median,shared_output_norm_median,post_epoch_live_weighted_cost_percent,cost_per_decision_sensitivity
0.0253968253968253,960.0,0.328125,8.0,5,0,32,0.2347222222222222,5.028951644897461,22,32,6.0,315.0,0.1746031746031746,routed_bypass,63,0,late,routed_bypass_l06_late,0.328125,8.0,,,16.0,gsm8k,0.0729166666666666,gsm8k,6,0.1746031746031746,0.0253968253968253,0.3125,0.0,0.045454545454545456,0.11159090909090907,6074.886083602905,1.6025798564438771,0.8855174432903417,3.185631999745965,0.052439370152874115,0.8855174432903417,0.1808347902097902,0.3094687957994565,0.9798747897148132,34.29498481750488,49.26106834411621,32.50189018249512,33.58803749084473,0.16013236108451873,7.9353905305040815
0.0223123732251521,992.0,0.4969758064516129,0.0,5,0,32,0.271551724137931,4.886371612548828,13,32,6.0,493.0,0.1886409736308316,routed_bypass,64,0,middle,routed_bypass_l06_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.1058467741935483,gsm8k,6,0.1886409736308316,0.0223123732251521,0.59375,0.0,0.030303030303030304,0.1670012754318028,6074.886083602905,1.3458777345083257,0.826657939679871,0.962943997234106,0.015851227232610118,0.826657939679871,0.4445564516129032,0.2944812409279929,0.9813969731330872,70.02883911132812,98.07608795166016,61.13809967041016,68.71900939941406,0.3674961203617168,4.950009738203753
0.01953125,1024.0,1.0,36.0,5,0,32,0.226318359375,5.019389152526856,23,32,7.0,1024.0,0.1162109375,routed_bypass,66,0,early,routed_bypass_l07_early,1.0,36.0,,,16.0,gsm8k,0.1162109375,gsm8k,7,0.1162109375,0.01953125,0.28125,0.0,0.0,0.0833984375,6074.886083602905,0.1921066876071804,0.0758048114772264,0.0718719996511936,0.0011831003686667918,0.0758048114772264,0.90380859375,0.2171469618261892,0.9858556985855104,61.420806884765625,81.89887237548828,43.56578826904297,64.67952537536621,0.06851304006071585,0.9089476223967192
0.0095238095238095,960.0,0.328125,8.0,4,-1,32,0.2339285714285714,5.096076726913452,22,32,7.0,315.0,0.146031746031746,routed_bypass,66,1,late,routed_bypass_l07_late,0.328125,8.0,,,16.0,gsm8k,0.059375,gsm8k,7,0.146031746031746,0.0095238095238095,0.3125,0.03125,0.0,0.0998611111111111,6074.886083602905,1.6846718693314129,0.9399089780515,3.577312022447586,0.058886898835902896,0.9399089780515,0.1808347902097902,0.2677617046565048,0.9776701629161836,43.623647689819336,60.12430000305176,42.143592834472656,38.8184928894043,0.1699682428622413,9.412162228053965
0.0263691683569979,992.0,0.4969758064516129,0.0,4,-1,32,0.277129817444219,4.814953327178955,12,32,7.0,493.0,0.1643002028397566,routed_bypass,63,1,middle,routed_bypass_l07_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.0997983870967741,gsm8k,7,0.1643002028397566,0.0263691683569979,0.625,0.03125,0.045454545454545456,0.17847478333025998,6074.886083602905,1.4148002114519949,0.8902198259048626,0.961472000926733,0.015826996386350364,0.8902198259048626,0.4445564516129032,0.2559404192589609,0.9793680310249328,84.54566192626953,114.0444107055664,74.68595123291016,78.60230255126953,0.3957529669597222,4.987930559677715
0.0205078125,1024.0,1.0,36.0,5,0,32,0.23541259765625,4.78841233253479,24,32,8.0,1024.0,0.1220703125,routed_bypass,63,0,early,routed_bypass_l08_early,1.0,36.0,,,16.0,gsm8k,0.1220703125,gsm8k,8,0.1220703125,0.0205078125,0.25,0.0,0.045454545454545456,0.0876065340909091,6074.886083602905,0.1228092767262378,0.0607832313948878,0.0715519972145557,0.001177832740068757,0.0607832313948878,0.90380859375,0.2908029996358383,0.9819364547729492,73.10470199584961,131.27758026123047,67.08696556091309,103.7177276611328,0.0549364068905944,0.6938207523632105
0.0158730158730158,960.0,0.328125,8.0,5,0,32,0.2654761904761905,4.96799635887146,19,32,8.0,315.0,0.1079365079365079,routed_bypass,64,0,late,routed_bypass_l08_late,0.328125,8.0,,,16.0,gsm8k,0.0541666666666666,gsm8k,8,0.1079365079365079,0.0158730158730158,0.40625,0.0,0.030303030303030304,0.1120725108225108,6074.886083602905,1.6186173855403485,0.87282361307742,2.988608000800013,0.04919611593815309,0.87282361307742,0.1808347902097902,0.317423497900939,0.9756473004817964,49.36505317687988,86.44227981567383,55.10371208190918,59.13222503662109,0.15783687496100635,7.788025865323125
0.024340770791075,992.0,0.4969758064516129,0.0,4,-1,32,0.3171906693711968,4.819817066192627,10,32,8.0,493.0,0.2231237322515213,routed_bypass,63,1,middle,routed_bypass_l08_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.1239919354838709,gsm8k,8,0.2231237322515213,0.024340770791075,0.6875,0.03125,0.045454545454545456,0.20233380969942835,6074.886083602905,1.3262542139044575,0.7987644756886786,0.9589440003037452,0.015785382427039894,0.7987644756886786,0.4445564516129032,0.3061526596987289,0.976488709449768,95.8304443359375,170.03880310058594,107.88932037353516,117.97982788085938,0.35509590098660004,3.9477558242750534
0.0283203125,1024.0,1.0,36.0,5,0,32,0.23345947265625,4.992577791213989,22,32,9.0,1024.0,0.119140625,routed_bypass,66,0,early,routed_bypass_l09_early,1.0,36.0,,,16.0,gsm8k,0.119140625,gsm8k,9,0.119140625,0.0283203125,0.3125,0.0,0.0,0.0919921875,6074.886083602905,0.1277207763584637,0.0592461481627943,0.0717120021581649,0.0011804666156905745,0.0592461481627943,0.90380859375,0.3064904674867189,0.9806441366672516,100.64101028442384,155.63091278076172,79.69506454467773,125.02880096435548,0.05354717785611926,0.6440345617696535
0.0158730158730158,960.0,0.328125,8.0,5,0,32,0.2265873015873016,4.694215536117554,21,32,9.0,315.0,0.1365079365079365,routed_bypass,61,0,late,routed_bypass_l09_late,0.328125,8.0,,,16.0,gsm8k,0.065625,gsm8k,9,0.1365079365079365,0.0158730158730158,0.34375,0.0,0.07575757575757576,0.11437770562770562,6074.886083602905,1.6273654890963138,0.8636616919043189,3.455423990264535,0.05688047385104521,0.8636616919043189,0.1808347902097902,0.2918385783479706,0.9753904342651368,61.07558441162109,92.13197326660156,64.3979663848877,58.307050704956055,0.15618008086774995,7.550961851914564
