dataset,iteration,phase,normalized_iteration,ready_requests,physical_rows,decision_live_rows,live_ratio,accepted_rows,acceptance_rate_live,live_confidence_median,live_margin_median,model_forward_ms_observer
gsm8k,30,late,0.46875,5,160,30,0.1875,4,0.13333333333333333,0.5074081867933273,0.20792941749095917,348.33209228515625
gsm8k,31,late,0.484375,4,128,26,0.203125,14,0.5384615384615384,0.7428095936775208,0.6334758698940277,310.30364990234375
gsm8k,32,late,0.5,3,96,12,0.125,3,0.25,0.7898475825786591,0.6432969868183136,290.69281005859375
gsm8k,33,late,0.515625,2,64,9,0.140625,5,0.5555555555555556,0.9096823930740356,0.8258843421936035,256.9393310546875
gsm8k,34,late,0.53125,1,32,4,0.125,4,1.0,1.0,0.9999997615814209,223.0134735107422
gsm8k,35,late,0.546875,1,32,0,0.0,0,0.0,nan,nan,271.9046325683594
gsm8k,36,early,0.5625,32,1024,1024,1.0,197,0.1923828125,0.37435539066791534,0.1840740144252777,998.7224731445312
gsm8k,37,early,0.578125,32,1024,827,0.8076171875,152,0.1837968561064087,0.3599989712238312,0.1525323987007141,1105.949951171875
gsm8k,38,middle,0.59375,32,1024,675,0.6591796875,55,0.08148148148148149,0.33546826243400574,0.14198146760463715,980.93994140625
gsm8k,39,middle,0.609375,30,960,620,0.6458333333333334,83,0.1338709677419355,0.391477569937706,0.16124609112739563,999.7849731445312
gsm8k,40,middle,0.625,30,960,537,0.559375,75,0.13966480446927373,0.4576125144958496,0.22788937389850616,946.5509033203125
gsm8k,41,middle,0.640625,28,896,462,0.515625,87,0.18831168831168832,0.4969811886548996,0.2345219999551773,866.730224609375
gsm8k,42,middle,0.65625,25,800,375,0.46875,44,0.11733333333333333,0.4315655827522278,0.18248945474624634,807.9386596679688
gsm8k,43,middle,0.671875,24,768,331,0.4309895833333333,73,0.22054380664652568,0.49387869238853455,0.1938599944114685,764.7578735351562
gsm8k,44,middle,0.6875,22,704,258,0.3664772727272727,52,0.20155038759689922,0.5311907231807709,0.2936417758464813,740.7759399414062
gsm8k,45,late,0.703125,20,640,206,0.321875,45,0.21844660194174756,0.5714852511882782,0.3206704258918762,668.5757446289062
gsm8k,46,late,0.71875,17,544,161,0.2959558823529412,26,0.16149068322981366,0.5243501663208008,0.23124951124191284,600.0556640625
gsm8k,47,late,0.734375,16,512,135,0.263671875,26,0.1925925925925926,0.5312044024467468,0.2592458128929138,590.2537231445312
gsm8k,48,late,0.75,14,448,109,0.24330357142857142,33,0.30275229357798167,0.5358426570892334,0.34559017419815063,532.2606201171875
