dataset,layer,phase,waves,clean_request_median_ms,prepare_attn_sum_ms,attention_sum_ms,prepare_mlp_sum_ms,mlp_sum_ms,postprocess_sum_ms,router_sum_ms,dispatch_sum_ms,expert_sum_ms,combine_sum_ms,shared_sum_ms,gather_sum_ms,whole_layer_sum_ms,non_moe_layer_proxy_sum_ms,routed_moe_sum_ms,whole_moe_sum_ms,whole_layer_request_e2e_upper_percent,routed_moe_request_e2e_upper_percent,whole_moe_request_e2e_upper_percent,non_moe_normalized_optimistic_e2e_percent,whole_layer_normalized_optimistic_e2e_percent
gsm8k,11,late,36,6074.886083602905,6.5834560096263885,28.815840005874634,13.44851203262806,188.0577907562256,0.5224959999322891,6.581791967153549,12.962047919631004,27.222527891397476,7.797088071703911,3.5815679393708706,3.211296008899808,237.42809480428696,49.37030404806137,54.56345584988594,61.35631979815662,3.9083546841338075,0.8981807246914717,1.009999511987018,0.6357892445131477,1.6457887565001657
gsm8k,12,early,2,6074.886083602905,0.3854079991579056,3.276703953742981,1.4875839948654175,26.6693754196167,0.02527999971061945,0.3659520000219345,0.8678399920463562,1.9767680168151855,0.5224959999322891,0.07196800038218498,0.10499199852347374,31.844351367093623,5.1749759474769235,3.7330560088157654,3.910016007721424,0.5241966833426992,0.06145063392862434,0.06436361034448343,0.06664317977092264,0.13100679011540606
gsm8k,12,middle,27,6074.886083602905,5.006143972277641,18.019519925117493,15.707200080156326,328.53465461730957,0.3708159998059273,4.557695984840393,10.732383996248245,27.54892808198929,5.813503995537758,0.957248006016016,1.3656000010669231,367.63833459466696,39.10367997735739,48.652512058615685,50.975360065698624,6.051773309576651,0.8008794138533172,0.839116312045576,0.503575978107921,1.342692290153497
gsm8k,12,late,36,6074.886083602905,7.0643520206213,28.03804785013199,21.435583993792534,187.49302434921265,0.5047040022909641,6.8974080085754395,14.785056054592133,26.708415895700455,6.1352000162005424,3.90739200823009,3.9240639582276344,244.53571221604943,57.042687866836786,54.52607997506857,62.357535941526294,4.025354695557019,0.8975654724167295,1.026480745208364,0.7345939654037752,1.7610747106121392
gsm8k,13,early,2,6074.886083602905,0.35439999401569366,3.1039040088653564,1.5377599596977234,26.850656509399414,0.025791999883949757,0.3433600068092346,0.8507840037345886,2.0803840160369873,0.39692799746990204,0.07289599999785423,0.11228800192475319,31.872512471862137,5.021855962462723,3.6714560240507126,3.85664002597332,0.5246602493154756,0.060436623395466835,0.0634849768851306,0.06467130535229902,0.12815628223742964
gsm8k,13,middle,27,6074.886083602905,5.073984012007713,18.07782393693924,16.28707194328308,329.7100496292114,0.4014080008491874,4.69529601931572,10.692831963300705,28.468319952487946,5.885952010750771,0.9634239934384823,1.409280002117157,369.55033752229065,39.84028789307922,49.74239994585514,52.11510394141078,6.083247198984791,0.8188202916284781,0.8578778799174165,0.5130619920037089,1.3709398719211254
gsm8k,13,late,36,6074.886083602905,6.748063966631889,25.426079988479614,16.965919986367226,184.0765769481659,0.5314239962026477,6.518143951892853,12.59215995669365,27.311711937189102,5.9189439713954926,3.2490559965372086,3.103520004078746,233.74806488584727,49.67148793768138,52.3409598171711,58.69353581778705,3.8477769240277757,0.8615957418271227,0.9661668549836736,0.6396678813036893,1.6058347362873628
gsm8k,14,early,2,6074.886083602905,0.37084800004959106,3.1709439754486084,1.2696639895439148,26.751744270324707,0.025248000398278236,0.3590079993009567,0.8511680066585541,2.1047040224075317,0.3683199882507324,0.07177600264549255,0.10591999813914299,31.5884482357651,4.8367039654403925,3.683200016617775,3.8608960174024105,0.5199842071282192,0.06062994377062188,0.06355503567093365,0.062286923676376345,0.12584195934731
gsm8k,14,middle,27,6074.886083602905,5.042112037539482,18.062976002693176,16.372128039598465,380.9689893722534,0.3890879973769188,4.552224025130272,10.573440074920654,28.084704101085663,6.114848017692566,0.9594240076839924,1.3765759952366352,420.83529344946146,39.86630407720804,49.325216218829155,51.66121622174978,6.9274598347673315,0.8119529410101343,0.8504063370207339,0.5133970276161345,1.3638033646368684
gsm8k,14,late,36,6074.886083602905,6.6351039707660675,24.60092806816101,14.322304055094719,181.9813768863678,0.5542079973965883,6.439679980278015,12.997824043035507,27.345087975263596,5.858559973537922,3.024672009050846,2.591552011668682,228.09392097778618,46.112544091418386,52.64115197211504,58.25737599283457,3.7547028510287355,0.8665372691382968,0.9589871347560014,0.5938359128175824,1.5528230475735838
gsm8k,15,early,2,6074.886083602905,0.38604800403118134,4.602143883705139,1.5913919806480408,26.76201629638672,0.02483200002461672,0.35174399614334106,0.8112320005893707,2.1728320121765137,0.8215680122375488,0.07119999825954437,0.11247999966144562,33.3664321647957,6.604415868408978,4.157376021146774,4.341056019067764,0.5492519811170956,0.06843545646671796,0.07145905222461657,0.0850514627444607,0.15651051496907725
gsm8k,15,middle,27,6074.886083602905,5.254304006695747,19.059423983097076,18.98451194167137,332.52860927581787,0.3964160028845072,4.9859519600868225,11.474336057901382,28.900384068489075,10.832320034503937,1.1348159909248352,1.6760960072278976,376.2232652101666,43.6946559343487,56.192992120981216,59.00390411913395,6.1930916898286155,0.925004870011557,0.9712758940187368,0.5626984241117379,1.5339743181304746
gsm8k,15,late,36,6074.886083602905,6.5800319612026215,24.51968014240265,12.57836800813675,181.61104011535645,0.48454400151968,6.383264034986496,11.845439970493317,27.557567954063416,9.417120076715946,3.0313279647380114,2.4196160044521093,225.77366422861814,44.1626241132617,55.203392036259174,60.654336005449295,3.716508608087608,0.9087148512177374,0.9984440065331448,0.5687249038076629,1.5671689103408077
gsm8k,16,early,2,6074.886083602905,0.36636801064014435,4.675935983657837,1.7254079580307007,26.717759132385254,0.025983999483287334,0.37014399468898773,0.8487359881401062,2.063839912414551,0.49484799802303314,0.0724479965865612,0.11136000230908394,33.51145508419722,6.793695951811969,3.777567893266678,3.961375892162323,0.551639234431902,0.062183353585229216,0.06520905639456703,0.08748900578877782,0.15269806218334486
gsm8k,16,middle,27,6074.886083602905,5.022752001881599,18.189056038856506,18.16470393538475,327.2173137664795,0.36076800245791674,4.616896003484726,10.972864091396332,27.30124807357788,4.958400011062622,0.9647040069103241,1.3837440013885498,368.95459374506027,41.73727997858077,47.84940817952156,50.197856187820435,6.073440533163709,0.787659349015199,0.8263176543065148,0.5374913972533574,1.3638090515598722
gsm8k,16,late,36,6074.886083602905,6.534303992986679,24.466175973415375,12.60489608347416,182.35440015792847,0.5091840010136366,6.121952027082443,11.540352001786232,26.410688132047653,5.267999976873398,3.1403840128332376,2.4137919936329126,226.46896020881832,44.11456005088985,49.340992137789726,54.89516814425588,3.727954024028442,0.8122126317885862,0.9036411117638364,0.5681059363029483,1.4717470480667847
