oracle,dataset,mode,phase,criterion,tested_policies,safe_policies,optimistic_e2e_percent,post_epoch_live_weighted_percent,evidence_boundary
O2_greedy_multi_layer,humaneval,layer_bypass,middle,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,layer_bypass,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,routed_bypass,early,benchmark_vector_safe,4,3,0.20596387497925972,0.16131155052086552,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,routed_bypass,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,routed_bypass,late,benchmark_vector_safe,4,3,3.908728126934987,0.6718126468169509,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,routed_bypass,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,routed_bypass,middle,benchmark_vector_safe,4,1,2.5718758876385195,1.180450846865336,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,routed_bypass,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,stale_routed,early,benchmark_vector_safe,4,4,0.4189227778028509,0.3281016287088735,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,stale_routed,early,final_trajectory_exact,4,4,0.4189227778028509,0.3281016287088735,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,stale_routed,late,benchmark_vector_safe,4,2,3.7716890812811443,0.6482590608451967,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,stale_routed,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,stale_routed,middle,benchmark_vector_safe,4,3,10.648261840568189,4.88738580572954,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,stale_routed,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,layer_bypass,early,benchmark_vector_safe,4,1,2.966690165178688,2.681320066282105,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,layer_bypass,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,layer_bypass,late,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,layer_bypass,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,layer_bypass,middle,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,layer_bypass,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_bypass,early,benchmark_vector_safe,4,2,0.4947672069228316,0.4471748535225397,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_bypass,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_bypass,late,benchmark_vector_safe,4,2,7.0591321996058936,1.2765366903789066,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_bypass,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_bypass,middle,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_bypass,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_only,early,benchmark_vector_safe,4,2,0.009498515465747745,0.008584839905810097,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_only,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_only,late,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_only,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_only,middle,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,routed_only,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,stale_routed,early,benchmark_vector_safe,4,4,0.5354566941029126,0.48395036171117745,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,stale_routed,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,stale_routed,late,benchmark_vector_safe,4,1,7.0591321996058936,1.2765366903789066,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,stale_routed,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,stale_routed,middle,benchmark_vector_safe,4,1,6.378056716938542,2.8354062622680414,largest actually tested within-phase joint policy
O3_contiguous_group,gsm8k,stale_routed,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,layer_bypass,early,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,layer_bypass,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,layer_bypass,late,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,layer_bypass,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,layer_bypass,middle,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,layer_bypass,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_bypass,early,benchmark_vector_safe,4,3,0.2090044515051455,0.16369293955774092,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_bypass,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_bypass,late,benchmark_vector_safe,4,1,3.7960568354294644,0.6524472685894391,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_bypass,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_bypass,middle,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_bypass,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_only,early,benchmark_vector_safe,4,2,0.0039317875671999545,0.003079388309467152,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_only,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_only,late,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_only,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_only,middle,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,routed_only,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,stale_routed,early,benchmark_vector_safe,4,4,0.2118463017172209,0.16591868552462027,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,stale_routed,early,final_trajectory_exact,4,4,0.2118463017172209,0.16591868552462027,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,stale_routed,late,benchmark_vector_safe,4,2,3.7960568354294644,0.6524472685894391,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,stale_routed,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,stale_routed,middle,benchmark_vector_safe,4,3,10.430888722751487,4.787614941106639,largest actually tested within-phase joint policy
O3_contiguous_group,humaneval,stale_routed,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
