dataset,repeat,layer,phase,waves,live_ratio_median,input_hidden_norm_median,output_hidden_norm_median,residual_update_norm_median,relative_l2_update_median,output_cosine_median,attention_update_norm_median,moe_update_norm_median,moe_to_total_update_norm_ratio_median,routed_output_norm_median,shared_output_norm_median,moe_output_norm_median
gsm8k,r1,3,late,36,0.1808347902097902,107.39399719238281,132.7303123474121,36.79323768615723,0.3473348634910709,0.9747740924358368,21.775511741638184,26.13945484161377,0.7059558794632845,19.110257148742676,15.771313190460205,26.13848876953125
gsm8k,r1,3,middle,27,0.44455645161290325,229.107421875,278.5245056152344,71.35255432128906,0.31826122339102686,0.9784722328186035,41.46441650390625,50.782073974609375,0.7113852978331414,35.3662223815918,32.430362701416016,50.78399658203125
gsm8k,r1,4,early,2,0.90380859375,243.52816009521484,298.41282653808594,66.89749526977539,0.2738243016230022,0.9898845255374908,27.08501625061035,58.26634216308594,0.8745494306838819,19.419429779052734,52.77543640136719,58.26812553405762
gsm8k,r1,4,late,36,0.1808347902097902,132.7303123474121,169.63741302490234,49.95163917541504,0.3753780879746349,0.9758220016956329,22.418169021606445,41.943471908569336,0.8290697776246989,24.844273567199707,30.783167839050293,41.946855545043945
gsm8k,r1,4,middle,27,0.44455645161290325,278.5245056152344,351.837890625,98.40924072265625,0.3503792035519745,0.9779527187347412,43.353599548339844,84.33003234863281,0.8596732413029646,47.6649284362793,63.13597106933594,84.32771301269531
gsm8k,r1,5,early,2,0.90380859375,298.41282653808594,364.69468688964844,81.84447860717773,0.2738923892091324,0.9894468784332275,46.839548110961914,51.7407169342041,0.6318225871197178,23.597323417663574,43.290138244628906,51.74061965942383
gsm8k,r1,5,late,36,0.1808347902097902,169.63741302490234,212.65032196044922,56.35219764709473,0.3238084839710229,0.9818743765354156,33.436580657958984,35.96582221984863,0.6407699661254141,22.431058883666992,25.515942573547363,35.96712684631348
gsm8k,r1,5,middle,27,0.44455645161290325,351.837890625,436.36370849609375,111.21054077148438,0.3189944042604038,0.9828034043312073,65.12091827392578,72.49762725830078,0.6499318298338876,43.76716613769531,52.39101791381836,72.4979248046875
gsm8k,r1,6,early,2,0.90380859375,364.69468688964844,436.8147735595703,97.93995666503906,0.2682682676835284,0.98626708984375,54.03354454040527,68.84226417541504,0.7028712920539743,34.56324768066406,55.33358383178711,68.84037971496582
gsm8k,r1,6,late,36,0.1808347902097902,212.65032196044922,258.7296676635742,65.47524642944336,0.3094687957994565,0.9798747897148132,34.29498481750488,49.26106834411621,0.7486891494014507,32.50189018249512,33.58803749084473,49.26219367980957
gsm8k,r1,6,middle,27,0.44455645161290325,436.36370849609375,529.3362426757812,132.21762084960938,0.2944812409279929,0.9813969731330872,70.02883911132812,98.07608795166016,0.741057719620924,61.138099670410156,68.71900939941406,98.07823181152344
gsm8k,r1,7,early,2,0.90380859375,436.8147735595703,491.21649169921875,95.10485458374023,0.2171469618261892,0.9858556985855103,61.420806884765625,81.89887237548828,0.8633548995698648,43.56578826904297,64.67952537536621,81.89924621582031
gsm8k,r1,7,late,36,0.1808347902097902,258.7296676635742,295.2879333496094,70.68294906616211,0.26776170465650484,0.9776701629161835,43.623647689819336,60.12430000305176,0.841930867504578,42.143592834472656,38.8184928894043,60.123619079589844
gsm8k,r1,7,middle,27,0.44455645161290325,529.3362426757812,600.681884765625,136.03721618652344,0.2559404192589609,0.9793680310249329,84.54566192626953,114.0444107055664,0.8482573252818024,74.68595123291016,78.60230255126953,114.0438003540039
gsm8k,r1,8,early,2,0.90380859375,491.21649169921875,591.0484313964844,143.15526580810547,0.29080299963583833,0.9819364547729492,73.10470199584961,131.27758026123047,0.9175984863243352,67.08696556091309,103.71772766113281,131.2775993347168
gsm8k,r1,8,late,36,0.1808347902097902,295.2879333496094,359.745849609375,97.3199234008789,0.31742349790093904,0.9756473004817963,49.36505317687988,86.44227981567383,0.8907936389226632,55.10371208190918,59.132225036621094,86.44269561767578
gsm8k,r1,8,middle,27,0.44455645161290325,600.681884765625,721.84326171875,186.65843200683594,0.30615265969872896,0.9764887094497681,95.8304443359375,170.03880310058594,0.9113604217548633,107.88932037353516,117.97982788085938,170.03750610351562
gsm8k,r1,9,early,2,0.90380859375,591.0484313964844,718.7044982910156,181.1810531616211,0.30649046748671893,0.9806441366672516,100.64101028442383,155.63091278076172,0.8593931394195572,79.69506454467773,125.02880096435547,155.6325225830078
gsm8k,r1,9,late,36,0.1808347902097902,359.745849609375,420.0038757324219,105.5947494506836,0.29183857834797067,0.9753904342651367,61.075584411621094,92.13197326660156,0.8510452804557894,64.3979663848877,58.307050704956055,92.13003921508789
gsm8k,r1,9,middle,27,0.44455645161290325,721.84326171875,849.0774536132812,210.4748077392578,0.295645151637203,0.9765486121177673,122.57552337646484,184.39112854003906,0.8741114582695884,120.20014190673828,127.25910949707031,184.40438842773438
gsm8k,r1,10,early,2,0.90380859375,718.7044982910156,907.4992065429688,249.42674255371094,0.34660540778823434,0.9796992540359497,125.6357192993164,217.86134338378906,0.8738936456614159,99.14570617675781,181.63269805908203,217.85697174072266
gsm8k,r1,10,late,36,0.1808347902097902,420.0038757324219,524.6118774414062,154.42754364013672,0.3846593431470092,0.9703018665313721,77.00382614135742,139.0524444580078,0.8981617871219926,81.5139045715332,103.03825759887695,139.04723358154297
gsm8k,r1,10,middle,27,0.44455645161290325,849.0774536132812,1090.316650390625,331.6424865722656,0.39461071225276007,0.9717137217521667,153.3724822998047,305.4514465332031,0.9202226439499523,161.63272094726562,237.7409210205078,305.4524841308594
gsm8k,r1,11,early,2,0.90380859375,907.4992065429688,1067.0499572753906,261.55309295654297,0.2881406099825774,0.9778832495212555,164.619140625,252.28589630126953,0.9656001518941164,134.00787734985352,198.7940902709961,252.2861557006836
gsm8k,r1,11,late,36,0.1808347902097902,524.6118774414062,604.1426696777344,149.7471160888672,0.28278583598474727,0.9744684994220734,91.04218673706055,133.6734619140625,0.9019341875953619,91.00564956665039,88.87226486206055,133.68050384521484
gsm8k,r1,11,middle,27,0.44455645161290325,1090.316650390625,1251.5726318359375,305.3841247558594,0.28052996371310557,0.9751444458961487,188.67620849609375,292.9112854003906,0.9627364398325263,187.62356567382812,206.47401428222656,292.9190673828125
gsm8k,r1,12,early,2,0.90380859375,1067.0499572753906,1208.3734130859375,259.3245544433594,0.24259566043171393,0.9817086160182953,183.19062042236328,246.0462646484375,0.9506552419516019,122.24495697021484,202.52108764648438,246.04461669921875
gsm8k,r1,12,late,36,0.1808347902097902,604.1426696777344,717.4496765136719,183.3921356201172,0.30321611884373256,0.9771119356155396,105.21672821044922,164.3216094970703,0.8831465668432156,100.45656204223633,123.49897003173828,164.33084106445312
gsm8k,r1,12,middle,27,0.44455645161290325,1251.5726318359375,1461.8721923828125,349.2400207519531,0.278822739343667,0.978870689868927,213.90396118164062,318.48583984375,0.9247265382997225,180.46018981933594,245.32647705078125,318.4786071777344
gsm8k,r1,13,early,2,0.90380859375,1208.3734130859375,1489.8365478515625,406.62474060058594,0.33691389021189555,0.9761636555194855,245.63115692138672,328.92266845703125,0.8085282371715026,184.47330474853516,251.8111343383789,328.92596435546875
gsm8k,r1,13,late,36,0.1808347902097902,717.4496765136719,832.7107543945312,216.5297393798828,0.3062754765112141,0.9722983241081238,132.49433517456055,197.92941284179688,0.9091658518497348,140.0968780517578,127.67776107788086,197.9426040649414
gsm8k,r1,13,middle,27,0.44455645161290325,1461.8721923828125,1730.661376953125,454.8572692871094,0.30822186193290624,0.9737492799758911,276.1808776855469,413.239501953125,0.907663621593137,272.84820556640625,276.49560546875,413.24957275390625
gsm8k,r1,14,early,2,0.90380859375,1489.8365478515625,1710.0343627929688,431.521728515625,0.28925712977603113,0.9730161130428314,287.0862579345703,371.2574920654297,0.860181545391604,254.40877532958984,238.74667358398438,371.2575988769531
gsm8k,r1,14,late,36,0.1808347902097902,832.7107543945312,1019.0307922363281,303.1327819824219,0.35152872667535606,0.9675832986831665,175.47842407226562,263.87027740478516,0.8796826325969614,190.45033264160156,156.0819854736328,263.8898468017578
gsm8k,r1,14,middle,27,0.44455645161290325,1730.661376953125,2081.743896484375,596.9564819335938,0.33714884510154836,0.9684857726097107,344.36004638671875,542.531982421875,0.9050197631336394,383.73974609375,319.0583801269531,542.50390625
gsm8k,r1,15,early,2,0.90380859375,1710.0343627929688,2002.3557739257812,517.8157501220703,0.30288243248920155,0.9733408093452454,321.4801788330078,441.8026428222656,0.8530017683927084,285.12818908691406,312.9739990234375,441.7932434082031
gsm8k,r1,15,late,36,0.1808347902097902,1019.0307922363281,1159.4884643554688,300.8081359863281,0.2974173065646408,0.9708973467350006,187.758544921875,273.0998229980469,0.8942780018183855,189.45548248291016,182.2655487060547,273.09535217285156
gsm8k,r1,15,middle,27,0.44455645161290325,2081.743896484375,2416.984619140625,652.4398803710938,0.31560531915060774,0.9712866544723511,371.022705078125,601.448974609375,0.9218458170694345,376.3180236816406,437.520751953125,601.508056640625
gsm8k,r1,16,early,2,0.90380859375,2002.3557739257812,2364.111572265625,628.3562316894531,0.3139041958957336,0.9721217155456543,404.38824462890625,538.9057464599609,0.8570315094841503,362.08331298828125,368.2597198486328,538.9013214111328
