config_id,assignments,fanout,remote_fraction_actual,active_experts_per_active_rank,critical_rank_assignments,remote_assignments,remote_dispatch_bytes,combine_bytes,repetition,dispatch_ms,expert_ms,combine_ms,total_ms,total_transport_bytes,fragmentation_proxy
21,256,4,0.5,2,128,128,525568,1048576,14.5,0.5178239941596985,0.3157920092344284,0.05747199989855285,0.5910080075263977,2099712,0.015625
22,4096,2,0.75,8,3072,3072,12613632,16777216,14.5,0.3320799916982651,0.32683199644088745,0.3622080087661743,0.6337759792804718,42004480,0.0026041666666666665
23,1024,4,0.75,2,256,768,3153408,4194304,14.5,0.49115198850631714,0.3203840106725693,0.05742399953305715,0.5904000103473663,10501120,0.0078125
24,1024,3,0.5,2,512,512,2102272,4194304,14.5,0.5148319900035858,0.32867200672626495,0.38827200233936304,0.6351840198040009,8398848,0.00390625
25,1024,2,0.75,16,768,768,3153408,4194304,14.5,0.41855999827384943,0.317440003156662,0.3762719929218292,0.6167519986629486,10501120,0.020833333333333332
26,256,3,0.75,16,96,192,788352,1048576,14.5,0.4527359902858734,0.32307200133800507,0.3801919966936111,0.6149440109729767,2625280,0.16666666666666666
27,256,4,0.5,16,128,128,525568,1048576,14.5,0.45790399610996246,0.3205440044403076,0.05684800073504445,0.5939359962940216,2099712,0.125
28,4096,3,0.25,2,3072,1024,4204544,16777216,14.5,0.549888014793396,0.4113919883966446,0.436719998717308,0.6862559914588928,25186304,0.0006510416666666666
29,1024,3,0.5,16,512,512,2102272,4194304,14.5,0.44286400079727173,0.32307200133800507,0.3806400001049042,0.6048800051212311,8398848,0.03125
30,1024,2,0.5,2,512,512,2102272,4194304,14.5,0.4748640060424804,0.3161759972572326,0.36985599994659424,0.6025440096855164,8398848,0.00390625
31,4096,3,0.25,8,3072,1024,4204544,16777216,14.5,0.5220479965209961,0.41284799575805664,0.4318079948425293,0.6878719925880432,25186304,0.0026041666666666665
32,4096,2,0.5,8,2048,2048,8409088,16777216,14.5,0.4056000113487243,0.3325920104980469,0.3757440000772476,0.646943986415863,33595392,0.00390625
33,1024,2,0.25,2,768,256,1051136,4194304,14.5,0.4897119998931885,0.31324799358844757,0.3693279922008514,0.60657599568367,6296576,0.0026041666666666665
34,4096,4,0.75,2,1024,3072,12613632,16777216,14.5,0.45878399908542633,0.32635200023651123,0.060288000851869555,0.6022879779338837,42004480,0.001953125
35,1024,3,0.75,8,384,768,3153408,4194304,14.5,0.45470400154590607,0.31632000207901,0.37331199645996094,0.6035040020942688,10501120,0.020833333333333332
36,1024,3,0.25,8,768,256,1051136,4194304,14.5,0.46728000044822693,0.32094399631023407,0.38321600854396815,0.6305760145187378,6296576,0.010416666666666666
37,256,2,0.25,8,192,64,262784,1048576,14.5,0.47895999252796173,0.3181599974632263,0.3797599971294403,0.6159839928150177,1574144,0.041666666666666664
38,4096,4,0.5,8,2048,2048,8409088,16777216,14.5,0.4511200040578842,0.3415680080652237,0.0562080014497041,0.6082560122013092,33595392,0.00390625
39,1024,4,0.5,2,512,512,2102272,4194304,14.5,0.503600001335144,0.32363200187683105,0.056175999343395205,0.5927519798278809,8398848,0.00390625
40,256,3,0.75,8,96,192,788352,1048576,14.5,0.5932799875736237,0.3792479932308197,0.4498880058526993,0.780271977186203,2625280,0.08333333333333333
41,1024,4,0.5,8,512,512,2102272,4194304,14.5,0.4734079986810684,0.31355200707912445,0.0542879998683929,0.5921599864959717,8398848,0.015625
