request_id,category,budget,seed,chunks,tile_sum,padding_sum,frag_mean,p10_batch
color_wheel,fine_grained,128,0,2,6709,276064,1.0065382642830272,1.0
color_wheel,fine_grained,128,1,2,4759,249280,0.5069253842219922,0.5
color_wheel,fine_grained,128,2,2,7447,329024,1.0054103510221555,1.0
color_wheel,fine_grained,128,3,2,8091,340992,1.0026168067912522,1.0
color_wheel,fine_grained,128,4,2,4759,249280,0.5069253842219922,0.5
color_wheel,fine_grained,128,5,2,4759,249280,0.5069253842219922,0.5
color_wheel,fine_grained,128,6,2,4759,249280,0.5069253842219922,0.5
color_wheel,fine_grained,128,7,2,4759,249280,0.5069253842219922,0.5
color_wheel,fine_grained,128,8,2,8148,341472,1.0032861594766713,1.0
color_wheel,fine_grained,128,9,2,7603,333024,1.004838012101134,1.0
color_wheel,fine_grained,256,0,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,256,1,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,256,2,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,256,3,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,256,4,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,256,5,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,256,6,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,256,7,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,256,8,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,256,9,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,512,0,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,512,1,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,512,2,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,512,3,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,512,4,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,512,5,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,512,6,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,512,7,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,512,8,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,512,9,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,1024,0,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,1024,1,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,1024,2,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,1024,3,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,1024,4,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,1024,5,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,1024,6,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,1024,7,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,1024,8,1,4759,249280,1.0138507684439844,1.0
color_wheel,fine_grained,1024,9,1,4759,249280,1.0138507684439844,1.0
coffee,natural,128,0,2,10150,405856,1.0029937547841143,1.0
coffee,natural,128,1,3,10207,565696,0.6670027047543038,1.0
coffee,natural,128,2,3,13687,666016,1.0000701459034793,1.0
coffee,natural,128,3,2,10195,406752,1.0034001201283027,1.0
coffee,natural,128,4,2,10138,405504,1.0028700044772976,1.0
coffee,natural,128,5,2,10150,405856,1.0029937547841143,1.0
coffee,natural,128,6,2,10204,565504,1.0017082605156533,1.0
coffee,natural,128,7,3,13500,658016,1.0,1.0
coffee,natural,128,8,3,12207,431024,1.0035502769121143,1.0
coffee,natural,128,9,2,10208,565760,1.0017091619232916,1.0
coffee,natural,256,0,2,6029,279872,1.0086552467916987,1.0
coffee,natural,256,1,2,8456,314960,1.0069208022439662,1.0
coffee,natural,256,2,2,9315,386208,1.0050586546679898,1.0
coffee,natural,256,3,2,9361,387456,1.0049754144195118,1.0
coffee,natural,256,4,2,5650,274048,0.5088406239541253,0.5
coffee,natural,256,5,2,5650,274048,0.5088406239541253,0.5
coffee,natural,256,6,2,9255,384736,1.005336559207798,1.0
coffee,natural,256,7,2,9315,386208,1.0050586546679898,1.0
coffee,natural,256,8,2,9589,393536,1.00423898265916,1.0
coffee,natural,256,9,2,9471,390624,1.0046920156731367,1.0
coffee,natural,512,0,1,5650,274048,1.0176812479082507,2.0
coffee,natural,512,1,1,5650,274048,1.0176812479082507,2.0
coffee,natural,512,2,1,5650,274048,1.0176812479082507,2.0
coffee,natural,512,3,1,5650,274048,1.0176812479082507,2.0
coffee,natural,512,4,1,5650,274048,1.0176812479082507,2.0
coffee,natural,512,5,1,5650,274048,1.0176812479082507,2.0
coffee,natural,512,6,1,5650,274048,1.0176812479082507,2.0
coffee,natural,512,7,1,5650,274048,1.0176812479082507,2.0
coffee,natural,512,8,1,5650,274048,1.0176812479082507,2.0
coffee,natural,512,9,1,5650,274048,1.0176812479082507,2.0
coffee,natural,1024,0,1,5650,274048,1.0176812479082507,2.0
coffee,natural,1024,1,1,5650,274048,1.0176812479082507,2.0
coffee,natural,1024,2,1,5650,274048,1.0176812479082507,2.0
coffee,natural,1024,3,1,5650,274048,1.0176812479082507,2.0
coffee,natural,1024,4,1,5650,274048,1.0176812479082507,2.0
coffee,natural,1024,5,1,5650,274048,1.0176812479082507,2.0
coffee,natural,1024,6,1,5650,274048,1.0176812479082507,2.0
coffee,natural,1024,7,1,5650,274048,1.0176812479082507,2.0
coffee,natural,1024,8,1,5650,274048,1.0176812479082507,2.0
coffee,natural,1024,9,1,5650,274048,1.0176812479082507,2.0
moon,natural,128,0,3,10210,555136,0.6699745683562242,1.0
moon,natural,128,1,3,13991,656448,1.0025347364958723,1.0
moon,natural,128,2,3,12412,433296,1.0099185956725745,1.0
moon,natural,128,3,3,10649,564800,1.0033002810629743,1.0
moon,natural,128,4,3,11629,579280,1.0033080391237588,1.0
moon,natural,128,5,3,10268,558848,0.6698706816200789,1.0
moon,natural,128,6,3,13912,654240,1.0022400869870662,1.0
moon,natural,128,7,3,13718,500352,1.0068229957765504,1.0
moon,natural,128,8,2,10268,558848,1.0048232617393764,1.0
moon,natural,128,9,2,10061,545600,1.004855793631213,1.0
moon,natural,256,0,2,9191,375936,1.0145034465008569,1.0
moon,natural,256,1,2,9840,393216,1.0110690548274937,1.0
moon,natural,256,2,2,9869,393856,1.011245749997699,1.0
moon,natural,256,3,2,5751,269760,0.5203003940433577,0.5
moon,natural,256,4,2,6699,284496,1.0198653475528174,1.0
moon,natural,256,5,2,9762,391328,1.011449173294037,1.0
moon,natural,256,6,2,9840,393216,1.0110690548274937,1.0
moon,natural,256,7,2,10084,398816,1.0107766918585046,1.0
moon,natural,256,8,2,9953,395872,1.0113502910463952,1.0
moon,natural,256,9,2,5751,269760,0.5203003940433577,0.5
moon,natural,512,0,1,5751,269760,1.0406007880867154,2.0
moon,natural,512,1,1,5751,269760,1.0406007880867154,2.0
