Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,305793,234,1306.8,1344.0,1152,1536,81.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,287232,192,1496.0,1440.0,1408,1824,96.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<int, int, bool, at::native::<unnamed>::CompareEqFunctor<int>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,243967,192,1270.7,1312.0,1120,1504,85.8,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,224768,16,14048.0,13616.0,12096,16736,1580.3,"void at::cuda::kernelHistogram1D<long, long, long, (int)1, (int)2, (int)-1, (at::cuda::CUDAHistogramMemoryType)0, bool at::cuda::CUDA_tensor_histogram<long, long, (bool)0>(at::Tensor, at::Tensor, at::Tensor, long, at::AccumulateType<T2, (bool)1>::type, at::AccumulateType<T2, (bool)1>::type, at::cuda::TensorArgType, at::cuda::TensorArgType, at::cuda::TensorArgType)::[lambda(long) (instance 2)]>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, long, at::AccumulateType<T2, (bool)1>::type, at::AccumulateType<T2, (bool)1>::type, T3, T8)"
0.0,199584,8,24948.0,24896.0,24768,25216,163.1,nvjet_tst_128x112_64x7_2x1_v_bz_bias_TNT
0.0,176064,18,9781.3,9824.0,9280,10176,256.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,142112,56,2537.7,2336.0,1984,3520,403.0,"void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)0>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)"
0.0,106272,16,6642.0,6656.0,6336,6880,116.2,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::MinNanFunctor<long>>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,105280,16,6580.0,6544.0,6336,6912,171.3,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::MaxNanFunctor<long>>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,104864,16,6554.0,6480.0,6176,7008,245.2,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
