sample_id,category,edge,layer,policy,target_k,replicate,importance_slack,tokens,vision_tokens,assignments_dropped,vision_assignment_reduction,dropped_router_mass,rank0_before,rank1_before,rank2_before,rank3_before,rank0_after,rank1_after,rank2_after,rank3_after,max_rank_before,max_rank_after,max_rank_reduction,mean_rank_reduction,rank_cv_before,rank_cv_after,combined_rel_l2,vision_combined_rel_l2,combined_cosine,vision_token_cos_p01,vision_token_rel_p50,vision_token_rel_p99
astronaut_e336,natural,336,24,random,8,2,0.0,125,100,0,0.0,0.0,245,234,267,254,245,234,267,254,267,267,0.0,0.0,0.04841487374764082,0.04841487374764082,0.0,0.0,1.0,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,24,tail_aware,8,0,0.0,125,100,0,0.0,0.0,245,234,267,254,245,234,267,254,267,267,0.0,0.0,0.04841487374764082,0.04841487374764082,0.0,0.0,1.0,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,24,tail_aware,8,0,0.01,125,100,0,0.0,0.0,245,234,267,254,245,234,267,254,267,267,0.0,0.0,0.04841487374764082,0.04841487374764082,0.0,0.0,1.0,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,24,tail_aware,8,0,0.02,125,100,0,0.0,0.0,245,234,267,254,245,234,267,254,267,267,0.0,0.0,0.04841487374764082,0.04841487374764082,0.0,0.0,1.0,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,24,semantic,6,0,0.0,125,100,200,0.25,0.1907946765422821,245,234,267,254,177,185,222,216,267,222,0.1685393258426966,0.19999999999999996,0.04841487374764082,0.09663074045043844,0.2130047082901001,0.2269817441701889,0.9770719408988953,0.8779284954071045,0.2901528477668762,0.47885653376579285
astronaut_e336,natural,336,24,random,6,0,0.0,125,100,200,0.25,0.264619380235672,245,234,267,254,186,191,216,207,267,216,0.1910112359550562,0.19999999999999996,0.04841487374764082,0.060311690409074095,0.6588113307952881,0.7020414471626282,0.7527076601982117,0.367584764957428,0.4436696767807007,0.9323840737342834
astronaut_e336,natural,336,24,random,6,1,0.0,125,100,200,0.25,0.24895477294921875,245,234,267,254,195,188,215,202,267,215,0.19475655430711614,0.19999999999999996,0.04841487374764082,0.04987484335815001,0.4811057448387146,0.5126751661300659,0.8768669962882996,0.5227407217025757,0.43289852142333984,0.8516841530799866
astronaut_e336,natural,336,24,random,6,2,0.0,125,100,200,0.25,0.24232974648475647,245,234,267,254,193,181,215,211,267,215,0.19475655430711614,0.19999999999999996,0.04841487374764082,0.0687386354243376,0.4171167016029358,0.4444872736930847,0.9090461730957031,0.43083491921424866,0.4071708917617798,0.9024474620819092
astronaut_e336,natural,336,24,tail_aware,6,0,0.0,125,100,200,0.25,0.1907946765422821,245,234,267,254,190,189,212,209,267,212,0.20599250936329583,0.19999999999999996,0.04841487374764082,0.05279678020485719,0.2099924385547638,0.22377179563045502,0.9777233600616455,0.8779284954071045,0.2901528477668762,0.47885653376579285
astronaut_e336,natural,336,24,tail_aware,6,0,0.01,125,100,200,0.25,0.19313816726207733,245,234,267,254,188,211,210,191,267,211,0.20973782771535576,0.19999999999999996,0.04841487374764082,0.05279678020485719,0.21953216195106506,0.23393751680850983,0.9756268858909607,0.8752244114875793,0.309935986995697,0.4845188856124878
astronaut_e336,natural,336,24,tail_aware,6,0,0.02,125,100,200,0.25,0.19597412645816803,245,234,267,254,160,217,196,227,267,227,0.14981273408239704,0.19999999999999996,0.04841487374764082,0.1283062742035634,0.2285102754831314,0.24350474774837494,0.9735713005065918,0.870029628276825,0.3195105791091919,0.4930250644683838
astronaut_e336,natural,336,24,semantic,4,0,0.0,125,100,400,0.5,0.4035102128982544,245,234,267,254,135,138,160,167,267,167,0.37453183520599254,0.4,0.04841487374764082,0.09177266598624137,0.3362513780593872,0.358315646648407,0.9418779015541077,0.7094070911407471,0.48358142375946045,0.7051841020584106
astronaut_e336,natural,336,24,random,4,0,0.0,125,100,400,0.5,0.502173900604248,245,234,267,254,137,138,167,158,267,167,0.37453183520599254,0.4,0.04841487374764082,0.08602325267042626,0.7325014472007751,0.7805670499801636,0.681544303894043,0.35427701473236084,0.6798253655433655,0.9396975636482239
astronaut_e336,natural,336,24,random,4,1,0.0,125,100,400,0.5,0.49929505586624146,245,234,267,254,150,137,166,147,267,166,0.37827715355805247,0.4,0.04841487374764082,0.06944222218666553,0.7166441082954407,0.7636691331863403,0.6979872584342957,0.20837199687957764,0.671799898147583,0.9811204075813293
astronaut_e336,natural,336,24,random,4,2,0.0,125,100,400,0.5,0.5036745667457581,245,234,267,254,145,136,159,160,267,160,0.40074906367041196,0.4,0.04841487374764082,0.0668331255192114,0.7472636699676514,0.7962979078292847,0.6650224328041077,0.1318463534116745,0.6842654943466187,0.9951620101928711
astronaut_e336,natural,336,24,tail_aware,4,0,0.0,125,100,400,0.5,0.4035102128982544,245,234,267,254,142,144,157,157,267,157,0.41198501872659177,0.4,0.04841487374764082,0.0469041575982343,0.3332422077655792,0.3551090359687805,0.9429385662078857,0.7094070911407471,0.46076491475105286,0.7051841020584106
astronaut_e336,natural,336,24,tail_aware,4,0,0.01,125,100,400,0.5,0.4048303961753845,245,234,267,254,150,145,146,159,267,159,0.4044943820224719,0.4,0.04841487374764082,0.03681787005729087,0.33425962924957275,0.3561932444572449,0.9425889253616333,0.7094070911407471,0.4695902168750763,0.7051841020584106
astronaut_e336,natural,336,24,tail_aware,4,0,0.02,125,100,400,0.5,0.40808066725730896,245,234,267,254,148,151,143,158,267,158,0.40823970037453183,0.4,0.04841487374764082,0.036209268304000716,0.3431231379508972,0.3656383752822876,0.9393963813781738,0.7128300666809082,0.49703001976013184,0.7025653123855591
astronaut_e336,natural,336,24,semantic,2,0,0.0,125,100,600,0.75,0.6506486535072327,245,234,267,254,91,89,106,114,267,114,0.5730337078651686,0.6,0.04841487374764082,0.1041633332799983,0.48264145851135254,0.5143115520477295,0.8761041760444641,0.5021442174911499,0.6663769483566284,0.8646702766418457
astronaut_e336,natural,336,24,random,2,0,0.0,125,100,600,0.75,0.7582942247390747,245,234,267,254,92,87,113,108,267,113,0.5767790262172285,0.6,0.04841487374764082,0.1079351657246145,0.8593131303787231,0.9156999588012695,0.5120736360549927,0.13851132988929749,0.8762078881263733,0.991761326789856
astronaut_e336,natural,336,24,random,2,1,0.0,125,100,600,0.75,0.745377779006958,245,234,267,254,97,82,104,117,267,117,0.5617977528089888,0.6,0.04841487374764082,0.1262933094031509,0.7842617630958557,0.8357236981391907,0.6208150386810303,0.1663489192724228,0.8757734298706055,0.986677885055542
astronaut_e336,natural,336,24,random,2,2,0.0,125,100,600,0.75,0.7488913536071777,245,234,267,254,92,90,100,118,267,118,0.5580524344569289,0.6,0.04841487374764082,0.11045361017187261,0.814148485660553,0.8675715923309326,0.5814570784568787,0.1930444985628128,0.875450849533081,0.9812994003295898
astronaut_e336,natural,336,24,tail_aware,2,0,0.0,125,100,600,0.75,0.6506486535072327,245,234,267,254,93,90,105,112,267,112,0.5805243445692884,0.6,0.04841487374764082,0.08916277250063503,0.4834233820438385,0.5151448249816895,0.8756765723228455,0.5021442174911499,0.6663769483566284,0.8646702766418457
astronaut_e336,natural,336,24,tail_aware,2,0,0.01,125,100,600,0.75,0.6511058807373047,245,234,267,254,95,88,104,113,267,113,0.5767790262172285,0.6,0.04841487374764082,0.09407443861113389,0.4827009439468384,0.5143749713897705,0.8760795593261719,0.48936590552330017,0.6687009334564209,0.8720101118087769
astronaut_e336,natural,336,24,tail_aware,2,0,0.02,125,100,600,0.75,0.6528715491294861,245,234,267,254,95,98,99,108,267,108,0.5955056179775281,0.6,0.04841487374764082,0.048476798574163295,0.4850620925426483,0.5168911218643188,0.8747909069061279,0.4255180060863495,0.6768573522567749,0.9049997329711914
astronaut_e336,natural,336,24,semantic,1,0,0.0,125,100,700,0.875,0.7999326586723328,245,234,267,254,67,66,76,91,267,91,0.6591760299625469,0.7,0.04841487374764082,0.1336662510384228,0.5905158519744873,0.6292645931243896,0.8075615763664246,0.33915120363235474,0.8215069770812988,0.9407966732978821
astronaut_e336,natural,336,24,random,1,0,0.0,125,100,700,0.875,0.8774217367172241,245,234,267,254,67,65,79,89,267,89,0.6666666666666667,0.7,0.04841487374764082,0.12927146286443544,0.8975322842597961,0.9564269781112671,0.4412601888179779,0.080329030752182,0.9562007188796997,0.9983886480331421
astronaut_e336,natural,336,24,random,1,1,0.0,125,100,700,0.875,0.8768237233161926,245,234,267,254,63,64,80,93,267,93,0.651685393258427,0.7,0.04841487374764082,0.16519348924485155,0.8923068642616272,0.9508585929870605,0.45171013474464417,0.07338396459817886,0.9575647711753845,0.99921053647995
astronaut_e336,natural,336,24,random,1,2,0.0,125,100,700,0.875,0.8760151863098145,245,234,267,254,65,57,83,95,267,95,0.6441947565543071,0.7,0.04841487374764082,0.1986621923433512,0.897022545337677,0.9558837413787842,0.44235438108444214,0.08017528802156448,0.9534651041030884,0.9968559145927429
