policy,target_k,importance_slack,n,vision_assignment_reduction_median,vision_assignment_reduction_p10,vision_assignment_reduction_p90,dropped_router_mass_median,dropped_router_mass_p10,dropped_router_mass_p90,max_rank_reduction_median,max_rank_reduction_p10,max_rank_reduction_p90,mean_rank_reduction_median,mean_rank_reduction_p10,mean_rank_reduction_p90,combined_rel_l2_median,combined_rel_l2_p10,combined_rel_l2_p90,vision_combined_rel_l2_median,vision_combined_rel_l2_p10,vision_combined_rel_l2_p90,combined_cosine_median,combined_cosine_p10,combined_cosine_p90,vision_token_cos_p01_median,vision_token_cos_p01_p10,vision_token_cos_p01_p90,vision_token_rel_p99_median,vision_token_rel_p99_p10,vision_token_rel_p99_p90
tail_aware,1,0.0,27,0.875,0.875,0.875,0.8184561133384705,0.773035204410553,0.8372468590736389,0.7652859960552268,0.6697144173192078,0.820973326219903,0.7760180995475113,0.7,0.8280579399141631,0.6727249622344971,0.5612417578697204,0.7926871418952942,0.7371851205825806,0.6007288336753845,0.8425707936286926,0.7403546571731567,0.6095908999443054,0.8276433944702148,0.2788028120994568,0.23579465448856354,0.3391954302787781,0.9609865546226501,0.9408718943595886,0.9718237280845642
tail_aware,1,0.01,27,0.875,0.875,0.875,0.8190544247627258,0.773622453212738,0.8380437731742859,0.7777777777777778,0.6808659603869185,0.8307381420151557,0.7760180995475113,0.7,0.8280579399141631,0.6733788251876831,0.5613164663314819,0.7935715913772584,0.7368824481964111,0.5994606018066406,0.8437039613723755,0.7397480010986328,0.6084972739219665,0.8276013612747193,0.2810506522655487,0.24029187262058258,0.3288656294345856,0.960635244846344,0.9446438312530517,0.9712250113487244
tail_aware,1,0.02,27,0.875,0.875,0.875,0.8213484287261963,0.7748803496360779,0.8400609970092774,0.7769667477696675,0.678081463914052,0.8295940618152388,0.7760180995475113,0.7,0.8280579399141631,0.6706531047821045,0.5569878697395325,0.7957794785499573,0.7372877597808838,0.5991454601287842,0.8464811563491821,0.742233157157898,0.6056665062904358,0.8306213736534119,0.26444074511528015,0.2270653009414673,0.32185378670692444,0.9645585417747498,0.9476127028465271,0.9741068243980407
tail_aware,2,0.0,27,0.75,0.75,0.75,0.6796594262123108,0.6327802538871765,0.6976234912872314,0.638095238095238,0.5734643073403755,0.7050260338739601,0.6651583710407241,0.6,0.7097639484978541,0.5561760067939758,0.44969276785850526,0.7055184125900269,0.6248766183853149,0.4948360204696655,0.7460594773292542,0.8313049077987671,0.7090865015983582,0.8932824969291687,0.44603076577186584,0.40694333910942077,0.49682119488716125,0.8952875137329102,0.868415641784668,0.918521499633789
tail_aware,2,0.01,27,0.75,0.75,0.75,0.680536687374115,0.633631956577301,0.6990649819374084,0.6653279785809907,0.5844035006909258,0.7254435483870968,0.6651583710407241,0.6,0.7097639484978541,0.5608701705932617,0.4503296256065369,0.7078975200653077,0.6262302994728088,0.49482150077819825,0.7486520409584045,0.828167200088501,0.7067467927932739,0.8929596662521363,0.45060083270072937,0.405146461725235,0.4874676764011383,0.8941898941993713,0.8738103389739991,0.918372106552124
tail_aware,2,0.02,27,0.75,0.75,0.75,0.6826683878898621,0.6360062241554261,0.7024389147758484,0.6737588652482269,0.5917356052187513,0.7237035461541436,0.6651583710407241,0.6,0.7097639484978541,0.5610734820365906,0.45517939925193784,0.7116018652915955,0.6295033097267151,0.5007766366004944,0.7506518006324768,0.8278741836547852,0.7029495239257812,0.89051913022995,0.4272799491882324,0.3800597310066223,0.48675758838653566,0.9041958451271057,0.8739881992340088,0.9257717251777648
tail_aware,4,0.0,27,0.5,0.5,0.5,0.42832356691360474,0.3933180034160614,0.4462572455406189,0.4298310066127847,0.37195863746958635,0.4883213674594624,0.4434389140271493,0.4,0.473175965665236,0.3991096317768097,0.3281341135501862,0.5333367943763734,0.46057429909706116,0.3492539346218109,0.5641817808151245,0.9169751405715942,0.8461448550224304,0.944694709777832,0.6827899813652039,0.6166755080223083,0.716563606262207,0.7308676242828369,0.6986134052276611,0.7896178126335144
tail_aware,4,0.01,27,0.5,0.5,0.5,0.43082401156425476,0.3952076256275177,0.447790664434433,0.44877049180327866,0.4120067557193306,0.5347201673538685,0.4434389140271493,0.4,0.473175965665236,0.40426376461982727,0.32908512353897096,0.5378624081611634,0.46026986837387085,0.35085431337356565,0.5686262249946594,0.9147167801856995,0.8432787299156189,0.9443629503250122,0.6695064306259155,0.6113677024841309,0.7127322196960449,0.742865264415741,0.7016114950180053,0.7936020851135254
tail_aware,4,0.02,27,0.5,0.5,0.5,0.4359956681728363,0.3996124804019928,0.45245738625526427,0.46311475409836067,0.40188826466916355,0.5581876525710686,0.4434389140271493,0.4,0.473175965665236,0.40579989552497864,0.33482266068458555,0.5484737634658814,0.45867183804512024,0.35851248502731325,0.5785201311111451,0.9140375852584839,0.8364989042282105,0.9423144221305847,0.6616367697715759,0.6095963001251221,0.7048994302749634,0.7512169480323792,0.7112183213233948,0.794455373287201
tail_aware,6,0.0,27,0.25,0.25,0.25,0.20639961957931519,0.18748825192451476,0.216362801194191,0.22924320352681848,0.18401842664776755,0.27412738335822867,0.22171945701357465,0.19999999999999996,0.23658798283261806,0.26000943779945374,0.2104419320821762,0.355335158109665,0.2974661588668823,0.22442309856414794,0.37703124284744266,0.9656329154968262,0.9348033189773559,0.9776231169700622,0.834924578666687,0.785251772403717,0.8717411279678344,0.5507653951644897,0.4906181931495667,0.6199241399765015
