total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
512,16,48,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4504392353842377e-08,0.002840058645233512,0.9999959468841553
512,16,48,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4504392353842377e-08,0.002840058645233512,0.9999959468841553
512,32,32,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.476357347485191e-08,0.0028236359357833862,0.9999959468841553
512,32,32,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.476357347485191e-08,0.0028236359357833862,0.9999959468841553
512,32,32,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4647485002683425e-08,0.0028112854342907667,0.9999960660934448
512,32,32,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4647485002683425e-08,0.0028112854342907667,0.9999960660934448
512,64,0,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4662386860209153e-08,0.0028108018450438976,0.9999960660934448
512,64,0,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4662386860209153e-08,0.0028108018450438976,0.9999960660934448
512,64,0,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4014115201632649e-08,0.00283336010761559,0.9999960064888
512,64,0,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4014115201632649e-08,0.00283336010761559,0.9999960064888
1024,1,63,uniform,1024.0,1024,1024,0.0,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4643344314890783e-08,0.0028186507988721132,0.9999961256980896
1024,1,63,uniform,1024.0,1024,1024,0.0,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4643344314890783e-08,0.0028186507988721132,0.9999961256980896
1024,2,62,uniform,512.0,512,512,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4896597733127237e-08,0.0028214752674102783,0.9999960660934448
1024,2,62,uniform,512.0,512,512,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4896597733127237e-08,0.0028214752674102783,0.9999960660934448
1024,2,62,high_variance,512.0,1,1023,0.998046875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5053840840550947e-08,0.0028221122920513153,0.9999960660934448
1024,2,62,high_variance,512.0,1,1023,0.998046875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5053840840550947e-08,0.0028221122920513153,0.9999960660934448
1024,4,60,uniform,256.0,256,256,0.0,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.397356541588124e-08,0.0028136158362030983,0.9999959468841553
1024,4,60,uniform,256.0,256,256,0.0,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.397356541588124e-08,0.0028136158362030983,0.9999959468841553
1024,4,60,high_variance,256.0,1,511,0.99609375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4871515574554905e-08,0.0028372304514050484,0.9999959468841553
1024,4,60,high_variance,256.0,1,511,0.99609375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4871515574554905e-08,0.0028372304514050484,0.9999959468841553
1024,8,56,uniform,128.0,128,128,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4712824736307084e-08,0.002819867804646492,0.9999959468841553
1024,8,56,uniform,128.0,128,128,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4712824736307084e-08,0.002819867804646492,0.9999959468841553
1024,8,56,high_variance,128.0,1,255,0.9921875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4556554184252946e-08,0.002818905981257558,0.9999961256980896
1024,8,56,high_variance,128.0,1,255,0.9921875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4556554184252946e-08,0.002818905981257558,0.9999961256980896
1024,16,48,uniform,64.0,64,64,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4094721834112534e-08,0.002813836792483926,0.9999960064888
1024,16,48,uniform,64.0,64,64,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4094721834112534e-08,0.002813836792483926,0.9999960064888
1024,16,48,high_variance,64.0,1,127,0.984375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4670607839661898e-08,0.002822118578478694,0.9999960660934448
1024,16,48,high_variance,64.0,1,127,0.984375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4670607839661898e-08,0.002822118578478694,0.9999960660934448
1024,32,32,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4457332220274566e-08,0.0028179569635540247,0.9999960064888
1024,32,32,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4457332220274566e-08,0.0028179569635540247,0.9999960064888
1024,32,32,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.467128374343929e-08,0.0028289752081036568,0.9999960660934448
1024,32,32,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.467128374343929e-08,0.0028289752081036568,0.9999960660934448
1024,64,0,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.3909630780517546e-08,0.0028193171601742506,0.9999960660934448
1024,64,0,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.3909630780517546e-08,0.0028193171601742506,0.9999960660934448
1024,64,0,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4751170951399217e-08,0.002822057344019413,0.9999960064888
1024,64,0,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4751170951399217e-08,0.002822057344019413,0.9999960064888
