sample_id,category,layer,region,position,modality,pairwise_cosine,normalized_dispersion,participation_rank,router_entropy,router_effective_k,router_mass95_k,functional_k,cosine_m1,relative_l2_m1,cosine_m2,relative_l2_m2,cosine_m3,relative_l2_m3,cosine_m4,relative_l2_m4,cosine_m6,relative_l2_m6,cosine_m8,relative_l2_m8
astronaut,natural,4,early,44,visual,0.028747682213783547,0.9327246897813444,7.1582485415375325,2.0486209430367683,7.757196111291944,8,8,0.4868052789010164,2.390056332080976,0.6490822431355281,1.3698015886389043,0.7687464035132284,0.9531151797770128,0.8533433786865703,0.7055105791680714,0.940251504033251,0.3731394679299995,0.9999999999994857,0.0
astronaut,natural,4,early,48,visual,0.01780427092161036,0.9312712324834894,7.566428753148917,2.0647342439162086,7.883202610196118,8,8,0.5691829281824212,2.294051920757041,0.6784512771410974,1.3794513341057912,0.797419851812674,1.054961115923298,0.8609620319565372,0.7870091775044841,0.9405431469415213,0.41488281803454685,0.9999999999991391,0.0
astronaut,natural,4,early,50,visual,0.014385823610512428,0.9309394389070125,7.805945556816836,2.045682934940004,7.734438853182917,8,8,0.5978244507768867,2.0713153218676315,0.6860110976388404,1.3613382249662884,0.7690007202674427,1.0163157795531417,0.8274665908057102,0.7870990931237463,0.9290401693253579,0.4289639185569722,0.9999999999990267,0.0
astronaut,natural,4,early,53,visual,-0.003282843807960071,0.9404004470004702,7.734175773646685,2.0636763367771205,7.874867323632876,8,8,0.5506684157346973,2.800659570556748,0.6926029620495148,1.6226403759575145,0.7683101082784719,1.1592302587407932,0.8207822012012299,0.861231553250033,0.9195332902911472,0.4713300814914979,0.9999999999989032,0.0
astronaut,natural,4,early,54,visual,0.007818223138644834,0.936083498865998,7.648105299013654,2.0462344658874674,7.738705812143508,8,8,0.5909662116668033,2.529082193153667,0.7183585295878216,1.435364080225812,0.8206407246784805,1.0168676403794037,0.8877676475771531,0.7195850573568535,0.9475564033322209,0.37953912505788745,0.9999999999992155,2.2992483721009703e-16
astronaut,natural,4,early,55,visual,0.02352448047253745,0.9334824629575396,7.164052360040924,1.929333365257857,6.884918985213438,8,8,0.7388177497901384,1.5491845148201941,0.8130382408299831,1.0215315439854817,0.9114827988244177,0.7112073309483933,0.9362345628328955,0.5203568984790169,0.9771888997664621,0.2668082634886327,0.9999999999994922,0.0
astronaut,natural,4,early,56,visual,0.005438797177690421,0.9364611609507658,7.749305779944759,2.07304705002282,7.949007276771062,8,8,0.4607136302054255,2.66917273741637,0.5879216311707048,1.6204371479916901,0.7150669604119128,1.196629892371565,0.789092131142082,0.896917811273232,0.9026308328904266,0.5001664673571514,0.9999999999989632,0.0
astronaut,natural,4,early,62,visual,0.017283436983788262,0.9458890667152621,6.714359549991439,2.0743632017885263,7.959476264611165,8,8,0.393158202726859,2.324797299010455,0.5713047412573895,1.4810572207144082,0.6384219508193,1.1057919003849932,0.7979922072246538,0.8734336435486348,0.922107092034833,0.4558620576595509,0.9999999999992055,0.0
astronaut,natural,4,early,63,visual,0.009078091153505259,0.9390249216253954,7.399198042450884,2.0756234174829,7.969513244570311,8,8,0.4598356920660573,2.768123304136974,0.6801844948630584,1.7763443545559465,0.7510420782336491,1.2178172037405268,0.8120697002486741,0.8973538438223252,0.9242972042355081,0.4660320418618833,0.9999999999991335,0.0
astronaut,natural,4,early,65,visual,0.012050863858991432,0.9321595616272405,7.823269769067949,2.0619452927344963,7.8612473732338755,8,8,0.5260995267030814,2.5195120791584404,0.6433037666833732,1.5447088289434112,0.7573177874806204,1.0795332660823869,0.8229648616603803,0.8044280371396543,0.9143751995997816,0.45636991609292826,0.999999999999043,0.0
astronaut,natural,4,early,68,visual,0.03918660977590468,0.9349036318100371,6.699981728198467,1.9783896040710527,7.23108868787841,8,8,0.8079186647825463,2.090346832293715,0.8618304180057406,1.1923624075488837,0.8983985852834822,0.7882157969666763,0.9348928908226526,0.534433829201768,0.9850680700882594,0.2140246328720991,0.999999999999761,0.0
astronaut,natural,4,early,69,visual,0.01841459951500091,0.9451286208195083,6.7427194230438845,2.0705494865876437,7.929178898474113,8,8,0.45842097550854005,2.291750648049963,0.7277616546292969,1.6595411643674167,0.8023464098248974,1.097339627626896,0.8510890316829482,0.8151528924293014,0.9286486935474844,0.4383942764871553,0.9999999999992438,0.0
astronaut,natural,4,early,70,visual,0.020937406322275563,0.9393034981395812,7.073636287381213,2.0750730776030335,7.965128510266442,8,8,0.48030911408102245,2.8184068952438297,0.6075990142328114,1.6454342790769962,0.7206124561567282,1.1741931595131234,0.7625716792501736,0.8812000869430918,0.9086087078403107,0.47195675199468023,0.9999999999992654,0.0
astronaut,natural,4,early,74,visual,0.01840459544152274,0.9290031303469011,7.784992211697392,2.0597236488532595,7.843801867134665,8,8,0.4471883784417041,2.148354813887037,0.682457801767095,1.4213240220071892,0.766774879459725,1.0436127892313827,0.8309148653202892,0.7884677929786592,0.9268461024233962,0.4212653173489555,0.9999999999991174,0.0
astronaut,natural,4,early,77,visual,0.009706188860804505,0.9367653773976288,7.5454208318267835,2.077753374001897,7.9865060518047954,8,8,0.3212778513254904,2.39032436961906,0.4976978731596935,1.526745468422959,0.614475636605253,1.1579379750516123,0.6922591013883729,0.9113515849377336,0.8509740321470924,0.5692569872779728,0.999999999998818,0.0
astronaut,natural,4,early,81,visual,0.025970232455457123,0.9328371234073523,7.1713808685465645,2.0642877396363244,7.879683512196096,8,8,0.5277327098596021,2.260946548197214,0.6690481698579378,1.432823072597313,0.7662798859723516,1.0109949489859607,0.820133071599849,0.7547156273058421,0.9408819963542902,0.4076374689533055,0.9999999999993474,0.0
astronaut,natural,4,early,89,visual,0.020073435330943357,0.9361499134375464,7.204198352483581,2.079016347760851,7.996599171705112,8,8,0.3470377469220388,2.158852305752716,0.4975388269838567,1.452703853978519,0.6073234510316411,1.1406179536403027,0.7121598270811728,0.9012046316043405,0.8233445320417186,0.6066537579760357,0.9999999999987752,0.0
astronaut,natural,4,early,91,visual,0.02427379537886836,0.9328150998175142,7.357553452690284,2.073176460122641,7.950036025160006,8,8,0.40853543166527484,2.146053130300026,0.5940754014978372,1.4868011536801764,0.7483667852837717,1.110541795005285,0.8032906706523398,0.8292451857914003,0.934584182752266,0.41672543439598025,0.9999999999988756,0.0
astronaut,natural,4,early,92,visual,0.04108469334015124,0.9204379799224649,7.520239488583637,2.0504743921293622,7.771587011666388,8,8,0.624145817389838,2.1566568091082137,0.7684389818785213,1.27067893433768,0.8225114528691432,0.9209412762691549,0.8912321474002913,0.6680291064750732,0.9523156001129209,0.35807154768967564,0.9999999999994912,2.1929242802328395e-16
astronaut,natural,4,early,95,visual,0.005589792148368957,0.9409354132637376,7.292131744502811,2.0764331071524627,7.975968690217027,8,8,0.3404309095042985,2.407680125309142,0.5397766762699221,1.582891457168487,0.6243623435830338,1.1911425141035354,0.7053124823881048,0.9169712276577914,0.8561907292303038,0.5600161123843141,0.999999999998707,0.0
astronaut,natural,4,early,102,visual,0.016378760215874665,0.9408371653319987,7.119082484088177,2.051607789579342,7.780400302104707,8,8,0.5286633521847373,2.4619608677769667,0.6403942686253026,1.4649353518782995,0.7955260379717082,1.0215104973182336,0.8464593270149633,0.7594225073594006,0.9532246645495103,0.37341690938999916,0.9999999999991434,0.0
astronaut,natural,4,early,108,visual,0.01689755705014636,0.9419083772697562,7.01595236588773,2.0754381827177504,7.9680371503722975,8,8,0.3829479358795907,2.5024280566872537,0.5428354965704374,1.502267420006802,0.6567377189710135,1.1160773423581254,0.8053910297954033,0.8761961027845925,0.9045233829714092,0.4994494807721902,0.9999999999988437,0.0
astronaut,natural,4,early,109,visual,0.019140607592833477,0.937258075451915,7.2294337643749715,2.0684215480058565,7.912324032194356,8,8,0.5719453259072161,2.594789595517095,0.6582339156528169,1.52324713970366,0.7586699566292482,1.074542862491353,0.8573975923163961,0.7950760062239096,0.938926407043163,0.4224844193356649,0.9999999999990484,0.0
astronaut,natural,4,early,114,visual,0.009523413076008624,0.939289507635309,7.429616723995922,2.0666243219241522,7.898116567913682,8,8,0.39858378674180794,1.9921518629379638,0.5710759585659223,1.4316371407867357,0.7189966578248441,1.1326115576330784,0.7896532072521755,0.8531172168526768,0.9302228374834355,0.4272169319945428,0.9999999999986083,0.0
astronaut,natural,4,early,125,visual,0.021243117490476273,0.9343130799287066,7.35666733107374,2.072797799178886,7.947026226898323,8,8,0.5520680623719921,2.564829168020152,0.6553483673020634,1.446318278190527,0.7089621347990925,1.0356213478822256,0.7852063851092578,0.8293568729437383,0.9125151120268008,0.4677376029160675,0.9999999999991194,0.0
astronaut,natural,4,early,130,visual,0.00927701133817864,0.9398420180175511,7.396515793639669,2.0642537145372586,7.879415409745119,8,8,0.4045537826722424,2.0665931584805897,0.653925111837245,1.4722448420312835,0.7313598443734706,1.0489516448306742,0.7814594590980222,0.8219863613404583,0.8953384983133652,0.5010699302502111,0.9999999999989919,0.0
astronaut,natural,4,early,132,visual,0.04289058138863688,0.9204516922860466,7.4724700502623955,2.0755919222175114,7.9692622465883,8,8,0.44493837164648853,2.025576751074166,0.5845883796138807,1.342197878519165,0.7209204849761925,1.04139163008312,0.7922571262935173,0.8068275957106751,0.9182007002140292,0.4518125037003899,0.9999999999992254,0.0
astronaut,natural,4,early,134,visual,0.006745867331862198,0.934142270266016,7.8416222021541975,2.0027286300981855,7.409245632156756,8,8,0.5890975477442397,2.198002365761324,0.7424967717346183,1.2834452000347267,0.8647538415393788,0.8343919713023084,0.8943844975012992,0.6395161575200717,0.9508395476259598,0.36215176108049396,0.999999999999468,0.0
astronaut,natural,4,early,135,visual,0.003972459755019232,0.9359955692369062,7.807287112810038,2.0354041078870257,7.655345085818799,8,8,0.5376509305367898,2.438865344010288,0.7173894935158627,1.41498648937904,0.8085714921574387,1.0048495649320346,0.8662587340270473,0.7277640789495786,0.9498700236741364,0.3590454094826427,0.9999999999990219,0.0
astronaut,natural,4,early,140,visual,0.007411535777096144,0.9367653851094984,7.668618209245312,2.0726816086150084,7.9461029110812,8,8,0.49861268924147467,2.438194019673132,0.5842697184481841,1.531237344083144,0.7033610806145674,1.170280791443571,0.7984460219991327,0.869975770004738,0.9201582703161737,0.459805681597184,0.9999999999987785,0.0
astronaut,natural,4,early,141,visual,0.012273959088270375,0.9348600828432537,7.593743588960828,2.063209151113324,7.871189157775056,8,8,0.44969862825684076,2.1544410339041282,0.6752770121686604,1.38730718051491,0.7516648510471823,1.0381740116618512,0.8064712896792009,0.8161125080210778,0.9223385670937634,0.44715112591215844,0.9999999999989553,2.162655258735856e-16
