sample_id,layer,modality,stock_cosine,stock_relative_l2
camera,24,visual,0.9999960064888,0.0028167415875941515
camera,24,visual,0.9999963045120239,0.002747953636571765
camera,24,visual,0.9999964237213135,0.0027269283309578896
camera,24,visual,0.9999963641166687,0.002715405775234103
camera,24,visual,0.9999966621398926,0.0026128271128982306
camera,24,visual,0.9999964237213135,0.0026924728881567717
camera,24,visual,0.9999969005584717,0.002517843618988991
camera,24,visual,0.9999964237213135,0.0026949208695441484
camera,24,visual,0.9999961853027344,0.002745651639997959
camera,24,visual,0.9999958276748657,0.0028962951619178057
camera,24,visual,0.9999958872795105,0.002915061078965664
camera,24,visual,0.9999960064888,0.0028545695822685957
camera,24,visual,0.9999961853027344,0.0027602112386375666
camera,24,visual,0.9999957084655762,0.0029241363517940044
camera,24,visual,0.9999973177909851,0.0023515322245657444
camera,24,visual,0.9999966621398926,0.0025805055629462004
camera,24,visual,0.9999964833259583,0.0026787729002535343
camera,24,visual,0.9999963641166687,0.0027325423434376717
camera,24,visual,0.9999966621398926,0.0026125041767954826
camera,24,visual,0.999996542930603,0.0025937131140381098
camera,24,visual,0.9999961256980896,0.002786936005577445
camera,24,visual,0.999997079372406,0.0024023710284382105
camera,24,visual,0.9999967217445374,0.002529393183067441
camera,24,visual,0.9999960660934448,0.002821705536916852
camera,24,visual,0.9999964237213135,0.002685633022338152
camera,24,visual,0.9999970197677612,0.00249611958861351
camera,24,visual,0.9999963641166687,0.0027440530247986317
camera,24,visual,0.999995768070221,0.002937890123575926
camera,24,visual,0.9999959468841553,0.002841965528205037
camera,24,visual,0.9999954104423523,0.0030330081935971975
camera,24,visual,0.9999959468841553,0.0028768416959792376
camera,24,text,0.999997079372406,0.002422358375042677
camera,47,visual,0.9999977350234985,0.0021623598877340555
camera,47,visual,0.9999985098838806,0.0016495243180543184
camera,47,visual,0.9999986290931702,0.0016622424591332674
camera,47,visual,0.9999963045120239,0.003049156628549099
camera,47,visual,0.9999982714653015,0.0019163007382303476
camera,47,visual,0.9999982118606567,0.001976445782929659
camera,47,visual,0.9999987483024597,0.0016788813518360257
camera,47,visual,0.9999992251396179,0.0013553544413298368
camera,47,visual,0.9999989867210388,0.0014270887477323413
camera,47,visual,0.9999992847442627,0.0014076491352170706
camera,47,visual,0.9999986886978149,0.0016822919715195894
camera,47,visual,0.9999988675117493,0.001524971448816359
camera,47,visual,0.9999991655349731,0.001313745859079063
camera,47,visual,0.9999987483024597,0.001673311460763216
camera,47,visual,0.9999992847442627,0.0012504293117672205
camera,47,visual,0.9999984502792358,0.0017374283634126186
camera,47,visual,0.9999986290931702,0.0017616538098081946
camera,47,visual,0.999998927116394,0.001586570986546576
camera,47,visual,0.9999994039535522,0.001149612944573164
camera,47,visual,0.9999986886978149,0.0016258694231510162
camera,47,visual,0.9999990463256836,0.0013466307427734137
camera,47,visual,0.999998927116394,0.0013600977836176753
camera,47,visual,0.9999991655349731,0.0013297045370563865
camera,47,visual,0.999999463558197,0.001313506974838674
camera,47,visual,0.9999986886978149,0.001745097921229899
camera,47,visual,0.9999994039535522,0.0010798568837344646
camera,47,visual,0.9999988675117493,0.0015063551254570484
camera,47,visual,0.9999989867210388,0.00144293496850878
camera,47,visual,0.9999984502792358,0.0017483819974586368
camera,47,visual,0.999998927116394,0.0014555153902620077
camera,47,visual,0.9999982118606567,0.0019012187840417027
camera,47,visual,0.9999973177909851,0.0023097789380699396
camera,47,visual,0.9999990463256836,0.0014222743920981884
camera,47,visual,0.9999991059303284,0.0014502133708447218
camera,47,visual,0.9999973773956299,0.002251053461804986
camera,47,visual,0.999998927116394,0.0015167940873652697
camera,47,visual,0.9999990463256836,0.001346518867649138
camera,47,visual,0.9999992847442627,0.00137165910564363
camera,47,visual,0.9999976754188538,0.0022078491747379303
camera,47,visual,0.9999985694885254,0.0016526799881830812
camera,47,visual,0.9999992847442627,0.0012885957257822156
camera,47,visual,0.9999987483024597,0.0015540329040959477
camera,47,visual,0.9999979138374329,0.0020718129817396402
camera,47,visual,0.9999990463256836,0.0014532945351675153
camera,47,visual,0.999998152256012,0.0019844372291117907
camera,47,visual,0.9999985694885254,0.001703183283098042
camera,47,visual,0.9999990463256836,0.0013627165462821722
camera,47,visual,0.9999980330467224,0.001988035626709461
camera,47,visual,0.9999989867210388,0.001457562088035047
camera,47,visual,0.9999970197677612,0.002565149450674653
camera,47,visual,0.9999983906745911,0.001742730149999261
camera,47,visual,0.9999982118606567,0.0018617021851241589
camera,47,visual,0.9999986886978149,0.0016324815806001425
camera,47,visual,0.9999989867210388,0.0014627969358116388
camera,47,text,0.9999987483024597,0.0015976293943822384
camera,47,text,0.9999988675117493,0.001562520512379706
camera,47,text,0.9999972581863403,0.0023522991687059402
camera,47,text,0.9999991059303284,0.0013614034978672862
