sample_id,category,layer,position,modality,router_entropy,router_effective_k,active_expert_count,token_fanout,method,variant,selected_k,router_mass,cosine,relative_l2,quality_pass
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,top1,plain,1,0.15840272723438387,0.40552252101558395,0.9145146679695902,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,top1,renormalized,1,0.15840272723438387,0.40552252101651187,2.178641269348027,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,top2,plain,2,0.28568288896741634,0.5129246113432474,0.8588909830573289,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,top2,renormalized,2,0.28568288896741634,0.5129246113440228,1.4627850410049639,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,top4,plain,4,0.5363272170448841,0.7345878190199592,0.6790464535411918,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,top4,renormalized,4,0.5363272170448841,0.734587819020453,0.8958361391070978,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,top6,plain,6,0.7717857567353975,0.8782434587866877,0.47830818503841155,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,top6,renormalized,6,0.7717857567353975,0.8782434587869243,0.5384105938440854,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,top7,plain,7,0.887675649580923,0.941825724720211,0.33654150066568145,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,top7,renormalized,7,0.887675649580923,0.9418257247203281,0.3506053117071652,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,mass70,plain,6,0.7717857567353975,0.8782434587866877,0.47830818503841155,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,mass70,renormalized,6,0.7717857567353975,0.8782434587869243,0.5384105938440854,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,mass80,plain,7,0.887675649580923,0.941825724720211,0.33654150066568145,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,mass80,renormalized,7,0.887675649580923,0.9418257247203281,0.3506053117071652,False
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,mass90,plain,8,1.0,0.9999999999989736,0.0,True
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,mass90,renormalized,8,1.0,0.9999999999989736,0.0,True
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,mass95,plain,8,1.0,0.9999999999989736,0.0,True
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,mass95,renormalized,8,1.0,0.9999999999989736,0.0,True
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,mass99,plain,8,1.0,0.9999999999989736,0.0,True
astronaut,natural,4,10,visual,2.0738120079040527,7.955090258851319,8,4,mass99,renormalized,8,1.0,0.9999999999989736,0.0,True
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,top1,plain,1,0.17253906972357008,0.49603025058827893,0.8684422985561996,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,top1,renormalized,1,0.17253906972357008,0.496030250589088,2.448565661392723,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,top2,plain,2,0.3371769931456155,0.6131626271377877,0.7899599495948831,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,top2,renormalized,2,0.3371769931456155,0.6131626271384181,1.4355372218066904,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,top4,plain,4,0.5901348137734996,0.7795194447949876,0.6267403072693175,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,top4,renormalized,4,0.5901348137734996,0.779519444795387,0.8047799047417441,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,top6,plain,6,0.8033804175215586,0.913949436920147,0.40816857975830206,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,top6,renormalized,6,0.8033804175215586,0.9139494369203427,0.4397450718513663,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,top7,plain,7,0.9016902087607793,0.9551329176631035,0.29653008779482676,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,top7,renormalized,7,0.9016902087607793,0.9551329176631976,0.309003969247499,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,mass70,plain,5,0.705070626282338,0.8438811415876992,0.537239241975531,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,mass70,renormalized,5,0.705070626282338,0.843881141587988,0.6215879191946665,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,mass80,plain,6,0.8033804175215586,0.913949436920147,0.40816857975830206,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,mass80,renormalized,6,0.8033804175215586,0.9139494369203427,0.4397450718513663,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,mass90,plain,7,0.9016902087607793,0.9551329176631035,0.29653008779482676,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,mass90,renormalized,7,0.9016902087607793,0.9551329176631976,0.309003969247499,False
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,mass95,plain,8,1.0,0.9999999999990524,0.0,True
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,mass95,renormalized,8,1.0,0.9999999999990524,0.0,True
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,mass99,plain,8,1.0,0.9999999999990524,0.0,True
astronaut,natural,4,12,visual,2.055501937866211,7.810757403777803,8,4,mass99,renormalized,8,1.0,0.9999999999990524,0.0,True
astronaut,natural,4,17,visual,1.9458192586898804,6.999363796354799,8,4,top1,plain,1,0.24369114365028802,0.5312680950911928,0.8472039653963948,False
astronaut,natural,4,17,visual,1.9458192586898804,6.999363796354799,8,4,top1,renormalized,1,0.24369114365028802,0.5312680950915152,1.8515900105737901,False
astronaut,natural,4,17,visual,1.9458192586898804,6.999363796354799,8,4,top2,plain,2,0.4364667039014395,0.7791000223287922,0.6277432160386032,False
